year,geo_name,geo,num_ppl,num_ppl_moe,wage_bin_name,wage_bin
2014,"United States","01000US",19175353,92661.5,"< 10K","A"
2014,"United States","01000US",21216573,105859.0,"$10-20K","B"
2014,"United States","01000US",20932980,99355.5,"$20-30K","C"
2014,"United States","01000US",18444902,89689.0,"$30-40K","D"
2014,"United States","01000US",14459569,87913.7,"$40-50K","E"
2014,"United States","01000US",11150671,75971.6,"$50-60K","F"
2014,"United States","01000US",8509041,59418.1,"$60-70K","G"
2014,"United States","01000US",6082701,51244.2,"$70-80K","H"
2014,"United States","01000US",4560929,43493.2,"$80-90K","I"
2014,"United States","01000US",3142806,38511.8,"$90-100K","J"
2014,"United States","01000US",3135463,36454.6,"$100K-110","K"
2014,"United States","01000US",1460431,23857.2,"$110-120","L"
2014,"United States","01000US",1775893,26116.9,"$120-130","M"
2014,"United States","01000US",956819,19713.8,"$130-140","N"
2014,"United States","01000US",711579,17182.2,"$140-150","O"
2014,"United States","01000US",997029,18475.1,"$150-160","P"
2014,"United States","01000US",458890,12061.5,"$160-170","Q"
2014,"United States","01000US",374783,12032.6,"$170-180","R"
2014,"United States","01000US",340317,10081.4,"$180-190","S"
2014,"United States","01000US",179799,8348.15,"$190-200K","T"
2014,"United States","01000US",2762472,32156.1,"$200K+","U"
