year,population
'1950','2557628654'
'1951','2594939877'
'1952','2636772306'
'1953','2682053389'
'1954','2730228104'
'1955','2782098943'
'1956','2835299673'
'1957','2891349717'
'1958','2948137248'
'1959','3000716593'
'1960','3043001508'
'1961','3083966929'
'1962','3140093217'
'1963','3209827882'
'1964','3281201306'
'1965','3350425793'
'1966','3420677923'
'1967','3490333715'
'1968','3562313822'
'1969','3637159050'
'1970','3712697742'
'1971','3790326948'
'1972','3866568653'
'1973','3942096442'
'1974','4016608813'
'1975','4089083233'
'1976','4160185010'
'1977','4232084578'
'1978','4304105753'
'1979','4379013942'
'1980','4451362735'
'1981','4534410125'
'1982','4614566561'
'1983','4695736743'
'1984','4774569391'
'1985','4856462699'
'1986','4940571232'
'1987','5027200492'
'1988','5114557167'
'1989','5201440110'
'1990','5288955934'
'1991','5371585922'
'1992','5456136278'
'1993','5538268316'
'1994','5618682132'
'1995','5699202985'
'1996','5779440593'
'1997','5857972543'
'1998','5935213248'
'1999','6012074922'
'2000','6088571383'
'2001','6165219247'
'2002','6242016348'
'2003','6318590956'
'2004','6395699509'
'2005','6473044732'
'2006','6551263534'
'2007','6629913759'
'2008','6709049780'
'2009','6788214394'
'2010','6866332358'
'2011','6944055583'
'2012','7022349283'
'2013','7101027895'
'2014','7178722893'
'2015','7256490011'
