PlayerName,Salary
C.J. Watson,2106720
Taj Gibson,8000000
Jerrelle Benimon,35000
Quincy Pondexter,3146068
Tyreke Evans,11265416
Brandon Bass,6900000
DeJuan Blair,2000000
LeBron James,20644400
Victor Claver,1370000
Tony Snell,1472400
Jeff Ayres,1828750
Kentavious Caldwell-Pope,2772480
Jeffery Taylor,915243
Cody Zeller,4030560
Aaron Brooks,1145685
Russell Westbrook,15719062
C.J. Miles,4205000
Dorell Wright,3150000
Langston Galloway,235762
Jason Terry,5850313
Nick Johnson,507336
Derrick Rose,18862876
Quincy Acy,915243
Amar'e Stoudemire,23410988
Thomas Robinson,3678360
DeMarcus Cousins,14746000
Brandon Knight,3553917
Miles Plumlee,1169880
DeMarre Carroll,2442455
Tony Allen,4831461
Jimmer Fredette,948163
Gerald Wallace,10105855
J.R. Smith,6516000
John Salmons,1000000
Kent Bazemore,2000000
Dennis Schroder,1690680
Nick Young,4994420
Tyson Chandler,14846887
Jerel McNeal,53838
Dwight Howard,21436271
Cartier Martin,1145686
Elton Brand,2000000
Nate Robinson,2106720
Alex Kirk,507336
Jonas Jerebko,4500000
DeAndre Jordan,11440124
Dahntay Jones,613478
Charlie Villanueva,1316809
K.J. McDaniels,507336
Quincy Miller,183049
Toure' Murry,1000000
T.J. Warren,1953120
Larry Sanders,11000000
JaMychal Green,134295
Marcus Morris,2943221
Courtney Lee,5450000
Danilo Gallinari,10854850
Lucas Nogueira,1762680
James McAdoo,167122
Donald Sloan,948163
Jason Maxiell,1316809
Jabari Parker,4930560
Jusuf Nurkic,1762680
Marcus Thornton,8575000
Zach LaVine,2055840
Alonzo Gee,1063384
Tobias Harris,2380594
Devin Harris,3878896
Joe Johnson,23180790
Henry Sims,915243
Brandon Jennings,8000000
Nick Calathes,816482
Greg Smith,948163
Reggie Evans,1768653
Jae Crowder,915243
Ben McLemore,3026280
Caron Butler,4500000
Pau Gasol,7128000
Al Horford,12000000
Jorge Gutierrez,48028
Robbie Hummel,880000
Tyler Johnson,199950
Shabazz Napier,1238640
Isaiah Thomas,7238606
Adreian Payne,1855320
Henry Walker,196217
Sergey Karasev,1533840
Vince Carter,3911981
Kyle Lowry,12000000
Nikola Pekovic,12100000
Grant Jerrett,816481
Jrue Holiday,9904495
Michael Carter-Williams,2300040
LaMarcus Aldridge,16256000
Hollis Thompson,816482
Darrell Arthur,3457149
Chris Bosh,20644400
Hassan Whiteside,769881
Ian Clark,816482
Lance Thomas,948163
