ZIP,returns,total,farmers
90001,20970.0,531772.0,0.0
90002,18960.0,467128.0,0.0
90003,26180.0,618848.0,0.0
90004,27360.0,1649431.0,0.0
90005,15430.0,717290.0,0.0
90006,22630.0,571157.0,0.0
90007,11710.0,315581.0,0.0
90008,14710.0,668523.0,0.0
90010,2210.0,320471.0,0.0
90011,36670.0,864961.0,0.0
90012,9930.0,457926.0,0.0
90013,4490.0,252309.0,0.0
90014,3620.0,230443.0,0.0
90015,7440.0,443992.0,0.0
90016,21730.0,796426.0,0.0
90017,8460.0,511945.0,0.0
90018,21220.0,663464.0,0.0
90019,28700.0,1295666.0,0.0
90020,17000.0,981789.0,0.0
90021,1400.0,105317.0,0.0
90022,26680.0,767484.0,0.0
90023,17480.0,485681.0,0.0
90024,14690.0,4395487.0,20.0
90025,25110.0,4019082.0,20.0
90026,31140.0,1399546.0,0.0
90027,23540.0,1687228.0,0.0
90028,15070.0,618555.0,0.0
90029,16910.0,534452.0,0.0
90031,16180.0,532327.0,0.0
90032,19250.0,705298.0,0.0
90033,16930.0,448056.0,0.0
90034,29950.0,1828572.0,0.0
90035,13950.0,1302216.0,0.0
90036,18880.0,1905188.0,0.0
90037,23520.0,557462.0,0.0
90038,12950.0,465940.0,0.0
90039,15050.0,1031826.0,0.0
90040,5470.0,228829.0,0.0
90041,12770.0,798088.0,0.0
90042,26760.0,1171845.0,0.0
90043,20770.0,903067.0,0.0
90044,35790.0,926787.0,0.0
90045,18470.0,1833173.0,0.0
90046,27380.0,2307707.0,0.0
90047,23380.0,824676.0,0.0
90048,12630.0,1494748.0,0.0
90049,18350.0,5919732.0,40.0
90056,4540.0,394662.0,0.0
90057,14820.0,380233.0,0.0
90058,1460.0,96813.0,0.0
90059,15930.0,416253.0,0.0
90061,11300.0,315218.0,0.0
90062,13800.0,394799.0,0.0
90063,20440.0,585473.0,0.0
90064,14540.0,2698330.0,0.0
90065,20810.0,1079475.0,0.0
90066,28130.0,2225044.0,20.0
90067,3190.0,2616538.0,0.0
90068,11940.0,1398287.0,0.0
90069,13930.0,2008322.0,0.0
90077,4110.0,1678772.0,0.0
90094,2830.0,394432.0,0.0
90201,37490.0,1040979.0,0.0
90210,9770.0,5011555.0,20.0
90211,5330.0,1089825.0,0.0
90212,7820.0,2465717.0,0.0
90220,21000.0,669864.0,0.0
90221,21210.0,605221.0,0.0
90222,12640.0,359139.0,0.0
90230,15710.0,1206646.0,0.0
90232,8440.0,676265.0,0.0
90240,11590.0,689687.0,0.0
90241,19940.0,957363.0,0.0
90242,18450.0,803795.0,0.0
90245,9420.0,934804.0,0.0
90247,22250.0,864641.0,0.0
90248,5390.0,321812.0,0.0
90249,13080.0,581383.0,0.0
90250,42350.0,1744745.0,0.0
90254,10930.0,1586918.0,0.0
90255,30240.0,847767.0,0.0
90260,15430.0,620110.0,0.0
90262,26830.0,808022.0,0.0
90265,7390.0,1682260.0,40.0
90266,17140.0,4450650.0,30.0
90270,10510.0,290847.0,0.0
90272,10540.0,4417965.0,20.0
90274,12570.0,3400009.0,50.0
90275,19010.0,2883716.0,40.0
90277,19280.0,2154090.0,0.0
90278,19970.0,1914786.0,0.0
90280,39260.0,1270489.0,0.0
90290,3000.0,473750.0,0.0
90291,14570.0,1524564.0,0.0
90292,13100.0,1773480.0,0.0
