pwsid,wsname,yr,mo,population,urb_2013,urb_gpcd,res_2013,res_gpcd,hyd_reg
0110005,East Bay Municipal Utilities District,2015,4,"1,390,000", 130 , 107 ,,66,2
4010011,"Morro Bay, City of",2015,4,"10,234", 94 , 96 ,,63,3
3010037,Yorba Linda Water District,2015,4,"72,500", 238 , 213 ,,158,4
1910065,"Long Beach, City of",2015,4,"473,247", 113 , 107 ,,65,4
2410005,"Los Banos, City of",2015,4,"37,168", 201 , 168 ,,104,6
5010019,"Turlock, City of",2015,4,"71,181", 287 , 233 ,,126,6
3310021,Jurupa Community Service District,2015,4,"118,731", 195 , 173 ,,97,4
4110011,Coastside County Water District,2015,4,"16,668", 125 , 98 ,,74,2
3410006,Citrus Heights Water District,2015,4,"67,333", 166 , 123 ,,117,5
4110003,"Burlingame, City of",2015,4,"30,282", 79 , 110 ,,68,2
3410016,Orange Vale Water Company,2015,4,"14,283", 244 , 184 ,,158,5
0110009,Dublin San Ramon Services District,2015,4,"78,301", 119 , 83 ,,62,2
1910067,Los Angeles Department of Water and Power,2015,4,"4,002,667", 123 , 111 ,,75,4
5610063,Camrosa Water District,2015,4,"35,738", 243 , 217 ,,137,4
0910001,El Dorado Irrigation District,2015,4,"128,500", 199 , 158 ,,102,5
1310004,"El Centro, City of",2015,4,"44,311", 170 , 153 ,,107,10
4910009,"Santa Rosa, City of",2015,4,"170,974", 112 , 76 ,,56,1
3010064,"Westminster, City of",2015,4,"93,322", 122 , 110 ,,86,4
4110001,Mid-Peninsula Water District,2015,4,"26,730", 112 , 85 ,,73,2
3710029,Olivenhain Municipal Water District,2015,4,"83,368", 226 , 222 ,,144,4
1510005,"Delano, City of",2015,4,"54,318", 163 , 149 ,,79,7
3010001,"Anaheim, City of",2015,4,"358,549", 165 , 151 ,,85,4
3310012,Elsinore Valley Municipal Water District,2015,4,"148,719", 187 , 147 ,,110,4
3310001,Coachella Valley Water District,2015,4,"318,217", 341 , 294 ,,212,10
3310022,Lake Hemet Municipal Water District,2015,4,"52,914", 197 , 135 ,,104,4
3410004,Carmichael Water District,2015,4,"38,354", 203 , 153 ,,126,5
3610029,Monte Vista Water District,2015,4,"54,460", 162 , 151 ,,97,4
0110008,"Pleasanton, City of",2015,4,"73,067", 214 , 132 ,,83,2
1910146,"Santa Monica, City of",2015,4,"92,185", 130 , 121 ,,81,4
3310031,"Riverside, City of",2015,4,"333,829", 190 , 168 ,,92,4
0710003,Contra Costa Water District,2015,4,"197,536", 114 , 97 ,,73,2
1310006,"Imperial, City of",2015,4,"18,022", 144 , 135 ,,135,10
3410031,California Water Service Company Antelope Valley,2015,4,"3,391", 223 , 186 ,,170,5
3010092,Irvine Ranch Water District,2015,4,"385,742", 156 , 135 ,,77,4
4410011,"Watsonville, City of",2015,4,"65,739", 114 , 92 ,,63,3
4310019,"San Jose, City of",2015,4,"117,576", 168 , 125 ,,83,2
5410002,"Dinuba, City of",2015,4,"23,966", 213 , 144 ,,95,7
5610024,Casitas Municipal Water District,2015,4,"9,603", 430 , 848 ,,424,4
3410001,Sacramento Suburban Water District,2015,4,"174,532", 175 , 134 ,,87,5
4310011,San Jose Water Company,2015,4,"990,000", 129 , 97 ,,68,2
1910194,Rowland Water District,2015,4,"62,106", 160 , 153 ,,78,4
3410014,"Folsom, City of",2015,4,"63,376", 280 , 231 ,,139,5
3610012,"Chino, City of",2015,4,"78,073", 185 , 178 ,,84,4
