PWSID,Population,Water
"0110001",3397562.0,7204.4517
"0110003",626163.0,1691.34753
"0110005",15115000.0,34344.42
"0110006",1661407.0,2850.06819
"0110008",795365.0,2302.98135
"0110009",861690.0,1773.4155600000001
"0110011",312246.0,808.4376
"0310003",233772.0,555.9411299999999
"0410002",1105024.0,4688.13519
"0410005",118370.0,312.32268
"0410006",165416.0,1411.91682
"0410007",286352.0,1331.5368
"0410011",105765.0,292.4883
"0510002",349250.0,1313.4975
"0710001",1171005.0,3873.89745
"0710002",244838.0,440.04066
"0710003",2172896.0,6625.35744
"0710004",600556.0,2233.29318
"0710006",353750.0,655.8525
"0710007",397202.0,1275.55116
"0710008",719501.0,1861.17465
"0710009",153212.0,806.0331
"0810001",200371.0,496.01649000000003
"0910001",1413500.0,4691.535
"0910002",331240.0,1004.65092
"0910013",105217.0,453.17244000000005
"1010001",153560.0,967.0092
"1010003",1175440.0,5517.632610000001
"1010007",5663717.0,18237.97572
"1010018",139450.0,646.44666
"1010019",126906.0,858.9396599999999
"1010024",270324.0,1093.8083399999996
"1010026",59465.0,302.50695
"1010027",266134.0,660.4961999999998
"1010029",282304.0,987.80736
"1110003",77721.0,270.35691
"1210001",198994.0,253.16199
"1210004",292642.0,736.75326
"1210006",119260.0,331.66206
"1210009",220352.0,668.86848
"1210013",4642.0,15.647759999999998
"1210016",169000.0,323.973
"1310001",277430.0,1042.0270799999996
"1310002",446193.0,1198.6281900000001
"1310004",487421.0,1439.6643900000001
"1310006",193566.0,798.7384199999998
"1510001",220099.0,672.49989
"1510003",3043981.0,12949.23384
"1510005",543888.0,1531.35171
"1510006",286000.0,1694.16
"1510012",210305.0,832.0740900000001
"1510015",313786.0,2037.01761
"1510017",342320.0,1756.1016
"1510018",194700.0,673.308
"1510019",203368.0,961.19112
"1510020",98069.0,299.05818
"1510021",231235.0,964.50888
"1510022",242311.0,891.84015
"1510029",329004.0,3310.42023
"1510031",1549761.0,8776.657979999998
"1510032",155320.0,916.6704
"1510033",62147.0,207.27435
"1610003",627550.0,2064.069
"1610004",217386.0,1030.40964
"1610005",278091.0,1212.72957
"1810001",101320.0,637.5789
"1910001",850680.0,2623.4971199999995
"1910003",596496.0,3839.6841
"1910004",527758.0,1177.38012
"1910005",2271509.0,9856.60002
"1910007",1210000.0,2986.5
"1910009",772739.0,1574.29368
"1910011",637274.0,1086.2624999999996
"1910013",509300.0,1298.715
"1910019",539451.0,2040.59601
"1910024",408760.0,1968.7368
"1910026",901593.0,1551.5595899999996
"1910028",348440.0,949.47192
"1910030",398365.0,888.7161
"1910033",1563010.0,3473.75934
"1910034",1228469.0,3422.77104
"1910036",1712110.0,2394.57228
"1910038",183744.0,347.9652
"1910039",2989987.0,6376.826819999998
"1910040",166540.0,428.67396
"1910042",429022.0,1002.74142
"1910043",2133800.0,6049.761
"1910044",533946.0,2975.1333
"1910047",484919.0,1100.80515
"1910048",1313600.0,5294.463000000001
"1910049",706409.0,1348.599
"1910051",1065456.0,1986.85746
"1910059",1265000.0,4343.55
"1910062",354508.0,1520.8393199999996
"1910063",177386.0,566.99016
"1910065",5194248.0,11117.85792
"1910067",43355237.0,104278.57272000001
"1910073",224767.0,584.66328
"1910077",720412.0,1176.89124
"1910079",670314.0,1509.92496
"1910083",353448.0,1075.2975299999996
"1910090",423223.0,1601.0107799999996
"1910091",354409.0,755.8577399999998
"1910092",435281.0,1074.52224
"1910096",495396.0,1929.34224
"1910098",489126.0,943.1238599999999
"1910101",258811.0,603.8908799999998
"1910102",1126770.0,4305.58869
"1910104",768365.0,4842.56232
"1910105",614375.0,1142.93691
"1910124",1823140.0,6056.1396
"1910125",267084.0,1013.28036
"1910126",1666530.0,4093.53957
"1910127",388078.0,1510.4662199999998
"1910130",221020.0,1489.9398
"1910134",1051863.0,2699.24805
"1910140",105600.0,514.0799999999998
"1910142",603592.0,2296.3931999999995
"1910143",260847.0,776.83155
"1910144",495000.0,1321.65
"1910146",1014035.0,2685.34905
"1910148",109908.0,575.08227
"1910152",1079017.0,2165.6881200000007
"1910154",258990.0,845.34336
"1910155",2988447.0,5680.766070000001
"1910156",455570.0,2589.65691
"1910157",336610.0,999.63846
"1910166",108900.0,979.2089999999997
"1910167",1266.0,3.73314
"1910173",567308.0,1716.3222600000001
"1910179",1163293.0,3735.9160799999995
"1910186",1131779.0,4330.59801
"1910191",201971.0,564.0499199999998
"1910194",674954.0,1683.4073399999997
"1910204",341481.0,2023.69407
"1910205",1963500.0,5810.174999999998
"1910211",1422113.0,2135.40756
"1910212",295097.0,867.5851799999998
"1910213",1028466.0,2820.85299
"1910223",304216.0,609.8148
"1910225",829224.0,5552.031599999998
"1910234",1245596.0,4623.42588
"1910239",649891.0,1775.9748599999998
"1910240",1293653.0,3812.1410100000003
"1910245",200189.0,454.79301
"2010002",615785.0,2188.28328
"2010008",118530.0,804.34458
"2110002",2065300.0,5304.798000000001
"2110003",675602.0,1943.55795
"2310003",144675.0,338.5395
"2410001",321500.0,1826.1
"2410004",163846.0,654.64122
"2410005",406419.0,1857.2556600000003
"2410009",917400.0,5201.6579999999985
"2410010",93500.0,445.74
"2610001",167390.0,301.80417
"2710001",321282.0,1056.98451
"2710004",1207987.0,1795.50795
"2710008",193941.0,489.25092
"2710009",158083.0,253.20495
"2710010",1324458.0,2815.23018
"2710011",184019.0,512.40927
"2710017",346078.0,714.9449400000001
"2810003",942469.0,2362.17003
"2810005",220332.0,541.3098
"2910003",360536.0,1000.9790399999997
"2910004",492371.0,2368.75212
"3010001",3931530.0,10623.314190000001
"3010002",462341.0,1510.4422499999996
"3010003",906004.0,2522.80932
"3010004",1188000.0,3110.4
"3010010",1518000.0,5179.14
"3010017",212059.0,664.5401999999998
"3010018",694298.0,2014.72656
"3010022",1230944.0,3105.336
"3010023",721061.0,2485.6939199999997
"3010027",1527813.0,5795.49774
"3010030",427396.0,1379.32602
"3010035",511973.0,1519.1635199999998
"3010036",564998.0,1948.5866399999998
"3010037",802854.0,4216.91253
"3010038",3652055.0,7450.192199999998
"3010041",267241.0,452.0322
"3010042",383197.0,1183.03731
"3010046",744000.0,2897.3909999999996
"3010047",79794.0,758.6233199999998
"3010053",2156451.0,5845.942620000001
"3010062",1946073.0,6766.43847
"3010064",1026542.0,2668.07598
"3010068",37353.0,262.02822000000003
"3010069",646875.0,1601.72181
"3010073",1883898.0,5483.976299999998
"3010079",534908.0,1597.4298
"3010082",73051.0,860.6736
"3010092",4177238.0,9858.95061
"3010094",133621.0,613.42836
"3010100",173448.0,378.7284
"3010101",1701611.0,5511.79716
"3110001",82500.0,287.1
"3110004",488320.0,2195.62863
"3110008",1329928.0,3949.8516600000003
"3110010",100762.0,251.75802000000002
"3110025",1052170.0,4672.3338
"3310001",2966381.0,23949.20718
"3310002",467399.0,2706.5955
"3310003",152229.0,668.83887
"3310005",1083799.0,6408.9314399999985
"3310006",332131.0,1330.85622
"3310007",400529.0,1156.31772
"3310008",382426.0,1629.13476
"3310009",5885308.0,17933.311380000003
"3310012",1624980.0,5566.28295
"3310016",265352.0,1116.11718
"3310020",865833.0,4287.89097
"3310021",1306041.0,4527.21303
"3310022",582054.0,1977.92532
"3310025",271600.0,1485.3803999999998
"3310029",99000.0,275.13
"3310031",3524002.0,10434.287190000001
"3310032",167582.0,689.9237400000001
"3310037",1813270.0,6501.473939999999
"3310038",1723146.0,10657.116059999997
"3310044",328900.0,1265.667
"3310049",1046859.0,4511.847959999999
"3310051",66587.0,774.3716999999998
"3310074",159098.0,705.3310799999999
"3410001",1902864.0,7841.215289999999
"3410004",421439.0,2021.85615
"3410006",740947.0,3134.82351
"3410008",485926.0,1485.29577
"3410009",398486.0,2093.13828
"3410011",242248.0,1001.65482
"3410013",2215598.0,5601.43458
"3410014",683236.0,3242.65131
"3410015",481437.0,2278.07235
"3410016",165366.0,1036.65141
"3410018",120553.0,646.23951
"3410020",5214107.0,16214.49786
"3410021",403854.0,3111.41163
"3410023",201564.0,947.58615
"3410029",1783809.0,7204.61478
"3410031",37384.0,219.67743
"3510001",253231.0,611.8981799999998
"3510003",209423.0,649.7083799999998
"3610001",352527.0,868.97829
"3610003",712801.0,2477.7015899999997
"3610004",778414.0,3820.77429
"3610005",268128.0,364.58169
"3610008",126879.0,277.92728999999997
"3610012",847163.0,2605.6586099999995
"3610013",256930.0,1284.7222800000002
"3610014",523000.0,1719.30267
"3610015",81387.0,146.2941
"3610018",2179897.0,9213.63189
"3610024",1003535.0,3809.85741
"3610025",106474.0,407.33493
"3610029",599060.0,1787.3772
"3610034",1837437.0,5462.07921
"3610036",823511.0,3009.73314
"3610037",856372.0,5974.36248
"3610038",572744.0,2087.45424
"3610039",2133524.0,7840.2795
"3610041",2299385.0,7907.794049999999
"3610043",343299.0,978.40215
"3610044",282155.0,495.90362999999985
