state_abbr,ObamaVotes.12,RomneyVotes.12,code,perc_diff,text
AK,nan,nan,AK,nan,AK<br>Democrats: nan%<br>Republicans: nan%
AL,793620.0,1252453.0,AL,-0.224250552155,AL<br>Democrats: 38.7874723922%<br>Republicans: 61.2125276078%
AR,389699.0,638467.0,AR,-0.241953147643,AR<br>Democrats: 37.9023426178%<br>Republicans: 62.0976573822%
AZ,841607.0,1038907.0,AZ,-0.104918123449,AZ<br>Democrats: 44.7540938275%<br>Republicans: 55.2459061725%
CA,5967520.0,3890967.0,CA,0.210636074278,CA<br>Democrats: 60.5318037139%<br>Republicans: 39.4681962861%
CO,1238490.0,1125391.0,CO,0.0478446250044,CO<br>Democrats: 52.3922312502%<br>Republicans: 47.6077687498%
CT,912531.0,631432.0,CT,0.18206330074,CT<br>Democrats: 59.103165037%<br>Republicans: 40.896834963%
DC,222332.0,17337.0,DC,0.85532546971,DC<br>Democrats: 92.7662734855%<br>Republicans: 7.23372651448%
DE,242547.0,165476.0,DE,0.188888861657,DE<br>Democrats: 59.4444430829%<br>Republicans: 40.5555569171%
FL,4236032.0,4162174.0,FL,0.00879449730097,FL<br>Democrats: 50.439724865%<br>Republicans: 49.560275135%
GA,1761761.0,2070221.0,GA,-0.0804962027483,GA<br>Democrats: 45.9751898626%<br>Republicans: 54.0248101374%
HI,303090.0,119494.0,HI,0.434460367643,HI<br>Democrats: 71.7230183821%<br>Republicans: 28.2769816179%
IA,816429.0,727928.0,IA,0.0573060503498,IA<br>Democrats: 52.8653025175%<br>Republicans: 47.1346974825%
ID,212560.0,420750.0,ID,-0.328733163853,ID<br>Democrats: 33.5633418073%<br>Republicans: 66.4366581927%
IL,2934826.0,2094526.0,IL,0.167079178391,IL<br>Democrats: 58.3539589196%<br>Republicans: 41.6460410804%
IN,1140425.0,1412620.0,IN,-0.106615825416,IN<br>Democrats: 44.6692087292%<br>Republicans: 55.3307912708%
KS,427918.0,678719.0,KS,-0.226633485054,KS<br>Democrats: 38.6683257473%<br>Republicans: 61.3316742527%
KY,679340.0,1087127.0,KY,-0.230848920472,KY<br>Democrats: 38.4575539764%<br>Republicans: 61.5424460236%
LA,808496.0,1152460.0,LA,-0.175406281426,LA<br>Democrats: 41.2296859287%<br>Republicans: 58.7703140713%
MA,1900575.0,1177370.0,MA,0.234963587718,MA<br>Democrats: 61.7481793859%<br>Republicans: 38.2518206141%
MD,1527686.0,904970.0,MD,0.255981939082,MD<br>Democrats: 62.7990969541%<br>Republicans: 37.2009030459%
ME,397754.0,290437.0,ME,0.155940719945,ME<br>Democrats: 57.7970359973%<br>Republicans: 42.2029640027%
MI,2561911.0,2112673.0,MI,0.0961022413973,MI<br>Democrats: 54.8051120699%<br>Republicans: 45.1948879301%
MN,1547668.0,1321575.0,MN,0.0787988330023,MN<br>Democrats: 53.9399416501%<br>Republicans: 46.0600583499%
MO,1215031.0,1478961.0,MO,-0.0979698529172,MO<br>Democrats: 45.1015073541%<br>Republicans: 54.8984926459%
MS,528260.0,674302.0,MS,-0.12144238717,MS<br>Democrats: 43.9278806415%<br>Republicans: 56.0721193585%
MT,200489.0,264974.0,MT,-0.138539475748,MT<br>Democrats: 43.0730262126%<br>Republicans: 56.9269737874%
NC,2178388.0,2275853.0,NC,-0.0218813934854,NC<br>Democrats: 48.9059303257%<br>Republicans: 51.0940696743%
ND,124490.0,187586.0,ND,-0.202181519886,ND<br>Democrats: 39.8909240057%<br>Republicans: 60.1090759943%
NE,289154.0,462972.0,NE,-0.23110223553,NE<br>Democrats: 38.4448882235%<br>Republicans: 61.5551117765%
NH,368529.0,327870.0,NH,0.0583846329475,NH<br>Democrats: 52.9192316474%<br>Republicans: 47.0807683526%
NJ,1960744.0,1383233.0,NJ,0.172701845736,NJ<br>Democrats: 58.6350922868%<br>Republicans: 41.3649077132%
NM,408312.0,331915.0,NM,0.103207529582,NM<br>Democrats: 55.1603764791%<br>Republicans: 44.8396235209%
NV,528801.0,462422.0,NV,0.0669667673167,NV<br>Democrats: 53.3483383658%<br>Republicans: 46.6516616342%
NY,3875826.0,2226637.0,NY,0.270249733591,NY<br>Democrats: 63.5124866796%<br>Republicans: 36.4875133204%
OH,2697260.0,2593779.0,OH,0.0195577843974,OH<br>Democrats: 50.9778892199%<br>Republicans: 49.0221107801%
OK,442647.0,889372.0,OK,-0.335374345261,OK<br>Democrats: 33.231282737%<br>Republicans: 66.768717263%
OR,915703.0,718254.0,OR,0.120841001324,OR<br>Democrats: 56.0420500662%<br>Republicans: 43.9579499338%
PA,2907448.0,2619583.0,PA,0.0520831165955,PA<br>Democrats: 52.6041558298%<br>Republicans: 47.3958441702%
RI,274342.0,155355.0,RI,0.276909077792,RI<br>Democrats: 63.8454538896%<br>Republicans: 36.1545461104%
SC,845756.0,1049507.0,SC,-0.107505396349,SC<br>Democrats: 44.6247301826%<br>Republicans: 55.3752698174%
SD,144988.0,210541.0,SD,-0.1843815835,SD<br>Democrats: 40.780920825%<br>Republicans: 59.219079175%
TN,953043.0,1453097.0,TN,-0.207824149883,TN<br>Democrats: 39.6087925058%<br>Republicans: 60.3912074942%
TX,3294440.0,4555799.0,TX,-0.160677783186,TX<br>Democrats: 41.9661108407%<br>Republicans: 58.0338891593%
UT,229463.0,671747.0,UT,-0.490766857891,UT<br>Democrats: 25.4616571054%<br>Republicans: 74.5383428946%
VA,1905528.0,1789618.0,VA,0.0313681786863,VA<br>Democrats: 51.5684089343%<br>Republicans: 48.4315910657%
VT,199259.0,92700.0,VT,0.364979329289,VT<br>Democrats: 68.2489664645%<br>Republicans: 31.7510335355%
WA,1563585.0,1170848.0,WA,0.143626484906,WA<br>Democrats: 57.1813242453%<br>Republicans: 42.8186757547%
WI,1613950.0,1408746.0,WI,0.0678877399514,WI<br>Democrats: 53.3943869976%<br>Republicans: 46.6056130024%
WV,234925.0,412406.0,WV,-0.274173490842,WV<br>Democrats: 36.2913254579%<br>Republicans: 63.7086745421%
WY,68780.0,170265.0,WY,-0.424543495994,WY<br>Democrats: 28.7728252003%<br>Republicans: 71.2271747997%
