state_abbr,votes_dem.16,votes_gop.16,code,perc_diff,text
AK,93003.0,130413.0,AK,-0.167445482866,AK<br>Democrats: 41.6277258567%<br>Republicans: 58.3722741433%
AL,718084.0,1306925.0,AL,-0.290784386637,AL<br>Democrats: 35.4607806681%<br>Republicans: 64.5392193319%
AR,378729.0,677904.0,AR,-0.283139936004,AR<br>Democrats: 35.8430031998%<br>Republicans: 64.1569968002%
AZ,936250.0,1021154.0,AZ,-0.0433758181755,AZ<br>Democrats: 47.8312090912%<br>Republicans: 52.1687909088%
CA,5931283.0,3184721.0,CA,0.301290126683,CA<br>Democrats: 65.0645063341%<br>Republicans: 34.9354936659%
CO,1212209.0,1137455.0,CO,0.0318147616,CO<br>Democrats: 51.59073808%<br>Republicans: 48.40926192%
CT,884432.0,668266.0,CT,0.139219603555,CT<br>Democrats: 56.9609801777%<br>Republicans: 43.0390198223%
DC,260223.0,11553.0,DC,0.914981455316,DC<br>Democrats: 95.7490727658%<br>Republicans: 4.25092723419%
DE,235581.0,185103.0,DE,0.119990301509,DE<br>Democrats: 55.9995150754%<br>Republicans: 44.0004849246%
FL,4485745.0,4605515.0,FL,-0.0131741914762,FL<br>Democrats: 49.3412904262%<br>Republicans: 50.6587095738%
GA,1837300.0,2068623.0,GA,-0.0592236457298,GA<br>Democrats: 47.0388177135%<br>Republicans: 52.9611822865%
HI,266827.0,128815.0,HI,0.348830508389,HI<br>Democrats: 67.4415254194%<br>Republicans: 32.5584745806%
IA,650790.0,798923.0,IA,-0.102180914429,IA<br>Democrats: 44.8909542785%<br>Republicans: 55.1090457215%
ID,189677.0,407199.0,ID,-0.364434153828,ID<br>Democrats: 31.7782923086%<br>Republicans: 68.2217076914%
IL,2977498.0,2118179.0,IL,0.168636866112,IL<br>Democrats: 58.4318433056%<br>Republicans: 41.5681566944%
IN,1031953.0,1556220.0,IN,-0.202562579858,IN<br>Democrats: 39.8718710071%<br>Republicans: 60.1281289929%
KS,414788.0,656009.0,KS,-0.225272390565,KS<br>Democrats: 38.7363804717%<br>Republicans: 61.2636195283%
KY,628834.0,1202942.0,KY,-0.313416050871,KY<br>Democrats: 34.3291974565%<br>Republicans: 65.6708025435%
LA,779535.0,1178004.0,LA,-0.203556097733,LA<br>Democrats: 39.8221951134%<br>Republicans: 60.1778048866%
MA,1964768.0,1083069.0,MA,0.289286795849,MA<br>Democrats: 64.4643397924%<br>Republicans: 35.5356602076%
MD,1497951.0,873646.0,MD,0.263242448021,MD<br>Democrats: 63.1621224011%<br>Republicans: 36.8378775989%
ME,354873.0,334838.0,ME,0.0290483985321,ME<br>Democrats: 51.4524199266%<br>Republicans: 48.5475800734%
MI,2267373.0,2279210.0,MI,-0.00260349365666,MI<br>Democrats: 49.8698253172%<br>Republicans: 50.1301746828%
MN,1366676.0,1322891.0,MN,0.0162795721393,MN<br>Democrats: 50.813978607%<br>Republicans: 49.186021393%
MO,1054889.0,1585753.0,MO,-0.201035960195,MO<br>Democrats: 39.9482019903%<br>Republicans: 60.0517980097%
MS,462001.0,678457.0,MS,-0.18979743226,MS<br>Democrats: 40.510128387%<br>Republicans: 59.489871613%
MT,174521.0,274120.0,MT,-0.22200155581,MT<br>Democrats: 38.8999222095%<br>Republicans: 61.1000777905%
NC,2162074.0,2339603.0,NC,-0.0394361923345,NC<br>Democrats: 48.0281903833%<br>Republicans: 51.9718096167%
ND,93526.0,216133.0,ND,-0.395941987799,ND<br>Democrats: 30.20290061%<br>Republicans: 69.79709939%
NE,273858.0,485819.0,NE,-0.279014633851,NE<br>Democrats: 36.0492683075%<br>Republicans: 63.9507316925%
NH,348126.0,345598.0,NH,0.00364410053566,NH<br>Democrats: 50.1822050268%<br>Republicans: 49.8177949732%
NJ,2021756.0,1535513.0,NJ,0.136689971998,NJ<br>Democrats: 56.8344985999%<br>Republicans: 43.1655014001%
NM,380724.0,315875.0,NM,0.0930937311136,NM<br>Democrats: 54.6546865557%<br>Republicans: 45.3453134443%
