,County Name,State,ObamaVotes.12,RomneyVotes.12,votes_dem.16,votes_gop.16,total_votes.16,per_dem.16,per_gop.16,diff.16,per_point_diff.16,bushVote.04,kerryVote.04,Total.Precincts.08,Precincts.Reporting.08,Obama.08,McCain.08,Other.08,name,x_coord,y_coord,state_abbr,total_population,white_population,white_population_error,black_population,black_population_error,total_households,average_household_size,average_family_size,fertility,enrolled_hs,enrolled_higher_ed,edu_less_than_9th,edu_hs_no_diploma,edu_hs_diploma,edu_college_no_degree,edu_college_bachelors,edu_college_graduate_professional,in_labor_force_yes,in_labor_force_no,public_transportation_to_work,working_at_home,occupation_management_business_science_arts,income_less_than_10000,income_10000_to_24999,income_25000_to_49999,income_50000_to_99999,income_100000_to_149999,income_150000_to_199999,income_more_than_200000
1,2baltimore,maryland,201042,25501,178562,22726,208980,0.8544454015,0.1087472485,491,2384,33736,165055,290,290,206548,27850,2290,Baltimore city,-76.610616,39.3008,MD,620538,186424,68,399121,70,238392,2.52,3.42,9885,33948,60047,27028,64761,119325,74001,54324,47744,310273,188874,49262,7150,98932,31068,47053,63771,64532,19217,19217,6272
2,2bedford,virginia,1225,1527,NA,NA,NA,NA,NA,NA,NA,1472,1042,3,3,1208,1497,27,Bedford city,-79.521114,37.337818,VA,6177,4588,437,1357,391,2782,2.21,2.86,92,211,300,242,404,1342,926,538,329,3102,1704,0,116,861,383,661,850,585,217,217,9
3,2fairfax,virginia,6636,4762,7363,3695,11854,0.6211405433,0.3117091277,1513,749,5045,5395,7,7,6571,4686,107,Fairfax city,-77.298227,38.85365,VA,22058,16068,583,1019,104,8524,2.52,3.08,386,1149,1926,445,622,2364,2884,4554,3694,12348,5792,1037,541,6349,176,541,1057,2661,2085,2085,1074
4,2franklin,virginia,2830,1496,2516,1421,4040,0.6227722772,0.3517326733,104,609,1613,1910,7,7,2817,1575,31,Franklin city,-76.935967,36.680804,VA,8549,3480,120,4849,191,3524,2.36,2.95,191,459,490,574,783,1667,1273,677,401,3651,3129,0,38,945,595,804,884,861,289,289,31
5,2richmond,virginia,71037,19732,74640,14254,94724,0.7879734809,0.1504792872,2118,2102,21637,52167,67,67,73180,18472,700,Richmond city,-77.474584,37.53105,VA,201828,84552,939,103148,1086,83498,2.3,3.13,2967,8472,28135,8911,16381,30914,23293,25016,16599,108481,57903,6534,3146,35339,10792,18415,22262,20683,5977,5977,2951
6,2roanoke,virginia,22179,14116,23403,16045,41728,0.560846434,0.3845139954,2363,272,16661,18862,33,33,24934,15394,385,Roanoke city,-79.958399,37.2784,VA,95793,63210,595,27124,733,42833,2.19,2.92,1094,4414,5785,5036,7716,20271,14077,9432,5181,48676,28481,1458,1081,13117,5016,9380,13603,11130,2419,2419,646
7,2stlouis,missouri,294735,223102,101487,20281,127403,0.7965824981,0.1591877742,2496,2101,244388,294402,659,659,332085,221016,4980,St. Louis city,-90.244299,38.63605,MO,318809,140629,932,158863,906,140439,2.19,3.13,5584,17179,30919,12932,27863,56875,43556,32276,24172,168720,87478,15230,3766,51471,21984,32578,38288,33357,9805,9805,1977
8,abbeville,south carolina,4507,5923,3712,6742,10724,0.3461395002,0.6286833271,1284,654,5435,4389,19,19,4586,6224,144,Abbeville,-82.453021,34.227273,SC,25643,17936,1083,7281,27,9875,2.49,3.08,190,1560,1567,1321,2683,5854,3247,1740,899,11681,8633,19,199,2579,1570,2632,2354,2746,431,431,23
9,acadia,louisiana,6559,19931,5638,21159,27386,0.2058716132,0.7726210473,486,1831,16083,8937,59,59,7028,19228,454,Acadia Parish,-92.410832,30.291312,LA,61139,48452,338,11074,437,21984,2.75,3.28,755,3480,2269,5369,6405,15173,5513,3167,1033,26921,19439,43,568,6150,2696,5129,5910,5913,1717,1717,191
10,accomack,virginia,7653,8212,6737,8582,15755,0.4276102825,0.5447159632,706,75,7726,5518,22,22,7607,7833,166,Accomack,-75.763999,37.762281,VA,34066,22639,624,9729,1067,14085,2.39,2.99,370,1829,1212,1919,3191,9190,4218,2493,1866,16523,11012,149,396,4294,1753,2765,4255,3629,1150,1150,239
11,ada,idaho,77043,97471,75676,93748,195587,0.3869173309,0.47931611,683,2534,93870,58230,141,141,82023,92879,3828,Ada,-116.243102,43.448193,ID,380718,350935,1048,3861,634,145584,2.55,3.09,6140,22226,28464,4655,12642,56055,65560,58323,27171,201142,88929,1121,9588,76674,7577,19814,36890,50948,18723,18723,5272
12,adair,iowa,1788,2110,1127,2456,3759,0.2998137803,0.6533652567,310,916,2393,1833,6,6,1920,2059,56,Adair,-94.466243,41.327177,IA,7779,7611,838,NA,NA,3409,2.28,2.84,73,457,167,173,294,2446,1233,586,152,4027,2148,18,355,1116,286,635,978,1168,216,216,55
13,adair,kentucky,1660,5841,1323,6637,8228,0.1607924161,0.8066358775,1962,2125,5628,1764,16,16,1888,5512,0,Adair,-85.281615,37.105341,KY,18542,17550,1159,NA,NA,7272,2.41,2.93,278,861,1312,1837,1989,4306,1750,802,956,7785,7027,37,459,2004,1278,1906,2068,1617,256,256,79
14,adair,missouri,4218,5648,3495,6019,10137,0.3447765611,0.5937654138,1058,522,6367,4938,12,12,5735,5891,244,Adair,-92.598803,40.188408,MO,25315,23960,1077,NA,NA,9584,2.33,2.9,352,1018,6371,645,980,5152,2554,1864,1618,12062,8876,22,298,4287,1662,2209,2656,2221,535,535,80
15,adair,oklahoma,2110,4362,1374,4753,6468,0.2124304267,0.7348484848,1416,1636,4971,2560,18,18,2049,4636,0,Adair,-94.658226,35.878036,OK,22424,10337,244,NA,NA,7919,2.81,3.33,434,1355,765,1234,2068,5827,2975,1097,390,8682,8084,101,691,2009,1433,1989,2400,1799,233,233,39
16,adams,colorado,90843,66531,86471,73807,175125,0.4937673091,0.4214532477,253,2336,62485,65081,216,216,90113,62321,2972,Adams,-104.350313,39.870594,CO,425330,328366,501,12925,815,147951,2.85,3.39,7436,23645,19894,20513,29660,80132,59188,38097,15316,226945,88712,8735,6886,57419,8153,21363,37343,52174,20464,20464,2984
17,adams,idaho,577,1413,415,1556,2183,0.1901053596,0.7127805772,145,1637,1468,555,6,6,728,1515,75,Adams,-116.454682,44.895846,ID,3942,3597,1077,NA,NA,1700,2.31,2.69,27,265,116,71,260,1118,612,394,213,2006,1181,0,162,445,161,381,532,445,130,130,35
18,adams,illinois,9627,20371,7633,22732,31770,0.2402581051,0.7155177841,456,1420,20788,10467,80,80,11700,18592,316,Adams,-91.194609,39.985905,IL,67030,62911,196,2262,191,27149,2.38,2.96,870,3764,4226,1487,3418,17847,9813,6605,2964,35032,18324,227,1177,9816,1931,5647,7704,8356,2428,2428,577
