State,median_income
alabama,"41,459"
alaska,"66,311"
arizona,"48,108"
arkansas,"39,375"
california,"59,540"
colorado,"55,580"
connecticut,"65,883"
delaware,"57,289"
florida,"45,609"
georgia,"47,659"
hawaii,"65,191"
idaho,"44,867"
illinois,"54,644"
indiana,"45,898"
iowa,"49,401"
kansas,"49,687"
kentucky,"40,948"
louisiana,"43,804"
maine,"47,069"
maryland,"70,976"
massachusetts,"63,967"
michigan,"46,692"
minnesota,"56,936"
mississippi,"37,838"
missouri,"45,600"
montana,"44,145"
nebraska,"49,770"
nevada,"52,045"
new hampshire,"62,770"
new jersey,"69,829"
new mexico,"43,326"
new york,"55,712"
north carolina,"44,726"
north dakota,"50,026"
ohio,"46,275"
oklahoma,"43,239"
oregon,"47,989"
pennsylvania,"50,548"
rhode island,"53,879"
south carolina,"43,311"
south dakota,"46,993"
tennessee,"42,453"
texas,"50,010"
utah,"56,227"
vermont,"50,707"
virginia,"62,173"
washington,"57,201"
west virginia,"39,444"
wisconsin,"50,293"
wyoming,"55,213"
district of columbia,"62,009"
