Chapter,Periods,Characters
1,189,21759
2,188,22148
3,231,20558
4,195,25526
5,255,23395
6,140,14622
7,131,14431
8,214,22476
9,337,33767
10,185,18508
11,193,23024
12,429,39363
13,175,18669
14,180,17924
15,181,17385
16,172,15353
17,155,13879
18,144,17432
19,121,17338
20,145,14252
21,269,23545
22,120,13708
23,247,23015
24,182,24239
25,91,13526
26,150,21739
27,109,15754
28,271,30992
29,233,26254
30,218,24137
31,178,20723
32,224,23158
33,232,25777
34,257,32496
35,201,21310
36,100,11441
37,157,23524
38,206,26091
39,263,27473
40,61,11368
41,187,26464
42,118,16753
43,305,33202
44,95,10289
45,96,12558
46,234,27094
47,392,40935
