Temperature,Date,Latitude,Longitude,Station name
67,1013,40.97806,-124.10861000000001,Arcata/Eureka
63,811,38.3208,-123.0747,Bodega
94,706,39.1019,-121.5677,Marysville
59,1211,36.935829999999996,-121.78861,Watsonville
111,620,32.83417,-115.57861000000001,Imperial
88,821,33.9,-117.25,Riverside
68,606,33.938,-118.3888,Los Angeles
66,205,37.28472,-120.51278,Merced
89,902,39.49,-121.61833,Oroville
105,728,34.8536,-116.7858,Daggett
71,127,32.7,-117.2,San Diego
70,304,32.86667,-117.13333,Miramar
109,925,32.81667,-115.68333,El Centro
75,727,34.4258,-119.8425,Santa Barbara
64,1128,34.4258,-119.8425,Santa Barbara
88,919,32.86667,-117.13333,Miramar
99,730,41.3325,-122.33278,Mount Shasta
70,209,32.81583,-117.13944,San Diego
67,628,40.8097,-124.1602,Eureka
93,906,34.7411,-118.2116,Lancaster
77,1018,34.11667,-119.11667,Point Mugu
67,331,34.4141,-119.8796,Santa Barbara
87,825,33.21944000000001,-117.34943999999999,Oceanside
94,1002,38.3775,-121.9575,Vacaville
69,716,33.405,-118.41583,Avalon
60,1227,33.8222,-116.5043,Palm Springs
73,804,37.6542,-122.115,Hayward
93,920,37.7705,-122.4269,San Francisco C.O.
76,618,39.2774,-120.7102,Emigrant Gap
74,615,33.21944000000001,-117.34943999999999,Oceanside
103,816,39.1019,-121.5677,Marysville
61,102,34.11667,-119.11667,Point Mugu
70,329,34.01583,-118.45138999999999,Santa Monica
77,331,32.6233,-116.4728,Campo
84,601,37.28472,-120.51278,Merced
57,1117,41.78028,-124.23666999999999,Crescent City
83,325,33.8116,-118.1463,Long Beach
96,629,37.28472,-120.51278,Merced
111,624,32.83417,-115.57861000000001,Imperial
57,217,36.58806,-121.84528,Monterey
77,309,34.62944,-118.08361000000001,Palmdale
99,829,32.6233,-116.4728,Campo
85,419,34.62944,-118.08361000000001,Palmdale
74,710,32.7,-117.2,San Diego
82,710,37.2381,-120.8825,Merced
71,401,38.3775,-121.9575,Vacaville
81,1023,35.6875,-117.6931,China Lake
56,126,40.97806,-124.10861000000001,Arcata/Eureka
64,1102,37.6542,-122.115,Hayward
55,111,37.3591,-121.92399999999999,San Jose
75,402,32.57222,-116.97944,San Diego
78,606,32.6233,-116.4728,Campo
77,1030,37.7705,-122.4269,San Francisco C.O.
61,606,41.78028,-124.23666999999999,Crescent City
64,228,38.3775,-121.9575,Vacaville
69,613,32.7,-117.2,San Diego
55,1116,36.78,-119.7194,Fresno
82,424,33.6186,-114.7142,Blythe
75,1108,34.200559999999996,-118.3575,Burbank
84,813,34.21667,-119.08333,Camarillo
47,1227,34.8536,-116.7858,Daggett
84,212,34.200559999999996,-118.3575,Burbank
88,621,33.0375,-116.91583,Ramona
75,1006,34.4258,-119.8425,Santa Barbara
