Institution ID,Number of full-time undergraduates
100654,3906.0
100663,9975.0
100690,294.0
100706,5000.0
100724,5025.0
100751,27148.0
100760,1489.0
100812,2771.0
100830,3571.0
100858,19635.0
100937,1331.0
101028,1431.0
101073,515.0
101116,577.0
101143,2101.0
101161,3703.0
101189,2658.0
101240,4650.0
101277,93.0
101286,3611.0
101295,4486.0
101301,1574.0
101365,338.0
101435,1078.0
101453,43.0
101462,921.0
101471,564.0
101480,6856.0
101499,935.0
101505,6041.0
101514,7911.0
101541,343.0
101569,2695.0
101587,1744.0
101602,1338.0
101648,422.0
101675,1681.0
101693,1341.0
101709,2455.0
101736,2702.0
101879,5292.0
101897,2409.0
101912,1777.0
101949,1124.0
101958,133.0
101994,673.0
102030,2822.0
102049,3100.0
102058,433.0
102067,4106.0
102076,2023.0
102094,10289.0
102234,1225.0
102261,149.0
102270,940.0
102298,542.0
102313,1275.0
102368,13261.0
102377,2606.0
102395,100.0
102429,2970.0
102553,11469.0
102580,28.0
102614,5545.0
102632,1544.0
102669,342.0
102711,295.0
102845,2983.0
103361,263.0
103501,741.0
103644,2008.0
103723,640.0
103732,80.0
103741,215.0
103778,1.0
103787,55.0
103811,1644.0
103893,573.0
103909,767.0
103927,379.0
103945,401.0
103954,61.0
103963,1146.0
104090,736.0
104151,38197.0
104160,5538.0
104179,30837.0
104188,277.0
104294,151.0
104346,4893.0
104364,685.0
104391,84.0
104425,7758.0
104434,75.0
104443,141.0
104504,188.0
104568,492.0
104577,3810.0
104586,1674.0
104665,5.0
104708,12558.0
104717,27695.0
104805,3081.0
104911,269.0
105118,523.0
105145,3415.0
105154,14734.0
105163,468.0
105172,575.0
105206,3309.0
105215,2976.0
105297,1357.0
105330,21724.0
105349,1964.0
105367,387.0
105428,7001.0
105482,115.0
105516,2721.0
105525,18794.0
105534,2357.0
105543,1393.0
105589,680.0
105659,842.0
105668,15333.0
105677,60.0
105701,89.0
105747,6030.0
105792,2737.0
105899,526.0
105987,391.0
106041,3860.0
106102,985.0
106111,231.0
106148,4258.0
106245,7814.0
106263,722.0
106281,25.0
106306,877.0
106315,52.0
106324,35.0
106342,559.0
106351,156.0
106360,52.0
106397,19445.0
106412,2494.0
106449,3387.0
106458,9242.0
106467,8398.0
106485,3031.0
106494,52.0
106546,1055.0
106625,1906.0
106704,8908.0
106713,742.0
106795,1011.0
106810,147.0
106829,391.0
106883,919.0
106892,323.0
106908,514.0
106980,2237.0
106999,1051.0
107044,4300.0
107071,3197.0
107080,1438.0
107099,72.0
107123,126.0
107141,1752.0
107211,31.0
107220,349.0
107275,13.0
107293,113.0
107318,1217.0
107327,1149.0
107363,61.0
107442,72.0
107460,1744.0
107488,341.0
107512,1536.0
107521,923.0
107549,1251.0
107558,598.0
107585,1705.0
107600,624.0
107619,1156.0
107637,1251.0
107655,41.0
107664,8396.0
107725,1054.0
107743,636.0
107789,126.0
107831,106.0
107840,91.0
107877,516.0
107974,1310.0
107983,2681.0
107992,1316.0
108065,24.0
108092,6103.0
108232,8062.0
108250,574.0
108269,0.0
108348,61.0
108649,267.0
108667,3071.0
108807,6639.0
108852,276.0
108861,0.0
108870,0.0
108977,136.0
109040,1320.0
109086,0.0
109208,20452.0
109332,306.0
109350,9206.0
109651,2072.0
109721,406.0
109730,146.0
109785,6038.0
109819,10325.0
109907,2120.0
109934,260.0
110060,217.0
110097,4274.0
110185,745.0
110194,158.0
110219,1585.0
110246,8649.0
110307,0.0
110316,124.0
110334,7729.0
110361,5056.0
110370,1434.0
110398,0.0
110404,978.0
110413,2812.0
110422,16661.0
110468,227.0
110486,6915.0
110495,6243.0
110510,14586.0
110529,17439.0
110538,14249.0
110547,8683.0
110556,17363.0
110565,26806.0
110574,11053.0
110583,25679.0
110592,15805.0
110608,25175.0
110617,20490.0
110635,27568.0
110644,25844.0
110653,23595.0
110662,28634.0
110671,18145.0
110680,23961.0
110699,0.0
110705,19593.0
110714,16216.0
110778,0.0
110875,123.0
110918,22.0
110945,1577.0
111009,733.0
111054,315.0
111081,948.0
111188,1209.0
111391,0.0
111434,3446.0
111461,11307.0
111513,214.0
111638,877.0
111708,253.0
111717,481.0
111726,260.0
111744,179.0
111762,125.0
111771,158.0
111799,82.0
111887,13090.0
111896,2420.0
111920,7610.0
111939,10496.0
111948,5964.0
111966,85.0
112075,1842.0
112084,767.0
112127,0.0
112172,8456.0
112181,156.0
112190,17569.0
112251,0.0
112260,1272.0
112288,496.0
112367,561.0
112385,4591.0
112394,332.0
112446,878.0
112455,56.0
112525,0.0
112561,1523.0
112570,368.0
112686,4506.0
112783,360.0
112826,4249.0
113096,9327.0
113111,3222.0
113193,6518.0
113218,4270.0
113236,8732.0
113333,16729.0
113397,1938.0
113449,281.0
113537,29.0
113573,5686.0
113582,185.0
113634,13015.0
113698,1484.0
113704,0.0
113856,17297.0
113908,1084.0
113980,13952.0
114044,78.0
114071,520.0
114080,473.0
114114,0.0
114123,323.0
114266,5539.0
114354,3705.0
114390,658.0
114415,269.0
114433,1171.0
114460,294.0
114549,0.0
114585,0.0
114628,91.0
114716,9635.0
114734,0.0
114761,85.0
114789,12994.0
114813,2393.0
114840,0.0
114859,11124.0
114938,3327.0
114947,335.0
115001,11348.0
115010,420.0
115083,422.0
115126,7358.0
115214,0.0
115296,10461.0
115357,38.0
115393,5506.0
115409,788.0
115454,1444.0
115472,2199.0
115490,1975.0
115515,1230.0
115533,1720.0
115658,209.0
115728,817.0
115746,0.0
115755,7081.0
115773,1136.0
115861,5313.0
115931,211.0
116226,170.0
116350,373.0
116439,8005.0
116466,1394.0
116475,510.0
116484,971.0
116563,226.0
116660,46.0
116712,219.0
116846,118.0
117052,8144.0
117104,437.0
117113,2180.0
117140,4476.0
117168,433.0
117195,1316.0
117238,123.0
117247,5668.0
117274,1329.0
117520,0.0
117557,77.0
117575,62.0
117627,1959.0
117636,1191.0
117645,15602.0
117672,309.0
117690,5285.0
117706,10996.0
117715,3247.0
117724,7421.0
117733,9459.0
117751,1271.0
117788,10027.0
117803,142.0
117867,4825.0
117894,5289.0
117928,1334.0
117946,5743.0
117955,276.0
118116,71.0
118125,31.0
118134,94.0
118143,93.0
118161,148.0
118189,145.0
118198,953.0
118259,895.0
118277,1700.0
118286,1367.0
118347,4489.0
118356,3923.0
118541,932.0
118684,2263.0
118693,723.0
118718,6973.0
118772,2842.0
118888,926.0
118912,11189.0
118921,889.0
118930,5625.0
118958,50.0
118967,1310.0
118976,10635.0
118994,93.0
119058,23.0
119067,4588.0
119137,9338.0
119164,19891.0
119173,2157.0
119216,9516.0
119234,118.0
119270,1390.0
119331,3780.0
119340,372.0
119359,1049.0
119368,342.0
119438,378.0
119456,733.0
119465,936.0
119508,1064.0
119544,369.0
119553,449.0
119605,12180.0
119678,0.0
119775,364.0
119845,219.0
119951,263.0
120069,454.0
120078,747.0
120087,328.0
120166,208.0
120184,1012.0
120254,2275.0
120272,112.0
120290,6153.0
120342,12918.0
120403,1163.0
120421,3879.0
120537,748.0
120661,1222.0
120698,151.0
120740,0.0
120768,456.0
120795,0.0
120838,20.0
120865,1478.0
120883,4194.0
120953,1132.0
120971,15037.0
121017,101.0
121044,14712.0
121150,3799.0
121257,1037.0
121275,414.0
121309,2494.0
121345,1590.0
121363,2560.0
121381,906.0
121433,126.0
121619,11756.0
121628,0.0
121637,90.0
121691,3481.0
121707,4410.0
121859,301.0
121868,146.0
121886,9610.0
121901,10661.0
121983,120.0
121992,221.0
122117,69.0
122180,15963.0
122205,13716.0
122250,6.0
122296,793.0
122339,7972.0
122366,230.0
122375,12487.0
122384,5128.0
122409,24201.0
122436,5755.0
122454,413.0
122506,191.0
122597,22077.0
122603,0.0
122612,6693.0
122649,0.0
122658,12167.0
122685,3128.0
122694,1109.0
122728,1002.0
122746,5526.0
122755,20414.0
122791,5398.0
122834,648.0
122843,2403.0
122852,216.0
122889,12568.0
122931,6026.0
122977,20311.0
123013,13047.0
123095,0.0
123165,950.0
123208,2383.0
123217,6982.0
123280,43.0
123299,5645.0
123341,11488.0
123350,98.0
123396,181.0
123448,0.0
123457,958.0
123484,1659.0
123493,1066.0
123509,5824.0
123527,7444.0
123554,3053.0
123563,5790.0
123572,7449.0
123581,444.0
123633,175.0
123642,333.0
123651,1940.0
123679,1428.0
123800,10761.0
123855,0.0
123916,0.0
123943,0.0
123952,255.0
123961,19539.0
123970,0.0
124113,2121.0
124283,0.0
124292,444.0
124344,618.0
124487,199.0
124681,5151.0
124706,984.0
124779,44.0
124937,802.0
125028,8460.0
125037,0.0
125082,122.0
125091,7630.0
125170,3146.0
125231,12410.0
125310,37.0
125462,1898.0
125471,5221.0
125499,6128.0
125532,1556.0
125718,0.0
125727,1397.0
125763,1595.0
125897,1511.0
126012,0.0
126030,0.0
126049,0.0
126076,192.0
126119,4737.0
126164,120.0
126182,2115.0
126207,3598.0
126289,6619.0
126359,978.0
126401,545.0
126562,9926.0
126580,7506.0
126605,948.0
126614,25055.0
126669,2685.0
126678,2002.0
126687,1436.0
126702,1855.0
126711,3463.0
126748,757.0
126775,4410.0
126784,149.0
126818,21413.0
126827,1362.0
126854,31.0
126863,4730.0
126872,913.0
126915,306.0
126924,105.0
126942,7329.0
126951,1270.0
126979,0.0
127024,669.0
127060,5213.0
127158,2460.0
127185,3631.0
127200,13526.0
127219,49.0
127228,212.0
127273,0.0
127316,390.0
127389,707.0
127556,7618.0
127565,16926.0
127617,1011.0
127653,350.0
127680,258.0
127699,213.0
127714,394.0
127732,1337.0
127741,9548.0
127778,1167.0
127787,528.0
127820,10395.0
127839,521.0
127884,5329.0
127909,6185.0
127918,4403.0
127945,612.0
127954,13.0
128106,4454.0
128151,777.0
128179,204.0
128188,1236.0
128258,1408.0
128328,5088.0
128337,111.0
128391,1865.0
128425,18.0
128498,1382.0
128540,135.0
128577,1048.0
128586,33.0
128674,901.0
128683,815.0
128726,141.0
128744,2241.0
128771,8543.0
128780,917.0
128896,241.0
128902,2062.0
128957,177.0
129002,326.0
129020,17671.0
129154,3017.0
129181,893.0
129215,4862.0
129242,3884.0
129349,166.0
129367,2609.0
129428,0.0
129482,307.0
129491,0.0
129525,5140.0
129534,67.0
129543,3677.0
129613,315.0
129640,24.0
129686,63.0
129695,4667.0
129729,4491.0
129756,1813.0
129774,813.0
129808,2897.0
129923,534.0
129932,337.0
129941,4802.0
129969,280.0
130004,4085.0
130040,837.0
130110,159.0
130129,616.0
130174,2822.0
130183,6657.0
130217,1178.0
130226,6404.0
130253,4023.0
130314,905.0
130396,4672.0
130448,530.0
130493,7281.0
130509,404.0
130581,0.0
130590,2298.0
130606,2787.0
130624,1102.0
130697,3114.0
130776,5044.0
130785,0.0
130794,6908.0
130837,53.0
130873,1370.0
130891,3159.0
130907,2239.0
130916,4972.0
130934,3797.0
130943,17653.0
130989,567.0
131061,186.0
131098,1322.0
131113,6179.0
131159,7098.0
131283,3757.0
131308,289.0
131399,3454.0
131405,0.0
131450,1062.0
131469,10304.0
131496,7346.0
131520,6446.0
131742,2900.0
131803,818.0
131830,60.0
131876,1492.0
131973,0.0
132268,2295.0
132338,1933.0
132374,1295.0
132408,428.0
132471,4212.0
132523,0.0
132602,3675.0
132657,1704.0
132666,96.0
132675,136.0
132693,12053.0
132709,30322.0
132806,332.0
132842,314.0
132851,6103.0
132879,370.0
132903,45565.0
132976,282.0
133021,1609.0
133085,498.0
133155,539.0
133386,11389.0
133465,833.0
133492,2437.0
133508,10649.0
133526,897.0
133553,4520.0
133650,9654.0
133669,20736.0
133702,21810.0
133711,2644.0
133809,502.0
133845,671.0
133854,600.0
133863,675.0
133872,1665.0
133881,3039.0
133942,193.0
133951,34130.0
133960,833.0
133979,1543.0
133997,10133.0
134024,106.0
134079,2285.0
134097,31611.0
134112,4907.0
134121,111.0
134130,32139.0
134149,2036.0
134228,30.0
134237,28213.0
134291,541.0
134307,640.0
134343,4474.0
134422,66.0
134495,19838.0
134510,128.0
134529,261.0
134574,223.0
134608,12211.0
134680,752.0
134714,176.0
134811,3502.0
134909,540.0
134945,2873.0
135063,345.0
135081,17507.0
135124,801.0
135142,214.0
135160,2179.0
135179,500.0
135188,2983.0
135267,729.0
135276,777.0
135294,659.0
135337,144.0
135364,351.0
135391,8012.0
135407,1020.0
135416,447.0
135522,392.0
135610,175.0
135647,721.0
135717,53787.0
135726,10871.0
135735,937.0
135771,549.0
135939,320.0
135957,829.0
136048,111.0
136066,874.0
136075,315.0
136109,161.0
136145,903.0
136172,12712.0
136206,563.0
136215,4822.0
136233,5197.0
136288,1054.0
136303,560.0
136330,2420.0
136358,19938.0
136400,7030.0
136473,8740.0
136491,572.0
136516,7935.0
136659,285.0
136701,0.0
136765,384.0
136774,1273.0
136783,27.0
136826,692.0
136950,2674.0
137023,578.0
137032,11999.0
137078,21467.0
137087,481.0
137096,11819.0
137120,528.0
137148,94.0
137209,15021.0
137245,1598.0
137272,75.0
137281,4698.0
137315,1902.0
137351,28730.0
137476,1588.0
137537,325.0
137546,2661.0
137564,2201.0
137591,232.0
137713,126.0
137759,10904.0
137777,40.0
137801,1108.0
137810,621.0
137847,6494.0
137856,114.0
137865,338.0
137953,229.0
137962,167.0
138132,99.0
138187,30467.0
138275,959.0
138284,390.0
138293,644.0
138309,5736.0
138354,8810.0
138372,552.0
138479,953.0
138488,445.0
138497,346.0
138558,2564.0
138600,892.0
138655,307.0
138664,28.0
138682,3707.0
138691,5000.0
138716,3331.0
138761,283.0
138789,5831.0
138813,3140.0
138822,789.0
138840,4217.0
138868,1376.0
138901,2437.0
138929,0.0
138938,130.0
138947,2631.0
138956,3494.0
139010,2308.0
139074,1180.0
139092,88.0
139144,2025.0
139153,388.0
139199,1428.0
139205,513.0
139214,186.0
139250,2447.0
139278,4768.0
139287,79.0
139311,5585.0
139348,0.0
139357,3241.0
139366,6037.0
139384,4629.0
139393,1069.0
139463,3846.0
139506,287.0
139579,760.0
139621,2345.0
139630,748.0
139658,8696.0
139700,4071.0
139719,2981.0
139746,76.0
139755,15126.0
139764,2459.0
139861,5540.0
139904,1650.0
139931,17010.0
139940,21951.0
139959,25050.0
139968,3336.0
139986,4168.0
139995,165.0
140003,404.0
140012,5138.0
140146,0.0
140164,19728.0
140234,830.0
140243,2435.0
140252,849.0
140331,8173.0
140340,526.0
140447,4075.0
140553,2379.0
140562,0.0
140599,1493.0
140678,1976.0
140696,1027.0
140720,828.0
140818,1255.0
140827,141.0
140872,1196.0
140942,3677.0
140951,8146.0
140960,4045.0
140988,1488.0
141006,1565.0
141015,221.0
141060,2383.0
141097,4742.0
141158,1195.0
141167,780.0
141185,804.0
141237,886.0
141255,3246.0
141264,9382.0
141325,516.0
141334,9112.0
141361,1038.0
141468,1815.0
141486,1565.0
141565,3036.0
141574,13697.0
141608,127.0
141644,4633.0
141680,2538.0
141796,5069.0
141802,815.0
141811,4589.0
141839,2492.0
141848,158.0
141936,0.0
141945,247.0
141981,1303.0
141990,1481.0
142054,527.0
142090,182.0
142115,14986.0
142179,531.0
142276,8853.0
142285,9214.0
142294,1026.0
142328,3199.0
142337,298.0
142407,51.0
142416,32.0
142443,4684.0
142461,1711.0
142489,76.0
142522,30522.0
142559,5051.0
142832,0.0
142869,47.0
142878,86.0
142887,384.0
143048,2498.0
143084,2555.0
143118,3013.0
143181,61.0
143215,9085.0
143233,0.0
143279,5086.0
143288,541.0
143297,208.0
143303,22.0
143358,4726.0
143376,301.0
143464,111.0
143473,88.0
143482,68.0
143491,120.0
143516,84.0
143534,101.0
143543,92.0
143552,102.0
143613,1784.0
143659,0.0
143695,37.0
143853,0.0
143978,0.0
144005,3602.0
144014,0.0
144050,5619.0
144157,5044.0
144166,5494.0
144175,4110.0
144184,9050.0
144193,7497.0
144209,6987.0
144218,8683.0
144281,9340.0
