Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CFNL,Cardinal Financial Corporation,25.78,$836.8M,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/cfnl
KKR^A,KKR & Co. L.P.,27.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kkr^a
JW.B,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jw.b
IFF,"Internationa Flavors & Fragrances, Inc.",136.38,$10.87B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/iff
IIM,Invesco Value Municipal Income Trust,17.3,$813.8M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iim
WYIG,JM Global Holding Company,9.7999,$64.31M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyig
AIRR,First Trust RBA American Industrial Renaissance ETF,19.56,$19.56M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/airr
FEN,First Trust Energy Income and Growth Fund,25.16,$486.98M,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen
ALX,"Alexander&#39;s, Inc.",446.8,$2.28B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
SOHOL,Sotherly Hotels LP,25.5,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/sohol
STC,Stewart Information Services Corporation,45,$1.05B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/stc
TV,Grupo Televisa S.A.,26.3,$15.38B,1993,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/tv
VECO,Veeco Instruments Inc.,20.35,$826.98M,1994,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/veco
NCB,Nuveen California Municipal Value Fund 2,18.55,$61.02M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ncb
CTAA,Qwest Corporation,27.5,n/a,2016,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctaa
GORO,Gold Resource Corporation,6.6,$358.16M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro
VMBS,Vanguard Mortgage-Backed Securities ETF,53.79,$2.75B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vmbs
DGICA,"Donegal Group, Inc.",16.17,$424.24M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgica
TPVZ,TriplePoint Venture Growth BDC Corp.,25.5301,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/tpvz
CDOR,"Condor Hospitality Trust, Inc.",1.92,$9.49M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdor
RRMS,"Rose Rock Midstream, L.P.",23.19,$854.27M,2011,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/rrms
LBTYB,Liberty Global plc,31.075,$28.59B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtyb
ADS,Alliance Data Systems Corporation,220.4,$12.99B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads
VER,VEREIT Inc.,10.65,$9.64B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ver
URI,"United Rentals, Inc.",78.84,$6.79B,1997,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/uri
LOXO,"Loxo Oncology, Inc.",27.43,$594.25M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/loxo
LB,"L Brands, Inc.",72.04,$20.71B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/lb
WPCS,WPCS International Incorporated,1.3801,$3.73M,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/wpcs
OMER,Omeros Corporation,13.38,$523.63M,2009,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/omer
E,ENI S.p.A.,29.98,$54.48B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/e
TCBIP,"Texas Capital Bancshares, Inc.",26.42,$158.52M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbip
AMH^C,American Homes 4 Rent,27.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^c
FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc.",11.99,$326.24M,2006,n/a,n/a,http://www.nasdaq.com/symbol/fof
FEIC,FEI Company,106.62,$4.37B,1995,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/feic
PERY,Perry Ellis International Inc.,20.5,$319.12M,1993,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/pery
NXEO,"Nexeo Solutions, Inc.",7.88,$492.75M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/nxeo
GJV,"Synthetic Fixed-Income Securities, Inc.",26.1,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gjv
