Institution ID,Number of Pell grant recipients,Number of undergraduates
100654,2967,4170
100663,3958,11291
100690,225,329
100706,1930,5882
100724,4240,5130
100751,5905,28026
100760,1316,2020
100812,1402,3414
100830,1698,4239
100858,3403,20175
100937,260,1224
101028,1058,1730
101073,511,611
101116,502,704
101143,1272,2484
101161,2149,4399
101189,1607,2763
101240,3529,5882
101277,72,147
101286,2542,4582
101295,2704,5390
101301,1376,1790
101365,188,295
101435,481,1118
101453,30,62
101462,733,1248
101471,0,437
101480,3686,7991
101499,578,1094
101505,3177,8878
101514,4507,11177
101541,169,353
101569,2332,3419
101587,1174,2095
101602,947,1646
101648,169,382
101675,1392,1692
101693,781,1552
101709,1074,2597
101736,1945,3717
101879,2556,6098
101897,1972,3140
101912,996,1966
101949,735,1312
101958,78,121
101994,347,495
102030,2408,3791
102049,443,2965
102058,420,560
102067,2663,5104
102076,1399,2436
102094,4235,11315
102234,400,1202
102261,109,179
102270,757,1019
102298,832,861
102313,881,1445
102368,8522,17912
102377,1681,2605
102395,55,117
102429,2182,3734
102553,4082,16505
102580,12,55
102614,1888,8039
102632,501,2732
102669,115,412
102711,90,774
102845,1125,1705
103361,109,521
103501,314,508
103644,1304,1578
103723,441,590
103732,64,97
103741,240,306
103778,0,3
103787,58,73
103811,811,1644
103893,748,1031
103909,858,1176
103927,475,730
103945,215,255
103954,46,80
103963,809,1045
104090,1230,1861
104151,13187,39066
104160,4571,7877
104179,10306,31565
104188,112,211
104294,170,297
104346,3259,7018
104364,655,784
104391,95,151
104425,1391,4516
104434,71,95
104443,138,194
104504,162,228
104568,390,492
104577,1271,6435
104586,484,1678
104665,1,3
104708,8147,21361
104717,16394,31158
104805,1446,1856
104911,288,401
105118,222,431
105145,2267,6720
105154,9324,25024
105163,336,460
105172,391,575
105206,2491,5220
105215,1601,3323
105297,1620,1970
105330,8223,21768
105349,1094,3718
105367,201,336
105428,5787,12228
105482,83,151
105516,1952,3724
105525,10780,32988
105534,1303,2660
105543,925,1496
105589,306,673
105659,653,1012
105668,6229,24342
105677,28,60
105701,54,88
105747,2393,10895
105792,2445,4843
105899,224,683
105987,424,742
106041,1728,3594
106102,822,2129
