Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
6M Grocery,78652,01/17/2014,90,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,04/27/2015,93,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,05/02/2016,88,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,07/25/2014,100,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,10/21/2015,87,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,12/15/2014,93,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
7 Eleven #36575,78660,01/25/2016,92,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,03/05/2015,86,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,03/14/2014,93,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,07/27/2015,97,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,07/28/2016,77,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,09/09/2014,76,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7-Eleven #36562H,78744,01/29/2015,78,"6422 S US 183 HWY SB
AUSTIN, TX 78744
",10874472,Routine Inspection
7-Eleven #36562H,78744,03/16/2016,74,"6422 S US 183 HWY SB
AUSTIN, TX 78744
",10874472,Routine Inspection
7-Eleven #36562H,78744,03/25/2015,72,"6422 S US 183 HWY SB
AUSTIN, TX 78744
",10874472,Routine Inspection
7-Eleven #36562H,78744,04/23/2014,87,"6422 S US 183 HWY SB
AUSTIN, TX 78744
",10874472,Routine Inspection
7-Eleven #36562H,78744,08/16/2016,80,"6422 S US 183 HWY SB
AUSTIN, TX 78744
",10874472,Routine Inspection
7-Eleven #36562H,78744,10/26/2015,78,"6422 S US 183 HWY SB
AUSTIN, TX 78744
",10874472,Routine Inspection
7-Eleven #36562H,78744,10/28/2014,85,"6422 S US 183 HWY SB
AUSTIN, TX 78744
",10874472,Routine Inspection
7-Eleven 36559H,78734,01/28/2015,89,"3636 N FM 620 RD
AUSTIN, TX 78734
",10874261,Routine Inspection
7-Eleven 36559H,78734,02/02/2016,75,"3636 N FM 620 RD
AUSTIN, TX 78734
",10874261,Routine Inspection
7-Eleven 36559H,78734,03/11/2014,77,"3636 N FM 620 RD
AUSTIN, TX 78734
",10874261,Routine Inspection
7-Eleven 36559H,78734,04/17/2015,85,"3636 N FM 620 RD
AUSTIN, TX 78734
",10874261,Routine Inspection
7-Eleven 36559H,78734,07/22/2016,93,"3636 N FM 620 RD
AUSTIN, TX 78734
",10874261,Routine Inspection
7-Eleven 36559H,78734,08/25/2015,86,"3636 N FM 620 RD
AUSTIN, TX 78734
",10874261,Routine Inspection
7-Eleven 36559H,78734,09/12/2014,89,"3636 N FM 620 RD
AUSTIN, TX 78734
",10874261,Routine Inspection
7-Eleven Convenience Store # 36564A,78732,02/02/2015,100,"7002 N FM 620 RD
AUSTIN, TX 78732
",11066939,Routine Inspection
7-Eleven Convenience Store # 36564A,78732,05/25/2016,89,"7002 N FM 620 RD
AUSTIN, TX 78732
",11066939,Routine Inspection
7-Eleven Convenience Store # 36564A,78732,07/01/2015,89,"7002 N FM 620 RD
AUSTIN, TX 78732
",11066939,Routine Inspection
7-Eleven Convenience Store # 36564A,78732,08/19/2014,97,"7002 N FM 620 RD
AUSTIN, TX 78732
",11066939,Routine Inspection
7-Eleven Convenience Store # 36564A,78732,11/24/2015,91,"7002 N FM 620 RD
AUSTIN, TX 78732
",11066939,Routine Inspection
7-Eleven Convenience Store #36266A,78754,08/19/2016,82,"8600 E US 290 HWY WB
AUSTIN, TX 78754
",11402314,Routine Inspection
7-Eleven Convenience Store #36597A,78749,03/29/2016,99,"5445 W US 290 HWY EB
AUSTIN, TX 78749
",11087909,Routine Inspection
7-Eleven Convenience Store #36597A,78749,04/03/2015,94,"5445 W US 290 HWY EB
AUSTIN, TX 78749
",11087909,Routine Inspection
7-Eleven Convenience Store #36597A,78749,09/16/2016,91,"5445 W US 290 HWY EB
AUSTIN, TX 78749
",11087909,Routine Inspection
7-Eleven Convenience Store #36597A,78749,10/01/2015,93,"5445 W US 290 HWY EB
AUSTIN, TX 78749
",11087909,Routine Inspection
7-Eleven Convenience Store #36597A,78749,10/17/2014,93,"5445 W US 290 HWY EB
AUSTIN, TX 78749
",11087909,Routine Inspection
ABC's & 123's Infant and Child Care Cntr,78653,02/26/2015,100,"13419 E US 290 HWY EB
MANOR, TX 78653
",2802997,Routine Inspection
