Crime Rate, Median Home Value
.00632, 24
.02731, 21.6
.02729, 34.7
.03237, 33.4
.06905, 36.2
.02985, 28.7
.08829, 22.9
.14455, 27.1
.21124, 16.5
.17004, 18.9
.22489, 15
.11747, 18.9
.09378, 21.7
.62976, 20.4
.63796, 18.2
.62739, 19.9
.05393, 23.1
.7842, 17.5
.80271, 20.2
.7258, 18.2
.25179, 13.6
.85204, 19.6
.23247, 15.2
.98843, 14.5
.75026, 15.6
.84054, 13.9
.67191, 16.6
.95577, 14.8
.77299, 18.4
.00245, 21
.13081, 12.7
.35472, 14.5
.38799, 13.2
.15172, 13.1
.61282, 13.5
.06417, 18.9
.09744, 20
.08014, 21
.17505, 24.7
.02763, 30.8
.03359, 34.9
.12744, 26.6
.1415, 25.3
.15936, 24.7
.12269, 21.2
.17142, 19.3
.18836, 20
.22927, 16.6
.25387, 14.4
.21977, 19.4
.08873, 19.7
.04337, 20.5
.0536, 25
.04981, 23.4
.0136, 18.9
.01311, 35.4
.02055, 24.7
.01432, 31.6
.15445, 23.3
.10328, 19.6
.14932, 18.7
.17171, 16
.11027, 22.2
.1265, 25
.01951, 33
.03584, 23.5
.04379, 19.4
.05789, 22
.13554, 17.4
.12816, 20.9
.08826, 24.2
.15876, 21.7
.09164, 22.8
.19539, 23.4
.07896, 24.1
.09512, 21.4
.10153, 20
.08707, 20.8
.05646, 21.2
.08387, 20.3
.04113, 28
.04462, 23.9
.03659, 24.8
.03551, 22.9
.05059, 23.9
.05735, 26.6
.05188, 22.5
.07151, 22.2
.0566, 23.6
.05302, 28.7
.04684, 22.6
.03932, 22
.04203, 22.9
.02875, 25
.04294, 20.6
.12204, 28.4
.11504, 21.4
.12083, 38.7
.08187, 43.8
0.0686, 33.2
0.14866, 27.5
0.11432, 26.5
0.22876, 18.6
0.21161, 19.3
0.1396, 20.1
0.13262, 19.5
0.1712, 19.5
0.13117, 20.4
0.12802, 19.8
0.26363, 19.4
0.10793, 21.7
0.10084, 22.8
0.12329, 18.8
0.22212, 18.7
0.14231, 18.5
0.17134, 18.3
0.13158, 21.2
0.15098, 19.2
0.13058, 20.4
0.14476, 19.3
0.06899, 22
0.07165, 20.3
0.09299, 20.5
0.15038, 17.3
0.09849, 18.8
0.16902, 21.4
0.38735, 15.7
0.25915, 16.2
0.32543, 18
0.88125, 14.3
0.34006, 19.2
1.19294, 19.6
0.59005, 23
0.32982, 18.4
0.97617, 15.6
0.55778, 18.1
0.32264, 17.4
0.35233, 17.1
0.2498, 13.3
0.54452, 17.8
0.2909, 14
1.62864, 14.4
3.32105, 13.4
4.0974, 15.6
2.77974, 11.8
2.37934, 13.8
2.15505, 15.6
2.36862, 14.6
2.33099, 17.8
2.73397, 15.4
1.6566, 21.5
1.49632, 19.6
1.12658, 15.3
2.14918, 19.4
1.41385, 17
3.53501, 15.6
2.44668, 13.1
1.22358, 41.3
1.34284, 24.3
1.42502, 23.3
1.27346, 27
1.46336, 50
1.83377, 50
1.51902, 50
2.24236, 22.7
2.924, 25
2.01019, 50
1.80028, 23.8
2.3004, 23.8
2.44953, 22.3
1.20742, 17.4
2.3139, 19.1
0.13914, 23.1
0.09178, 23.6
0.08447, 22.6
0.06664, 29.4
0.07022, 23.2
0.05425, 24.6
0.06642, 29.9
0.0578, 37.2
0.06588, 39.8
0.06888, 36.2
0.09103, 37.9
0.10008, 32.5
0.08308, 26.4
0.06047, 29.6
0.05602, 50
0.07875, 32
0.12579, 29.8
0.0837, 34.9
0.09068, 37
0.06911, 30.5
0.08664, 36.4
0.02187, 31.1
0.01439, 29.1
0.01381, 50
0.04011, 33.3
0.04666, 30.3
0.03768, 34.6
0.0315, 34.9
0.01778, 32.9
0.03445, 24.1
0.02177, 42.3
0.0351, 48.5
0.02009, 50
0.13642, 22.6
0.22969, 24.4
0.25199, 22.5
0.13587, 24.4
0.43571, 20
0.17446, 21.7
0.37578, 19.3
0.21719, 22.4
0.14052, 28.1
0.28955, 23.7
0.19802, 25
0.0456, 23.3
0.07013, 28.7
0.11069, 21.5
0.11425, 23
0.35809, 26.7
0.40771, 21.7
0.62356, 27.5
0.6147, 30.1
0.31533, 44.8
0.52693, 50
0.38214, 37.6
0.41238, 31.6
0.29819, 46.7
0.44178, 31.5
0.537, 24.3
0.46296, 31.7
0.57529, 41.7
0.33147, 48.3
0.44791, 29
0.33045, 24
0.52058, 25.1
0.51183, 31.5
0.08244, 23.7
0.09252, 23.3
0.11329, 22
0.10612, 20.1
0.1029, 22.2
0.12757, 23.7
0.20608, 17.6
0.19133, 18.5
0.33983, 24.3
0.19657, 20.5
0.16439, 24.5
0.19073, 26.2
0.1403, 24.4
0.21409, 24.8
0.08221, 29.6
0.36894, 42.8
0.04819, 21.9
0.03548, 20.9
0.01538, 44
0.61154, 50
0.66351, 36
0.65665, 30.1
0.54011, 33.8
0.53412, 43.1
0.52014, 48.8
0.82526, 31
0.55007, 36.5
0.76162, 22.8
0.7857, 30.7
0.57834, 50
0.5405, 43.5
0.09065, 20.7
0.29916, 21.1
0.16211, 25.2
0.1146, 24.4
0.22188, 35.2
0.05644, 32.4
0.09604, 32
0.10469, 33.2
0.06127, 33.1
0.07978, 29.1
0.21038, 35.1
0.03578, 45.4
0.03705, 35.4
0.06129, 46
0.01501, 50
0.00906, 32.2
0.01096, 22
0.01965, 20.1
0.03871, 23.2
0.0459, 22.3
0.04297, 24.8
0.03502, 28.5
0.07886, 37.3
0.03615, 27.9
0.08265, 23.9
0.08199, 21.7
0.12932, 28.6
0.05372, 27.1
0.14103, 20.3
0.06466, 22.5
0.05561, 29
0.04417, 24.8
0.03537, 22
0.09266, 26.4
0.1, 33.1
0.05515, 36.1
0.05479, 28.4
0.07503, 33.4
0.04932, 28.2
0.49298, 22.8
0.3494, 20.3
2.63548, 16.1
0.79041, 22.1
0.26169, 19.4
0.26938, 21.6
0.3692, 23.8
0.25356, 16.2
0.31827, 17.8
0.24522, 19.8
0.40202, 23.1
0.47547, 21
0.1676, 23.8
0.18159, 23.1
0.35114, 20.4
0.28392, 18.5
0.34109, 25
0.19186, 24.6
0.30347, 23
0.24103, 22.2
0.06617, 19.3
0.06724, 22.6
0.04544, 19.8
0.05023, 17.1
0.03466, 19.4
0.05083, 22.2
0.03738, 20.7
0.03961, 21.1
0.03427, 19.5
0.03041, 18.5
0.03306, 20.6
0.05497, 19
0.06151, 18.7
0.01301, 32.7
0.02498, 16.5
0.02543, 23.9
0.03049, 31.2
0.03113, 17.5
0.06162, 17.2
0.0187, 23.1
0.01501, 24.5
0.02899, 26.6
0.06211, 22.9
0.0795, 24.1
0.07244, 18.6
0.01709, 30.1
0.04301, 18.2
0.10659, 20.6
8.98296, 17.8
3.8497, 21.7
5.20177, 22.7
4.26131, 22.6
4.54192, 25
3.83684, 19.9
3.67822, 20.8
4.22239, 16.8
3.47428, 21.9
4.55587, 27.5
3.69695, 21.9
13.5222, 23.1
4.89822, 50
5.66998, 50
6.53876, 50
9.2323, 50
8.26725, 50
11.1081, 13.8
18.4982, 13.8
19.6091, 15
15.288, 13.9
9.82349, 13.3
23.6482, 13.1
17.8667, 10.2
88.9762, 10.4
15.8744, 10.9
9.18702, 11.3
7.99248, 12.3
20.0849, 8.8
16.8118, 7.2
24.3938, 10.5
22.5971, 7.4
14.3337, 10.2
8.15174, 11.5
6.96215, 15.1
5.29305, 23.2
11.5779, 9.7
8.64476, 13.8
13.3598, 12.7
8.71675, 13.1
5.87205, 12.5
7.67202, 8.5
38.3518, 5
9.91655, 6.3
25.0461, 5.6
14.2362, 7.2
9.59571, 12.1
24.8017, 8.3
41.5292, 8.5
67.9208, 5
20.7162, 11.9
11.9511, 27.9
7.40389, 17.2
14.4383, 27.5
51.1358, 15
14.0507, 17.2
18.811, 17.9
28.6558, 16.3
45.7461, 7
18.0846, 7.2
10.8342, 7.5
25.9406, 10.4
73.5341, 8.8
11.8123, 8.4
11.0874, 16.7
7.02259, 14.2
12.0482, 20.8
7.05042, 13.4
8.79212, 11.7
15.8603, 8.3
12.2472, 10.2
37.6619, 10.9
7.36711, 11
9.33889, 9.5
8.49213, 14.5
10.0623, 14.1
6.44405, 16.1
5.58107, 14.3
13.9134, 11.7
11.1604, 13.4
14.4208, 9.6
15.1772, 8.7
13.6781, 8.4
9.39063, 12.8
22.0511, 10.5
9.72418, 17.1
