acceleration,mpg
7.46,41.26
8.2,54.1
7.97,45.23
9.52,53.0
7.04,47.04
9.52,53.0
9.71,53.0
8.33,40.46
9.52,53.0
8.62,41.0
10.32,31.99
9.35,52.0
9.9,46.0
9.09,17.0
12.76,28.23
7.63,39.99
12.76,29.4
9.71,52.0
8.26,41.0
9.52,29.0
14.93,28.0
11.11,17.0
8.98,32.93
11.28,33.64
18.65,33.4
9.26,47.04
13.29,32.93
10.91,22.35
12.76,25.87
17.54,21.0
11.28,31.75
12.28,21.78
10.87,27.0
10.75,26.0
11.49,17.0
8.7,37.16
9.09,22.35
9.52,30.11
13.7,34.0
7.87,35.28
13.47,31.99
12.6,23.99
9.6,47.98
13.89,26.34
11.55,40.69
11.55,54.1
10.21,41.87
17.96,18.82
11.55,54.1
9.09,29.0
13.7,28.0
13.51,21.0
8.33,21.0
8.85,68.21
9.24,37.0
9.24,30.15
15.38,28.7
14.08,33.64
12.05,29.4
7.14,31.28
20.41,22.11
11.15,37.63
8.26,30.0
14.7,37.0
14.71,26.11
9.17,41.0
18.65,33.64
10.78,35.0
12.35,29.0
11.49,39.0
11.76,35.0
11.63,32.0
13.89,30.0
12.99,22.0
11.76,22.0
12.99,21.0
9.35,50.0
9.71,42.0
9.6,44.36
10.0,72.92
11.36,61.16
7.52,58.8
12.05,25.99
9.51,32.93
6.29,50.81
10.54,36.0
12.35,32.0
9.52,41.0
11.49,39.0
12.2,37.0
11.9,36.0
13.89,33.0
12.5,32.0
18.52,21.0
16.13,21.0
18.18,20.0
9.35,50.0
8.82,50.0
11.11,37.0
16.67,26.0
16.95,31.0
9.42,42.0
11.11,37.0
13.16,41.0
11.49,39.0
19.23,29.0
11.36,29.0
17.54,26.0
17.54,25.0
13.5,21.0
8.7,50.0
12.66,45.0
10.2,44.0
10.2,50.0
11.72,47.0
12.35,43.0
11.76,42.0
13.51,41.0
13.33,40.0
11.76,38.0
11.63,38.0
11.76,37.0
11.36,37.0
11.49,29.0
11.36,29.0
12.2,29.0
12.99,30.0
13.89,28.0
14.71,26.0
16.39,21.0
16.13,21.0
11.63,21.0
11.9,21.0
11.88,21.0
13.33,21.0
14.03,45.0
10.31,42.0
12.35,40.0
9.26,38.0
14.93,28.0
12.35,21.0
10.0,21.0
16.67,31.0
19.61,29.0
14.93,26.0
12.99,26.0
18.18,25.0
18.52,25.0
13.89,21.0
9.17,50.0
11.76,43.0
11.76,43.0
11.11,37.0
