Stem,Word
día,día
pido,pido
hatr,hatred
pide,pide
yellow,yellow
four,four
sleev,sleeve
sleep,sleep
thirst,thirst
upsid,upside
captain,captain
hate,hate
yonder,yonder
villag,village
request,request
otro,otro
whose,whose
accus,accused
pardon,pardon
auf,auf
spin,spinning
sorri,sorry
sweetest,sweetest
otra,otra
igual,igual
aus,aus
concret,concrete
certain,certain
buddi,buddy
daze,daze
under,under
tai,tai
lord,lord
pride,pride
sway,sway
worth,worth
lonesom,lonesome
digit,digital
callin,callin'
everi,every
risk,risk
neue,neue
void,void
rise,rise
lurk,lurking
voic,voice
distort,distorted
risa,risa
olvidart,olvidarte
smack,smack
georgia,georgia
jack,jack
voix,voix
govern,government
affect,affection
voit,voit
ala,alas
voir,voir
vast,vast
elvi,elvis
school,school
prize,prize
daydream,daydream
wooden,wooden
ref,ref:
factori,factory
oooo,oooo
haben,haben
nacht,nacht
oooh,oooh
niño,niño
venus,venus
blick,blick
upp,upp
hora,hora
chew,chew
fuera,fuera
again,again
naiv,naive
chez,chez
direct,direction
horn,horn
nail,nails
consequ,consequence
second,second
street,street
sooth,soothe
olvida,olvida
fuert,fuerte
n,n
illumin,illuminate
even,even
nel,nel
nem,nem
hide,hide
christ,christ
wreck,wreck
thunder,thunder
amus,amused
asid,aside
lightn,lightning
poison,poison
muer,muere
kun,kun
haze,haze
fuerza,fuerza
toll,toll
upset,upset
new,new
net,net
ever,ever
liberti,liberty
told,told
med,med
meg,meg
manipul,manipulate
hero,hero
sobr,sobre
oscuridad,oscuridad
così,così
never,never
here,here
meu,meu
met,met
jaurai,j'aurais
nicht,nicht
china,china
smokin,smokin'
mes,mes
mer,mer
path,path
100,100
pleasur,pleasure
half,half
gli,gli
tant,tant
daughter,daughter
ska,ska
anymor,anymore
robin,robin
dri,dry
jame,james
resto,resto
cradl,cradle
smoke,smoke
zombi,zombie
studi,study
fui,fui
counti,county
golden,golden
stray,stray
ecstasi,ecstasy
também,também
solament,solamente
tempt,tempted
seven,seven
strap,strapped
brought,brought
qui,qui
attitud,attitude
toujour,toujours
moral,moral
hollow,hollow
outra,outra
stern,stern
hablar,hablar
total,total
unit,united
plot,plot
symphoni,symphony
spoke,spoke
would,would
nine,nine
niin,niin
princess,princess
bike,bike
music,music
calm,calm
armi,army
strike,strike
torment,torment
tryin,tryin'
type,type
tell,tell
willst,willst
griev,grieve
saber,saber
relax,relax
relat,relate
notic,notice
hurt,hurt
warn,warning
phone,phone
berlin,berlin
warm,warm
pecho,pecho
holi,holy
aux,aux
muss,muss
moin,moins
hole,hole
pouco,pouco
dot,dot
must,must
me,me
accid,accident
für,für
ma,ma
room,room
mc,mc
flore,flores
mm,mm
mo,mo
work,work
mi,mi
cant,cant
roof,roof
hizo,hizo
ere,eres
wors,worse
wort,worte
era,era
sweeter,sweeter
mr,mr.
olen,olen
im,im
libertad,libertad
my,my
it´,it´s
gloria,gloria
jamai,jamais
empieza,empieza
io,io
serpent,serpent
give,give
vos,vos
honey,honey
mornin,mornin'
wirklich,wirklich
want,want
aaah,aaah
nient,niente
attract,attraction
cielo,cielo
end,end
solitud,solitude
thing,things
polic,police
hoo,hoo
travel,travel
prendr,prendre
ogni,ogni
how,how
hot,hot
confin,confined
hop,hop
rewind,rewind
answer,answer
gate,gates
quoi,quoi
beach,beach
quon,qu'on
hoy,hoy
cariño,cariño
fever,fever
recogn,recognize
lai,lai
mess,mess
cadillac,cadillac
ladder,ladder
after,after
vicious,vicious
être,être
befor,before
wrong,wrong
lay,lay
beauti,beautiful
weißt,weißt
law,law
lap,lap
adio,adios
sentir,sentir
domin,domination
third,third
acaba,acaba
sitä,sitä
greet,greet
imposs,impossible
hasta,hasta
wink,wink
green,green
enter,enter
plagu,plague
worst,worst
wing,wings
wind,wind
wine,wine
origin,original
peux,peux
carnav,carnaval
madrugada,madrugada
deck,deck
peur,peur
crumbl,crumble
over,over
failur,failure
orang,orange
becaus,because
peut,peut
surrend,surrender
finest,finest
london,london
atrá,atrás
mañana,mañana
vita,vita
hook,hook
tennesse,tennessee
vite,vite
dreamer,dreamer
ima,i'ma
meno,menos
gentl,gentle
vento,vento
fit,fit
canto,canto
despierta,despierta
fix,fix
baila,baila
crew,crew
better,better
spoken,spoken
offic,office
días,días
fade,fade
creo,creo
hidden,hidden
fin,fin
easier,easier
fil,fils
split,split
then,then
them,them
anim,animal
trippin,trippin'
était,était
thee,thee
safe,safe
deinem,deinem
disturb,disturb
deinen,deinen
break,break
band,band
bang,bang
deiner,deiner
promis,promise
they,they
teu,teu
battl,battle
one,one
silver,silver
bank,bank
bread,bread
wenn,wenn
choic,choice
victori,victory
viver,viver
chico,chico
sleepless,sleepless
l,l
choir,choir
luce,luce
holdin,holdin'
rocki,rocky
arrow,arrow
each,each
puppet,puppet
went,went
enamorado,enamorado
side,side
bone,bones
mean,mean
turnin,turnin'
allah,allah
overflow,overflow
spider,spider
tip,tip
taught,taught
forgot,forgot
dawn,dawn
despis,despise
saturday,saturday
whip,whip
fragil,fragile
depress,depression
gon,gon'
velvet,velvet
goe,goes
god,god
nunca,nunca
muero,muero
algún,algún
matar,matar
content,content
re,re
laid,laid
branch,branches
ra,ra
mondo,mondo
got,got
forth,forth
swell,swell
smart,smart
frei,frei
written,written
hang,hang
nightmar,nightmare
situat,situation
infin,infinity
free,free
bailar,bailar
redempt,redemption
spill,spill
boulevard,boulevard
evil,evil
entrar,entrar
nie,nie
silent,silent
dancin,dancin'
ate,ate
sunshin,sunshine
puzzl,puzzle
ritual,ritual
cosmic,cosmic
ist,ist
att,att
rais,raise
hopeless,hopeless
can’t,can’t
loud,loud
bite,bite
fantasi,fantasy
rang,range
slept,slept
einer,einer
tellement,tellement
jamaica,jamaica
fácil,fácil
trembl,tremble
independ,independent
wast,waste
lágrima,lágrimas
system,system
wash,wash
alreadi,already
comin,comin'
einen,einen
thick,thick
agre,agree
hood,hood
pasa,pasa
endlich,endlich
é,é
è,è
bonita,bonita
inch,inch
top,top
à,à
ingen,ingen
sometim,sometimes
å,å
fiction,fiction
tabl,table
toi,toi
ton,ton
too,too
tom,tom
rockin,rockin'
dwell,dwell
hollywood,hollywood
john,john
bitter,bitter
tod,tod
listen,listen
hacer,hacer
murder,murder
consol,consolation
segundo,segundo
tool,tool
took,took
wisdom,wisdom
digo,digo
western,western
crawl,crawl
diga,digas
pluie,pluie
cri,cry
preacher,preacher
bitt,bitte
silli,silly
target,target
thirsti,thirsty
provid,provide
coward,coward
tra,tra
tree,tree
hors,horse
shower,shower
matter,matter
entr,entre
flame,flame
ancora,ancora
k,k
minut,minute
rag,rag
fashion,fashion
esta,esta
estc,est-ce
ran,ran
mina,mina
esto,esto
mind,mind
mine,mine
drip,drip
sourir,sourire
raw,raw
rat,rat
seed,seed
rap,rap
seen,seen
seem,seems
it’,it’s
seek,seek
boogi,boogie
salvat,salvation
strength,strength
realm,realm
alibi,alibi
damour,d'amour
especi,especially
snow,snow
bleib,bleib
chest,chest
rome,rome
i´m,i´m
hum,hum
rider,rider
blue,blue
crippl,crippled
despertar,despertar
nuit,nuit
razon,razon
plenti,plenty
though,though
scienc,science
doin,doin'
object,object
sue,sue
ahí,ahí
sinto,sinto
mouth,mouth
addict,addicted
letter,letter
jumpin,jumpin'
phase,phase
coin,coin
the,the
grave,grave
glow,glow
tradit,tradition
singer,singer
excus,excuse
don,don?
doo,doo
dom,dom
flor,flor
alarm,alarm
nei,nei
metal,metal
dog,dog
doe,does
freeway,freeway
suo,suo
declar,declare
dor,dor
dos,dos
cama,cama
left,left
scream,scream
came,came
job,job
beaten,beaten
bomb,bomb
