Column,"Description",Category
CMSA,"1980 design CMSA code",Geography
COUNTY,"County code",Geography
DIVISION,"Census division",Geography
METRO,"Multiple central cities/suburban status within metro areas",Geography
METRO3,"Central city / suburban status",Geography
PMSA,"1990 design PMSA code",Geography
PSUDOTCT,"Census tract for 1970, 1980 or 1990 containing case",Geography
REGION,"Census region",Geography
SMSA,"1980 design PMSA code",Geography
STATE,"FIPS state code",Geography
ZONE,"Defined area of > 100,000 population",Geography
ACCESS,"Direct access to unit",Unit
ACCESSB,"Entry system required to access building",Unit
AGERES,"Age restricted development",Unit
AIR,"Room air conditioner",Unit
AIRSYS,"Central air conditioner",Unit
ANYCAR,"Wall-to-wall carpeting in any area of unit",Unit
ANYPNT,"Any painting done on inside of unit",Unit
ANYRUG,"Any rugs or carpeting in unit",Unit
APTFL,"Number of floors in the apartment itself",Unit
ASSTSERV,"Manager provides personal care assistance",Unit
ATBSUN,"Number of unfinished attics/basements in unit",Unit
BATHS,"Number of full bathrooms in unit",Unit
BDCARP,"Wall-to-wall carpeting in bedroom",Unit
BEDRMS,"Number of bedrooms in unit",Unit
BEDX,"Number of bedrooms with wall-to-wall carpeting",Unit
BUILT,"Year unit was built",Unit
BURNER,"Unit has working built-in cooking burners",Unit
BUSIN,"Number of offices/business rooms in unit",Unit
BUSPER,"# rooms used for business/personal use",Unit
CELLAR,"Unit has a basement",Unit
CLIMB,"Number of floors from main entrance to apartment",Unit
CONDO,"Unit is condominium or cooperative",Unit
COOK,"Unit has working cookstove or range/oven",Unit
DENS,"Number of dens/libraries/tv rooms in unit",Unit
DINING,"Number of dining rooms in unit",Unit
DIRAC,"Number of offices having direct access",Unit
DISH,"Unit has working dishwasher",Unit
DISPL,"Unit has working garbage disposal",Unit
DRSHOP,"Medical office/community store on property",Unit
DRY,"Unit has working clothes dryer",Unit
DSTEAM,"Steam/hot water system-DK if supplemental/parallel",Unit
DSTOVE,"Woodburning stove - DK if supplemental/parallel",Unit
EAIRC,"Energy star rated room air conditioner",Unit
EBAR,"Windows covered with metal bars",Unit
ECNTAIR,"Energy star rated central air conditioner",Unit
EDISHWR,"Energy star rated dishwasher",Unit
EDRYER,"Energy star rated clothes dryer",Unit
EFRIDGE,"Energy star rated refrigerator",Unit
EHEATUT,"Energy star rated heating equipment",Unit
ELEV,"Working passenger elevator",Unit
ENOEAPP,"No energy star rated appliances",Unit
EOTEAPP,"Unit has another type of energy star rated appliance",Unit
ETRSHCP,"Energy star rated built-in trash compactor",Unit
EWASHR,"Energy star rated washing machine",Unit
EXCLUS,"Number offices used exclusively for business",Unit
FAMRM,"Number of family rooms/great rooms in unit",Unit
FLOODPLN,"Unit in a flood plain",Unit
FLOORS,"Number of stories in building",Unit
FLOT,"Room heater vented to outside",Unit
FPINS,"Fireplace has inserts",Unit
FPLWK,"Unit has useable fireplace",Unit
FRPL,"Fireplace does not have inserts",Unit
FRPLI,"Fireplace has inserts",Unit
FRSTOC,"Current occupants are first occupants",Unit
GARAGE,"Garage or carport included with unit",Unit
