CMSA,DIVISION,METRO3,REGION,SMSA,ACCESS,AIR,AIRSYS,BATHS,BEDRMS,BUILT,BURNER,BUSPER,CELLAR,CLIMB,CONDO,COOK,DENS,DINING,DIRAC,DISH,DISPL,DRSHOP,DRY,EBAR,ELEV,EXCLUS,FAMRM,FLOORS,FLOT,FPINS,FPLWK,FRPL,FRPLI,FRSTOC,GARAGE,HALFB,HOTPIP,INCP,KEXCLU,KITCH,KITCHEN,LAUNDY,LIVING,LOT,MOBILTYP,MOPERM,MOSALL,MOSAPR,MOSAUG,MOSDEC,MOSFEB,MOSJAN,MOSJUL,MOSJUN,MOSMAR,MOSMAY,MOSNOV,MOSOCT,MOSSEP,NEWC,NUMAIR,NUNIT2,NUNITS,OARSYS,OTBUP,OTHFN,OTHRUN,OVEN,OWNLOT,PHONE,PLUGS,PORCH,PREOCC,PUBSEW,RECRM,REFR,ROOMS,SEWDIS,SEWDUS,SHARAT,SHARFR,SINHV,SINK,SINVV,SOTHV,SRECV,SRENTV,SSELV,STEAM,TENURE,TIMSHR,TRASH,TUB,TYPE,UNITSF,VACANC2,VACANC2B,VACANCY,WASH,WATER,WATERD,WELDUS,WELL,WHNGET,YRRND,BLDMNT,BLEAK,BSINK,CRACKS,DISAS,EBOARD,EBROKE,ECRUMB,EGOOD,EHOLER,ELEVWK,EMISSR,EMISSW,EROACH,ESAGR,ESLOPW,EVROD,EXPOSE,FREEZE,GRDMNT,HOLES,HOWH,IFBLOW,IFCOLD,IFDRY,IFSEW,IFTLT,ILEAK,LEAK,M12ROACH,M12ROD,MAJR1,MAJR2,MAJR3,MICE,MINR1,MINR2,MINR3,NLEAK1,NLEAK2,NOTSUR,NOWIRE,NUMBLOW,NUMCOLD,NUMDRY,NUMSEW,NUMTLT,OTHCLD,OTLEAK,PILEAK,PLEAK,PLUMB,RATFREQ,RATS,RLEAK,ROACHFRQ,TOILET,TREP,WATERS,WHYCD1,WHYCD2,WHYCD3,WHYCD4,WHYCD5,WLEAK,WTRHRL,ZADEQ,AMTI,AMTT,AMTW,AMTX,BUYI,BUYT,BUYT2,BUYW,BUYW2,CLPEVA,CONFEE,CPRICE,CSTMNT,DOWNPCT,DWNPAY,FLRENT,FMHOTF,FRENT,HELC,HELCN,HELUMN,HELUMP,HUDADMIN,HUDSAMP,IFFEE,INCS,LANPMT,LOOKHS,LOOKNS,LPRICE,LRENT,LVALUE,MCNT,MG,MHOTFE,NUMMOR,POOR,PRENT,PRIN01,PROJ,PVALUE,RAM,RCNTRL,REGMOR,RENT,RNTADJ,TADJ,TXRE,VALUE,VCHRMOV,ZSMHC,APPLY,CUSHOM,DLINE1,ELDER,FRSTHO,HCARE,HDSB,HERRND,HHAGE,HHCITSHP,HHEAR,HHGRAD,HHINUSYR,HHKIDU18,HHLDKID,HHMAR,HHNATVTY,HHPAR,HHPCARE,HHPERRND,HHPHEAR,HHPLINE,HHPMEMRY,HHPSEE,HHPWALK,HHRACE,HHREL,HHSEX,HHSPAN,HHSPOS,HHTEN,HMEMRY,HSEE,HWALK,KIDU18,LANG,MOVEDLY,NONREL,NOSTEP,NROWNR,NRPAYM,PER,PERSINT,RESPTYP,SAMEHH,SAMEHH2,SNITEV,STATUS,ZADULT,ZMVGRP,CROPSL,HHPQALIM,HHPQDIV,HHPQINT,HHPQOTHER,HHPQRENT,HHPQRETIR,HHPQSAL,HHPQSELF,HHPQSS,HHPQSSI,HHPQWELF,HHPQWKCMP,HHPVOTHER,HHSAL,LODG,QALIM,QDIV,QFS1,QINT,QOTHER,QRENT,QRETIR,QSELF,QSS,QSSI,QWELF,QWKCMP,SUBRNT,VCHER,VOTHER,VOTHER2,ZINC,ZINC2,ZINCH,ZINCN
'99','89','1','4','7500','1',2,'1',3,3,1975,'-6',0,3,-6,'3','1',0,1,-6,'1','1','2','1','2','-6',0,0,1,'-6','-6',1,'-9','-9','-6','1',0,'1','-6','-6',1,'1',1,1,44000,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'2','2',0,0,'-6','-6','1','1','1','2','2',0,'1',6,'1','1','-6','-6','-6','1','-6','-6','-6','-6','-6','2','1','-6','2','1',1,2700,'-6','-6',-6,'1','1','-6','5','-6',1993,'-6','-6','-6','1','2','-6','2','2','2','1','2','-6','2','2','2','2','2','2','-6','2','-6','2',9,'2','-6','2','2','2','2','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',2550,420,3161,6450,'1','-6','-6','-6','-6',41,-6,-6,2000,'5','1',-6,-6,-6,'2',-6,-6,'2','-6','2','2','2','-6','-6','-6',420000,-6,-6,1,'1',-6,1,2710,-6,2200,'-6',-6,'-6','-6',1,-6,'-6','-6','2',850000,'-6',3699,'-6','-6',1,2,'1','2','2','2',68,'1','2',40,-6,0,0,'1','057',-9,'2','2','2',1,'2','2','2','01',1,'2','2',2,'1','2','2','2',0,'1','2',0,'2','2','2',2,'1','1','1','1','-6','1',2,'0','-6','2','1','2','2','2','2','2','2','1','2','2','2',11000,0,-6,'2','1','-6','1','2','2','2','2','1','2','2','2','-6','-6',36000,36000,377943,377943,'2',1121003
'99','89','1','4','7360','1',2,'2',1,3,1940,'-6',1,4,-6,'3','1',0,1,-6,'1','1','-6','1','2','-6',0,0,2,'-6','-6',2,'-6','-6','-6','1',0,'1','-6','-6',1,'1',0,1,4500,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'-6','2',0,0,'-6','-6','1','1','1','-6','1',0,'1',6,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','2','2','-6','2','1',1,1968,'-6','-6',-6,'1','1','-6','5','-6',-6,'-6','1','-6','1','2','-6','2','2','-7','-9','2','-6','2','2','2','2','2','2','-6','2','1','2',8,'1','-6','2','2','2','2','2','-6','-6','1','1','1','-6','1','1','1','-6','-6','-6','1','1','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',344,-6,-6,-6,'1','2','-6','2','-6',-6,-6,-6,-6,'-6','-6',-6,-6,4,'-6',-6,-6,'-6','4','2','-6','-6','-6','1','1',-6,-6,-6,-6,'-6',-6,-6,835,-6,-6,'-6',-6,'-6','2',-6,1825,'2','-6','-6',-6,'-6',715,'-6','-6',2,0,'-6','2','2','2',37,'1','2',44,-6,1,1,'1','057',-9,'2','2','2',1,'2','2','2','01',1,'2','2',2,'1','2','2','2',1,'1','2',0,'1','-6','-6',3,'1','6','1','1','-6','1',2,'1','-6','2','1','1','2','2','2','2','1','2','2','2','2',80125,0,-6,'2','1','-6','1','2','2','2','1','2','2','2','2','2','-6',80325,80325,155325,155325,'2',-8
'99','89','1','4','7400','1',2,'2',2,4,1960,'-6',0,3,-6,'3','1',0,1,-6,'1','1','-6','1','2','-6',0,0,2,'-6','-6',1,'-6','-6','-6','1',1,'1','-6','-6',1,'1',0,1,6000,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'-6','2',0,0,'-6','-6','1','1','1','-6','1',0,'1',7,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','2','-6','2','1',1,1500,'-6','-6',-6,'1','1','6','5','-6',-6,'-6','1','-6','1','2','-6','2','2','2','1','2','-6','2','2','2','2','2','2','-6','2','1','2',10,'2','-6','2','2','2','2','2','-6','-6','5','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','2','-6','-6','-6','-6','-6','-6','-6','1',-6,-6,780,-6,'2','2','-6','-6','-6',-6,-6,-6,-6,'-6','-6',-6,-6,12,'-6',-6,-6,'-6','4','2','-6','-6','-6','3','2',-6,-6,-6,-6,'-6',-6,-6,256,-6,-6,'-6',-6,'-6','2',-6,2500,'1','-6','-6',-6,'-6',2734,'-6','-6',1,0,'-6','2','2','2',35,'5','2',39,1989,2,2,'1','312',-9,'2','2','2',1,'2','2','2','01',1,'1','1',2,'1','2','2','2',2,'1','2',0,'1','-6','-6',4,'1','1','1','1','-6','1',2,'1','-6','2','2','2','2','2','2','1','2','2','2','2','2',-13,60000,-6,'2','2','-6','2','2','2','2','2','2','2','2','2','2','-6',-26,-26,59974,59974,'1',-6
'99','89','2','4','7360','1',2,'2',2,4,1970,'-6',0,-6,3,'1','1',0,1,-6,'1','1','2','1','-6','2',0,0,3,'-6','-6',1,'-9','-9','-6','1',0,'1','-6','2',1,'2',0,1,-6,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'3',24,'-6','-6',0,0,'-6','-6','1','1','1','2','1',0,'1',7,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','2','1','-6','2','1',1,1474,'-6','-6',-6,'1','1','-6','5','-6',1979,'-6','-6','2','1','2','-6','-6','-6','-6','-6','-6','1','-6','-6','2','-6','-6','2','-6','2','-6','2',8,'2','-6','2','2','2','2','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','2','-6','-6','1','-6','-6','1','-6','1','-6','1','-6','-6','-6','-6','-6','2','-6','2',300,-6,-6,1750,'1','2','-6','2','-6',-6,485,-6,0,'5','1',-6,-6,-6,'1',1,-6,'2','-6','2','1','-6','-6','-6','-6',60000,-6,-6,-6,'2',-6,1,261,-6,-6,'-6',-6,'-6','-6',-6,-6,'-6','-6','2',300000,'-6',851,'-6','-6',2,1,'1','2','1','2',88,'1','2',44,-6,0,2,'3','057',-9,'2','2','2',2,'2','2','1','01',1,'2','2',-9,'1','2','2','1',0,'1','2',0,'1','2','2',4,'2','1','1','1','-6','1',4,'0','-6','2','2','2','2','2','1','2','2','1','2','2','2',62000,0,-6,'2','2','-6','2','2','2','1','2','1','2','2','2','-6','-6',61961,61961,61961,61961,'1',-6
'99','89','1','4','7400','1',1,'1',2,2,1960,'-6',0,3,-6,'3','1',0,0,-6,'1','1','2','1','2','-6',0,0,1,'-6','-6',1,'-6','-6','-6','1',0,'1','-6','-6',1,'1',0,1,6000,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',2,'1',1,'1','2',0,0,'-6','-6','1','1','1','2','1',0,'1',4,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','1','-6','2','1',1,1100,'-6','-6',-6,'1','1','-6','5','-6',2010,'-6','-6','-6','1','2','-6','2','2','2','1','2','-6','2','2','2','2','2','2','-6','2','-6','2',7,'2','-6','2','2','2','2','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',-6,300,300,5950,'2','-6','-6','-6','-6',49,-6,-6,200,'6','3',-6,-6,-6,'2',-6,-6,'2','-6','2','2','2','-6','-6','-6',350000,-6,-6,1,'1',-6,1,1334,-6,1100,'-6',-6,'-6','-6',1,-6,'-6','-6','2',450000,'-6',1779,'-6','-6',1,0,'1','2','2','2',54,'4','2',39,1984,0,1,'1','207',-9,'2','2','2',1,'2','2','2','04',1,'1','2',2,'1','2','2','2',0,'1','2',0,'2','2','2',3,'1','1','1','1','-6','1',3,'0','-6','2','2','2','2','2','2','1','1','2','2','2','2',50000,180000,-6,'2','2','-6','2','2','2','2','1','2','2','2','2','-6','-6',49974,49974,240974,240974,'1',-6
'99','89','2','4','5775','-6',-6,'-6',-6,-6,-6,'-6',-6,-6,-6,'-6','-6',-6,-6,-6,'-6','-6','-6','-6','-6','-6',-6,-6,-6,'-6','-6',-6,'-6','-6','-6','-6',-6,'-6','-6','-6',-6,'-6',-6,-6,-6,'-6',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','2',-6,'-6',-6,'-6','-6',-6,-6,'-6','-6','-6','-6','-6','-6','-6',-6,'-6',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6',1,-6,'-6','-6',-6,'-6','-6','-6','-6','-6',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6','-6',-6,-6,-6,'-6',-6,-6,'-6','-6','2','-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6',-6,-6,-6,-6,-6,'-6',-6,'-6','-6',-6,-6,'-6','-6','-6',-6,'-6',-6,'-6','-6',-6,-6,'-6','-6','-6','-6',-6,'-6','-6',-6,-6,-6,-6,'-6','-6',-6,'-6','-6','-6',-6,'-6','-6','-6','-6',-6,'-6','-6',-6,'-6','-6','-6','-6',-6,'-6','-6',-6,'-6','-6','-6',-6,'2','-9','1','-6','-6','4',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6',-6,-6,-6,'-9','-9','-6','-9','-9','-9','-9','-9','-9','-9','-9','-9','-6','-6',-6,-6,-6,-6,'-6',-6
'99','89','1','4','5775','1',2,'2',1,1,1940,'-6',0,-6,0,'3','1',0,1,-6,'2','2','-6','2','-6','1',0,0,2,'-6','-6',2,'-6','-6','-6','1',0,'1','-6','1',1,'1',0,1,-6,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'3',4,'-6','-6',0,0,'-6','-6','1','1','1','-6','1',0,'1',4,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','2','-6','2','1',1,5000,'-6','-6',-6,'2','1','-6','5','-6',-6,'-6','3','-6','1','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','2','-6','-6','1','-6','1','2','2',8,'2','1','2','2','2','2','2','-6','2','2','2','1','-6','2','2','1','-6','-6','-6','1','-6','1','-6','-6','-6','2','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','2',-6,-6,-6,-6,'2','2','-6','2','-6',-6,-6,-6,-6,'-6','-6',-6,-6,12,'-6',-6,-6,'-6','3','2','-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6',-6,-6,442,-6,-6,'-6',-6,'-6','2',-6,757,'2','-6','-6',-6,'-6',811,'-6','-6',1,0,'-6','2','2','2',60,'1','2',44,-6,0,0,'6','057',-6,'2','2','2',1,'2','2','2','01',2,'2','2',-6,'1','2','2','2',0,'1','2',0,'2','-6','-6',1,'1','6','1','1','-6','1',1,'0','-6','2','2','2','2','2','2','1','2','2','2','2','2',-13,53000,-6,'2','2','-6','2','2','2','2','2','2','2','2','2','2','-6',-13,-13,52987,52987,'2',43000
'99','89','2','4','5775','1',2,'1',2,3,1970,'-6',1,3,-6,'3','1',0,1,-6,'1','1','2','1','2','-6',0,0,1,'-6','1',1,'-9','1','-6','1',0,'1','-6','-6',1,'1',0,1,58520,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'2','2',0,0,'-6','-6','1','1','1','2','1',1,'1',7,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','2','1','-6','1','1',1,1825,'-6','-6',-6,'1','1','-6','5','-6',1986,'-6','-6','-6','1','2','-6','2','2','2','1','2','-6','2','2','2','2','2','2','-6','2','-6','2',10,'2','-6','2','2','2','2','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',2700,400,924,4850,'1','-6','-6','-6','-6',28,-6,-6,0,'8','1',-6,-6,-6,'2',-6,-6,'2','-6','2','2','2','-6','-6','-6',280000,-6,-6,1,'1',-6,1,873,-6,575,'-6',-6,'-6','-6',1,-6,'-6','-6','1',900000,'-6',1560,'-6','-6',1,2,'1','2','2','2',82,'1','2',44,-6,0,0,'1','057',-9,'2','2','2',1,'2','2','2','01',1,'1','2',2,'1','2','2','2',0,'1','2',0,'2','2','2',2,'2','1','1','1','-6','1',2,'0','-6','2','2','1','2','2','1','2','1','1','2','2','1',117117,0,-6,'2','2','-6','1','2','2','1','1','1','2','2','1','-6','-6',121917,121917,121917,121917,'2',130000
'99','89','2','4','5775','1',2,'2',1,2,1950,'-6',0,-6,1,'3','1',0,0,-6,'2','2','-6','1','-6','1',0,0,1,'-6','-6',2,'-6','-6','-6','2',0,'1','2','1',1,'1',0,1,-6,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'3',15,'-6','-6',0,0,'-6','-6','1','1','1','-6','1',0,'1',4,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','2','-6','2','1',1,900,'-6','-6',-6,'1','1','6','5','-6',-6,'-6','1','-6','1','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','1','-6','1','4','2',10,'2','1','2','2','2','2','2','1','2','1','1','1','-6','1','1','1','-6','-6','-6','1','-6','8','-6','-6','-6','2','-6','-6','-6','1','-6','-6','-6','4','1','-6','2','-6','-6','-6','-6','-6','-6','-6','3',-6,-6,-6,-6,'2','2','-6','2','-6',-6,-6,-6,-6,'-6','-6',-6,-6,12,'-6',-6,-6,'-6','1','2','-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6',-6,-6,1,178,-6,'1',-6,'-6','-6',-6,178,'2','-6','-6',-6,'-6',217,'1','-6',1,0,'-6','2','2','2',40,'5','2',34,1998,3,3,'1','315',-9,'2','2','2',1,'2','2','2','01',1,'2','1',2,'1','2','2','2',3,'2','2',0,'1','-6','-6',5,'1','6','1','1','-6','1',2,'0','-6','2','2','2','2','2','2','2','2','2','2','2','2',-13,0,-6,'2','2','1','2','2','2','2','2','2','2','2','2','1','2',-26,-26,-26,-26,'1',-6
'99','89','2','4','7400','1',2,'2',1,2,1960,'-6',0,-6,1,'1','1',0,1,-6,'1','1','2','2','-6','1',0,0,2,'-6','-6',2,'-6','-6','-6','1',0,'1','-6','1',1,'1',0,1,-6,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'3',10,'-6','-6',0,0,'-6','-6','1','1','1','2','1',0,'1',5,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','1','-6','2','1',1,892,'-6','-6',-6,'2','1','-6','5','-6',2006,'-6','-6','2','1','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','2','-6','-6','2','-6','2','-6','2',7,'2','-6','2','2','2','2','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','2','-6','-6','1','-6','-6','1','-6','1','-6','1','-6','-6','-6','-6','-6','2','-6','1',-6,-6,-6,4050,'2','2','-6','2','-6',80,355,-6,1000,'5','2',-6,-6,-6,'2',-6,-6,'2','-6','2','1','-6','-6','-6','-6',440000,-6,-6,1,'1',-6,1,545,-6,2500,'-6',-6,'-6','-6',1,-6,'-6','-6','2',400000,'-6',3310,'-6','-6',1,0,'1','2','2','2',50,'5','2',43,1998,3,3,'1','231',-9,'2','2','2',1,'2','2','2','04',1,'1','2',2,'1','2','2','2',3,'1','2',0,'1','2','2',5,'1','1','1','1','-6','1',2,'0','-6','2','2','2','2','2','2','1','2','2','2','2','2',-13,50000,-6,'2','1','-6','1','2','2','2','2','2','2','2','2','-6','-6',9987,9987,149987,149987,'1',-6
