WBAN,Tmax,Tmin,MonthDay
93997,25,13,222
14938,87,69,902
3953,89,67,818
93919,96,72,814
61705,79,75,909
11640,91,81,706
93817,75,45,522
53802,84,68,720
13996,70,39,410
14914,7,-7,304
12912,91,75,909
24141,48,32,1213
14925,7,-6,212
53848,76,67,418
53913,62,27,124
24015,45,20,1202
13736,83,49,915
24257,76,33,225
3818,43,26,219
24231,73,37,308
93112,65,45,1204
93073,56,21,209
94740,69,50,806
24032,83,58,619
3178,64,51,223
3145,105,80,715
54810,68,32,606
4851,17,6,226
54808,35,11,206
54771,39,5,329
3728,78,68,410
63871,93,67,825
94281,60,39,410
24286,47,36,1214
14944,21,-4,219
93741,62,37,1221
13971,73,56,523
53155,67,39,1102
53909,89,59,1008
14931,32,5,214
23065,91,61,803
94054,45,14,122
3160,79,57,506
63897,79,53,411
93984,55,28,307
12924,69,40,117
94940,76,51,830
3822,95,73,821
94299,84,46,723
53960,86,69,523
13966,52,31,212
94056,48,25,1123
53952,71,42,1209
14847,52,41,1008
53819,81,60,425
4846,46,33,422
53123,104,81,811
93988,95,73,718
94702,66,46,417
53844,84,49,524
3144,80,43,225
13993,62,31,1212
93955,61,39,125
14921,31,-8,306
4927,54,32,311
24023,90,49,829
24024,29,12,214
26410,55,29,425
94023,23,5,201
94074,70,28,406
24023,45,15,225
14836,59,34,520
54728,23,-5,319
3061,57,36,407
63849,40,18,203
53864,66,37,1114
63826,79,64,1226
14787,69,49,1007
14916,26,2,121
13739,93,73,803
13762,95,77,614
3031,70,38,1208
25381,56,45,504
14745,57,29,1120
93104,93,63,1014
94705,84,63,727
94057,63,39,322
3024,81,39,206
14937,80,58,710
3103,86,53,815
12932,97,72,1013
93778,25,-4,217
22501,77,65,325
23254,86,59,812
3932,75,44,128
63829,67,48,1221
14747,60,46,1211
54734,86,69,721
13920,57,48,1220
53155,82,59,705
93822,85,64,909
53901,72,54,603
26492,36,29,119
3887,91,71,731
14822,48,42,1110
3192,84,63,519
3872,51,38,1113
14946,18,0,221
94176,84,51,615
24233,79,58,804
94624,50,37,1019
53151,72,56,525
4138,52,30,1028
26435,28,21,1104
4111,44,29,516
3047,74,35,1214
54737,77,57,717
93909,44,32,209
12854,92,70,519
25335,56,50,604
93719,74,47,1127
14764,69,40,1006
25309,59,55,811
14842,77,66,624
3888,94,73,618
94626,34,19,331
94626,65,52,615
63869,80,71,526
3866,79,48,1011
93720,56,35,1108
24132,58,47,523
23232,53,28,102
54831,48,31,1206
3192,103,82,721
93041,72,33,206
92826,91,72,815
24018,73,36,331
24213,61,37,1111
26412,54,32,916
94060,48,20,307
13786,87,64,813
3739,72,56,1229
3131,72,63,1004
64756,38,30,1219
94967,34,25,325
14895,29,15,222
26643,39,34,1101
53905,99,80,805
3017,58,46,522
93084,85,67,919
12975,89,69,924
4725,23,2,117
4845,48,44,1212
53139,77,46,1113
53865,82,56,331
53803,62,48,322
26438,27,18,1224
53965,83,59,502
53977,96,75,801
53983,90,72,509
13896,66,48,208
94949,65,46,508
12818,92,68,514
93989,66,54,1104
14742,52,39,1217
4842,77,45,1008
14742,48,37,423
14845,22,-6,114
94704,45,38,1230
24012,69,26,424
13743,46,29,126
93073,79,40,912
14719,76,54,531
13893,75,66,531
93738,49,38,1203
23184,87,51,1014
225,95,65,920
54728,76,62,621
93780,76,41,1104
53901,85,69,702
53977,81,50,415
23802,84,66,524
54768,80,52,518
3813,55,26,128
54785,81,51,606
94895,32,30,1231
53819,48,21,110
12975,82,59,317
25309,47,42,121
54779,24,6,114
14847,37,34,410
24156,72,48,1011
53927,104,76,809
25335,47,42,419
3935,85,59,507
94055,86,52,612
4724,28,17,322
24157,47,30,1103
53119,82,45,310
13959,57,41,204
94958,65,54,1001
24126,76,58,512
4130,57,31,927
23194,51,16,1206
3963,92,71,724
93037,50,47,505
3953,55,42,320
14897,81,68,907
94737,81,63,718
12917,78,60,322
23182,61,32,116
23213,63,56,206
23909,86,60,816
12918,96,78,721
24164,42,20,128
53119,71,55,514
23129,89,60,430
54728,62,32,1103
94990,90,63,802
53960,84,65,408
94197,67,40,1020
4237,39,30,1225
93033,53,40,201
4916,46,32,1209
23152,72,52,519
3960,84,57,503
94908,15,2,304
53907,71,51,404
23179,68,51,114
23159,69,32,430
3940,84,65,602
23169,71,47,226
13975,79,44,1102
24023,85,56,922
63826,85,61,525
4141,59,57,1207
93783,94,63,803
94276,60,44,313
14794,83,68,822
14891,87,67,902
4850,81,65,811
3928,73,51,1009
13978,70,65,1101
54791,88,58,918
93067,62,47,506
26415,60,42,905
53967,91,67,924
12981,93,74,715
94119,54,25,1024
14939,89,63,801
3932,80,43,325
3878,65,31,118
53910,89,73,628
93102,67,49,519
13977,69,40,119
3966,63,30,1018
3029,49,30,111
24154,37,27,424
53146,55,28,1213
14751,50,35,104
93762,64,42,1025
25335,72,52,720
13927,85,69,525
54933,93,68,903
53917,84,71,922
94700,60,26,412
3758,57,28,122
4126,64,35,511
3849,59,28,1125
53988,89,61,317
94281,42,35,107
23067,90,51,927
24015,75,53,911
23234,61,51,407
53913,79,31,214
94949,74,46,1012
53865,85,64,510
12835,94,77,805
53967,94,76,612
64776,51,19,1118
94971,84,57,730
94818,80,56,503
53927,55,17,225
13962,67,33,1207
24135,34,8,1205
94823,20,2,217
25331,13,-5,314
3167,86,67,630
23176,78,53,916
93013,60,42,523
3892,84,66,612
54911,76,54,624
93780,78,62,912
13896,85,61,524
14748,58,39,1222
24023,63,51,417
14757,65,54,403
24216,97,64,619
93719,90,74,512
12977,80,63,319
94950,63,43,329
24219,64,37,214
93083,48,32,1118
54788,91,67,816
26615,33,18,304
93073,72,46,930
13883,93,73,910
3164,76,30,309
4138,59,25,310
13743,68,52,415
24162,75,46,512
13939,93,75,620
94870,76,56,707
3847,58,29,1114
24220,90,62,616
93915,90,68,921
3054,72,38,409
54779,16,-7,220
23160,107,72,813
3074,60,28,202
12895,94,68,418
93807,88,72,811
23055,79,54,515
24234,54,42,413
27515,30,24,1018
13891,89,71,708
14763,49,36,1202
93775,84,63,821
3818,98,75,728
25624,39,27,102
23277,69,51,530
24235,51,38,219
4963,58,44,1213
13977,93,70,629
53855,25,-3,110
14742,78,45,923
13957,95,75,609
14775,27,6,227
53908,25,19,223
53139,100,82,606
3959,43,20,220
13893,89,65,1008
3050,90,68,911
3050,97,74,727
23070,63,30,1028
12919,94,77,907
94085,74,53,1019
26435,53,26,428
93953,86,62,923
3184,74,50,128
14895,12,-10,220
13904,93,67,919
23179,104,76,529
54789,36,27,331
3918,90,66,917
3940,78,62,1104
94971,37,35,1213
26510,57,51,717
94023,30,4,221
3999,96,74,719
53853,95,77,825
24138,96,57,627
53908,84,73,804
14742,75,65,910
14920,67,45,413
93112,74,65,809
14852,43,35,1128
94050,23,6,1217
13764,74,43,1212
24286,65,55,716
3856,86,68,531
4113,37,30,117
13996,91,64,831
13871,84,64,526
14920,66,48,1105
94893,21,-15,227
12834,91,74,808
14858,74,54,709
3049,80,52,1006
3102,72,54,323
94855,61,44,418
14847,45,33,1204
26510,21,-3,118
23233,74,42,211
13865,70,41,1206
14938,56,37,1028
23257,97,60,624
54787,64,49,1016
4853,73,66,710
14840,79,53,620
3054,71,32,1126
3159,78,35,219
24283,62,38,220
94077,81,48,623
94741,76,65,618
53859,51,39,1207
12932,97,71,903
54796,44,30,1228
94624,39,27,1130
24023,39,15,1224
14925,54,37,1004
94078,13,-1,1127
14992,81,61,622
53869,53,42,319
26523,53,46,602
25335,38,29,1205
93193,80,51,412
3998,89,67,704
53928,91,70,829
96404,67,29,508
23049,89,57,718
3998,57,27,206
14758,60,50,1213
93045,33,22,223
24225,83,58,814
3044,65,38,307
26422,8,3,1204
3728,78,58,1214
53852,94,71,712
25323,63,52,602
12976,79,55,1018
92805,82,74,304
53842,62,34,1111
4846,78,54,711
94992,61,50,829
94107,40,21,1216
4963,50,34,319
13972,77,57,1028
13782,87,73,920
23055,67,50,1021
14916,2,-14,110
23258,55,39,1214
23254,86,62,901
94645,24,-8,116
53907,101,73,803
12916,89,78,618
4136,46,30,214
14606,35,19,401
23801,80,54,331
54795,49,18,1118
94860,61,42,1015
14839,64,41,602
13891,92,69,613
13997,22,5,218
13773,96,76,616
14742,66,46,1011
12843,82,66,506
54911,28,13,1127
54757,27,23,1219
12841,64,41,214
3822,75,65,1222
13838,97,76,803
93810,85,69,706
25335,58,45,924
93785,78,64,923
93736,68,48,1111
53973,44,28,104
13963,94,72,609
53965,91,66,605
12907,74,44,216
12926,76,72,1212
26523,26,17,1225
3945,62,39,1106
4237,92,56,627
12907,85,52,208
25380,45,18,227
93041,80,45,1027
94946,80,34,430
53136,76,47,519
13969,61,36,320
23169,84,60,316
53965,84,64,401
73801,79,62,407
3866,74,60,921
24242,45,41,122
23052,74,26,327
23067,95,62,904
93027,76,39,503
26642,65,44,617
53869,81,68,508
53847,82,65,1013
13877,58,47,1230
14748,35,13,111
13904,93,73,909
14827,68,59,629
3940,96,68,830
94197,40,30,1210
24150,70,36,928
13987,66,59,530
12888,92,77,1001
26435,43,24,413
3028,77,37,423
369,77,63,902
4725,73,50,703
23285,69,53,421
93241,83,49,326
63899,95,73,621
14847,70,40,506
26642,24,15,1027
94949,86,60,502
93041,81,49,507
13880,96,71,624
4840,85,70,817
94870,63,30,315
23213,102,51,910
14989,23,1,219
3994,34,30,1217
24162,88,62,605
94705,45,42,1214
53928,52,42,103
93807,83,56,506
23191,63,48,1117
23009,60,33,1108
23067,61,53,505
23183,109,87,708
14936,14,-5,110
14605,13,-9,224
63857,74,55,407
64758,71,49,1105
13741,17,13,216
54902,75,56,418
25333,48,29,313
63838,53,38,1113
23064,76,58,911
53154,96,63,330
53861,95,74,620
93230,64,27,218
54808,54,34,422
14989,52,32,1206
53911,70,32,126
4967,79,57,806
4901,88,61,831
13926,32,28,228
27515,-8,-18,1228
94700,27,-5,225
3930,97,72,908
12961,89,60,913
24286,64,50,923
92806,86,79,719
94815,59,43,420
93706,80,57,507
14891,63,31,1019
13883,82,50,503
21515,77,65,1202
53843,94,70,513
14712,58,33,1027
94281,74,40,503
94227,79,57,629
93720,63,29,405
23155,50,46,120
24017,61,29,323
53867,99,78,723
24138,81,44,910
14833,30,22,122
13899,65,36,119
26510,76,45,628
14775,90,62,803
4902,27,7,206
23904,89,70,709
3981,99,76,730
93727,77,61,417
23052,73,36,423
53858,74,41,1115
24243,73,48,1011
53877,46,21,1219
94085,62,32,405
23160,82,57,505
3870,71,61,1225
4787,86,62,509
12924,71,46,207
3894,85,56,917
93801,92,70,708
94817,69,46,920
14712,87,58,906
93097,75,48,403
22534,87,77,921
53979,75,73,1226
24234,72,59,830
53119,83,50,1024
13957,87,74,510
3031,71,50,1031
26502,35,23,1024
3192,102,81,711
24023,69,47,425
4751,74,63,608
93005,80,39,928
54851,64,46,420
14837,63,38,531
3872,34,13,130
21515,79,67,918
23174,63,54,216
3102,97,71,730
25630,41,35,1127
24222,63,51,312
93069,55,24,211
14921,59,26,312
13939,68,43,1119
23067,86,58,708
24131,42,27,1203
14918,32,24,1123
54785,37,16,113
40308,87,79,914
13968,75,42,403
24231,86,55,614
23258,101,63,728
13786,56,41,1207
12836,84,76,409
93810,39,21,302
13874,76,50,1021
12987,90,72,522
14707,36,19,210
24220,97,68,630
23803,34,20,220
26492,66,35,522
3192,105,85,716
14756,39,33,328
3802,81,56,722
3937,90,67,829
22536,78,61,212
3124,85,51,430
94996,82,58,909
26438,45,29,411
4725,85,60,508
94790,34,23,101
53976,91,65,925
4127,83,44,924
