WBAN|WMO|CallSign|ClimateDivisionCode|ClimateDivisionStateCode|ClimateDivisionStationCode|Name|State|Location|Latitude|Longitude|GroundHeight|StationHeight|Barometer|TimeZone
00100||M89||03||ARKADELPHIA|AR|DEXTER B FLORENCE MEM FLD AP|34.09972|-93.06583|182|||-6
00101||KQHT||||BISHKEK||MANAS INTERNATIONAL AIRPORT|43.067|74.483|2090|||6
00102||IAN||50||KIANA|AK|BOB BARKER MEMORIAL AIRPORT|66.983|-160.433|168|||-9
00103||IWK||50||WALES|AK|WALES AIRPORT|65.617|-168.1|23|||-9
00104||FSP||50||NIKOLAI|AK|NIKOLAI AIRPORT|63.017|-154.367|414|||-9
00105||MDM||50||MARSHALL|AK|MARSHALL DON HUNTER SR AIRPORT|61.867|-162.033|102|||-9
00106||IIK||50||AKIAK|AK|KIPNUK AIRPORT|60.9|-161.233|30|||-9
00107||KNW||50||NEW STUYAHOK|AK|NEW STUYAHOK AIRPORT|59.45|-157.333|302|||-9
00108||SCM||50||SCAMMON BAY|AK|SCAMMON BAY AIRPORT|61.85|-165.567|14|||-9
00109||MBA||50||MANOKOTAK|AK|MANOKOTAK AIRPORT|58.983|-159.05|52|||-9
00110||OUL||50||NELSON LAGOON|AK|NELSON LAGOON AIRPORT|56.017|-161.167|14|||-9
00111||2C7||50||SHAKTOOLIK|AK|SHAKTOOLIK AIRPORT|64.37|-161.224|23|||-9
00112||JZZ||50||KOLIGANEK|AK|KOLIGANEK AIRPORT|59.733|-157.267|270|||-9
00113||D76||50||NOORVIK|AK|ROBERT (BOB) CURTIS MEMORIAL AIRPORT|66.818|-161.022|56|||-9
00114||8S0||24||STARR SCHOOL|MT|STARR BROWNING AIRSTRIP|48.6|-113.117|4656|||-7
00115||L35||04||BIG BEAR|CA|BIG BEAR CITY AIRPORT|34.264|-116.854|6749|||-8
00116||FYG||23||WASHINGTON|MO|WASHINGTON REGIONAL AIRPORT|38.583|-91|489|||-6
00117||O54||04||WEAVERVILLE|CA|LONNIE POOL FIELD WEAVERVILLE AIRPORT|40.747|-122.922|2350|||-8
00118||TMK||35||TILLAMOOK|OR|TILLAMOOK AIRPORT|45.417|-123.817|37|||-8
00119||CLS||45||CHEHALIS|WA|CHEHALIS CENTRALIA AIRPORT|46.683|-122.983|178|||-8
00120||JFZ||44||CLAYPOOL HILL|VA|TAZEWELL COUNTY AIRPORT|37.067|-81.8|2651|||-5
00121||RYN||02||VALENCIA WEST|AZ|RYAN FIELD AIRPORT|32.15|-111.167|2418|||-7
00122||UCP||36||NEW CASTLE|PA|NEW CASTLE MUNICIPAL AIRPORT|41.033|-80.417|1073|||-5
00123||SMK||50||ST MICHAEL|AK|ST MICHAEL AIRPORT|63.49|-162.11|92|||-9
00124||W29||18||CHESTER|MD|BAY BRIDGE AIRPORT|38.967|-76.333|17|||-5
00125||BDH||21||WILLMAR|MN|WILLMAR MUNICIPAL AIRPORT JOHN L RICE FIELD|45.117|-95.133|1129|||-6
00126||2W6||18||CALIFORNIA|MD|ST MARYS COUNTY REGIONAL AIRPORT|38.317|-76.55|142|||-5
00127||BEA||41||BEEVILLE|TX|BEEVILLE MUNICIPAL AIRPORT|28.35|-97.717|270|||-6
00128||HOE||09||HOMERVILLE|GA|HOMERVILLE AIRPORT|31.056|-82.767|188|||-5
00129||HRX||41||HEREFORD|TX|HEREFORD MUNICIPAL AIRPORT|34.85|-102.333|3783|||-6
00130||PEZ||41||PLEASANTON|TX|PLEASANTON MUNICIPAL AIRPORT|28.95|-98.517|430|||-6
