Price,Bedrooms,Bathrooms,Size,Santa Maria-Orcutt (0/1),Paso Robles (0/1),Atascadero (0/1),Nipomo (0/1),Arroyo Grande (0/1),Lompoc (0/1),Los Osos (0/1),Grover Beach (0/1), Paso Robles (0/1),San Miguel (0/1)
232600.0,3,3,1582,1,0,0,0,0,0,0,0,0,0
119000.0,1,1,900,1,0,0,0,0,0,0,0,0,0
220000.0,3,2,1112,0,0,0,1,0,0,0,0,0,0
169900.0,4,2,1500,1,0,0,0,0,0,0,0,0,0
186900.0,3,1,912,0,0,0,0,0,1,0,0,0,0
240000.0,4,2,1460,1,0,0,0,0,0,0,0,0,0
225000.0,3,2,1144,1,0,0,0,0,0,0,0,0,0
469000.0,3,2,1827,0,0,0,0,0,0,0,1,0,0
179000.0,3,2,1398,1,0,0,0,0,0,0,0,0,0
205000.0,3,2,1146,1,0,0,0,0,0,0,0,0,0
525000.0,4,2,1961,0,0,0,0,1,0,0,0,0,0
300000.0,4,2,1257,1,0,0,0,0,0,0,0,0,0
229900.0,3,3,1900,1,0,0,0,0,0,0,0,0,0
199000.0,1,1,712,0,0,1,0,0,0,0,0,0,0
143000.0,3,2,1080,1,0,0,0,0,0,0,0,0,0
641900.0,3,3,2714,1,0,0,0,0,0,0,0,0,0
245000.0,4,2,1482,1,0,0,0,0,0,0,0,0,0
279900.0,3,2,1244,0,1,0,0,0,0,0,0,0,0
235900.0,3,2,1400,1,0,0,0,0,0,0,0,0,0
170500.0,4,2,1361,1,0,0,0,0,0,0,0,0,0
275000.0,3,2,1460,1,0,0,0,0,0,0,0,0,0
310000.0,2,1,780,0,0,0,0,0,0,1,0,0,0
149000.0,3,2,1368,0,1,0,0,0,0,0,0,0,0
189900.0,3,2,1472,1,0,0,0,0,0,0,0,0,0
285000.0,3,2,2400,1,0,0,0,0,0,0,0,0,0
265000.0,2,1,972,0,0,0,0,1,0,0,0,0,0
310000.0,3,2,1200,0,0,0,0,0,0,0,1,0,0
199000.0,2,1,1000,0,1,0,0,0,0,0,0,0,0
289000.0,3,2,1367,0,0,0,1,0,0,0,0,0,0
459900.0,2,2,1150,1,0,0,0,0,0,0,0,0,0
255000.0,3,2,1189,0,0,0,0,0,0,0,1,0,0
549000.0,3,2,2237,0,0,0,0,0,0,0,0,1,0
159900.0,3,2,1526,1,0,0,0,0,0,0,0,0,0
225000.0,3,2,1456,0,1,0,0,0,0,0,0,0,0
729000.0,3,2,1844,0,0,0,0,0,0,1,0,0,0
106900.0,2,2,894,0,0,1,0,0,0,0,0,0,0
669000.0,3,3,2600,0,0,1,0,0,0,0,0,0,0
380900.0,3,2,2000,1,0,0,0,0,0,0,0,0,0
599000.0,3,3,2950,0,0,0,0,0,0,0,0,0,1
264900.0,3,3,1197,0,1,0,0,0,0,0,0,0,0
230000.0,4,3,1927,1,0,0,0,0,0,0,0,0,0
399500.0,3,2,1665,0,0,1,0,0,0,0,0,0,0
187500.0,1,1,594,0,0,1,0,0,0,0,0,0,0
375000.0,3,3,1519,0,0,0,0,0,0,1,0,0,0
369000.0,3,3,2150,0,1,0,0,0,0,0,0,0,0
325000.0,7,5,2688,0,0,0,1,0,0,0,0,0,0
349000.0,5,3,3000,0,0,1,0,0,0,0,0,0,0
699000.0,3,2,1700,0,0,0,1,0,0,0,0,0,0
304900.0,3,2,1657,0,1,0,0,0,0,0,0,0,0
249500.0,3,2,1704,1,0,0,0,0,0,0,0,0,0
150000.0,2,2,896,0,0,0,0,0,0,1,0,0,0
239900.0,3,2,1080,0,1,0,0,0,0,0,0,0,0
179900.0,3,2,1008,1,0,0,0,0,0,0,0,0,0
425000.0,3,2,2114,0,1,0,0,0,0,0,0,0,0
499000.0,3,4,2250,1,0,0,0,0,0,0,0,0,0
389000.0,4,2,1862,0,1,0,0,0,0,0,0,0,0
270000.0,4,2,1460,1,0,0,0,0,0,0,0,0,0
399900.0,4,4,3050,1,0,0,0,0,0,0,0,0,0
170000.0,3,2,944,0,0,0,0,0,1,0,0,0,0
179000.0,3,2,1200,1,0,0,0,0,0,0,0,0,0
365000.0,3,1,1056,0,0,0,0,1,0,0,0,0,0
335900.0,3,3,1296,0,1,0,0,0,0,0,0,0,0
235000.0,4,3,2100,1,0,0,0,0,0,0,0,0,0
489900.0,3,3,1957,0,0,1,0,0,0,0,0,0,0
375000.0,3,2,1278,0,0,0,0,0,0,0,1,0,0
240000.0,3,2,1255,1,0,0,0,0,0,0,0,0,0
359900.0,3,3,2340,1,0,0,0,0,0,0,0,0,0
555900.0,5,3,2947,0,0,0,0,1,0,0,0,0,0
320000.0,3,2,1663,0,1,0,0,0,0,0,0,0,0
145000.0,2,2,1041,0,0,1,0,0,0,0,0,0,0
144900.0,2,2,1130,1,0,0,0,0,0,0,0,0,0
250000.0,4,3,2000,1,0,0,0,0,0,0,0,0,0
239950.0,4,2,1348,1,0,0,0,0,0,0,0,0,0
193450.0,4,2,1217,0,0,0,0,0,1,0,0,0,0
409000.0,3,3,2203,0,1,0,0,0,0,0,0,0,0
139900.0,2,2,1100,1,0,0,0,0,0,0,0,0,0
169990.0,2,1,920,1,0,0,0,0,0,0,0,0,0
325000.0,4,2,2400,0,0,0,0,0,0,0,0,0,1
307000.0,3,2,1594,0,0,0,0,0,1,0,0,0,0
490000.0,3,3,1894,0,0,0,1,0,0,0,0,0,0
210000.0,4,2,1102,1,0,0,0,0,0,0,0,0,0
350000.0,3,2,1470,0,0,0,0,0,0,0,1,0,0
355000.0,3,2,1640,0,1,0,0,0,0,0,0,0,0
130000.0,3,2,1080,1,0,0,0,0,0,0,0,0,0
205000.0,2,2,1388,0,0,0,0,0,0,1,0,0,0
229900.0,3,2,1671,1,0,0,0,0,0,0,0,0,0
245000.0,3,3,1859,1,0,0,0,0,0,0,0,0,0
150000.0,2,2,896,0,0,0,0,0,0,1,0,0,0
249999.0,3,3,2013,1,0,0,0,0,0,0,0,0,0
222600.0,3,2,1106,0,0,0,1,0,0,0,0,0,0
163999.0,3,2,1488,0,1,0,0,0,0,0,0,0,0
