Year,US Population,World Population
1950,152271417,2557628654
1951,154877889,2594939877
1952,157552740,2636772306
1953,160184192,2682053389
1954,163025854,2730228104
1955,165931202,2782098943
1956,168903031,2835299673
1957,171984130,2891349717
1958,174881904,2948137248
1959,177829628,3000716593
1960,180671158,3043001508
1961,183691481,3083966929
1962,186537737,3140093217
1963,189241798,3209827882
1964,191888791,3281201306
1965,194302963,3350425793
1966,196560338,3420677923
1967,198712056,3490333715
1968,200706052,3562313822
1969,202676946,3637159050
1970,205052174,3712697742
1971,207660677,3790326948
1972,209896021,3866568653
1973,211908788,3942096442
1974,213853928,4016608813
1975,215973199,4089083233
1976,218035164,4160185010
1977,220239425,4232084578
1978,222584545,4304105753
1979,225055487,4379013942
1980,227224681,4451362735
1981,229465714,4534410125
1982,231664458,4614566561
1983,233791994,4695736743
1984,235824902,4774569391
1985,237923795,4856462699
1986,240132887,4940571232
1987,242288918,5027200492
1988,244498982,5114557167
1989,246819230,5201440110
1990,249438712,5288955934
1991,252127402,5371585922
1992,254994517,5456136278
1993,257746103,5538268316
1994,260289237,5618682132
1995,262764948,5699202985
1996,265189794,5779440593
1997,267743595,5857972543
1998,270298524,5935213248
1999,272690813,6012074922
2000,282171957,6088571383
2001,285081556,6165219247
2002,287803914,6242016348
2003,290326418,6318590956
2004,293045739,6395699509
2005,295753151,6473044732
2006,298593212,6551263534
2007,301579895,6629913759
2008,304374846,6709049780
2009,307006550,6788214394
2010,310232863,6866332358
2011,311591917,6944055583
2012,313914040,7022349283
2013,316128839,7101027895
2014,318857056,7178722893
2015,321418820,7256490011
