PWSID,Population,Water
410011,9615.0,20.7684
3010001,358549.0,817.49172
4210007,13500.0,97.605
3610039,187690.0,1413.3057
1910038,22968.0,70.28208000000001
5610019,46639.0,102.13941
3410009,36226.0,207.57498
1510018,17700.0,75.93299999999998
4010011,10234.0,20.570339999999998
310003,23347.0,34.32008999999999
3610050,75670.0,233.8203
4110008,129037.0,367.75545
1510020,8923.0,51.12879
4910014,43398.0,63.79506
1510033,5604.0,12.440879999999998
1110003,7074.0,12.520979999999998
3410015,43767.0,143.11809
1910167,100.0,2.052
3110010,4962.0,6.99642
3410016,15200.0,170.088
1210001,18464.0,24.37248
1910191,18361.0,49.02387
1010024,24556.0,57.461040000000004
3710005,84838.0,251.96886
3110004,45206.0,138.33035999999998
3610036,74738.0,356.50026
5610002,15222.0,65.30238
4310001,67940.0,375.0288
4210001,14616.0,30.255119999999994
1510005,48957.0,99.87228
4210006,39661.0,95.1864
1910026,81963.0,122.9445
2010002,58243.0,312.76491
3310037,168070.0,489.0837
5610063,26931.0,174.51288
3910011,85146.0,94.51206
2710001,29141.0,85.67454000000001
4810004,8324.0,58.6842
4910017,28234.0,83.85498
2410010,8500.0,63.24
1610003,57050.0,188.265
4110001,26030.0,54.663000000000004
3410006,67333.0,218.15892000000002
1910044,48200.0,177.85799999999998
5010013,10668.0,44.16552
3010027,138640.0,345.2136
1910079,65965.0,158.316
4810005,28549.0,140.46108
410005,10628.0,23.913
3010035,46543.0,128.45868000000002
3310038,166659.0,824.96205
3910012,177808.0,298.71744
2910004,44761.0,112.79772
4210004,86946.0,125.20223999999999
810001,18199.0,50.775209999999994
110005,1390000.0,2460.3
5810001,12110.0,42.5061
3010036,50960.0,178.8696
1910245,18199.0,40.94775
3310020,81393.0,300.34017
3610043,31209.0,73.02905999999999
5610011,30009.0,62.11863
3310001,301633.0,2054.12073
1910065,472853.0,922.06335
3310002,42353.0,503.15364000000005
4110009,60172.0,92.06316
1910077,65492.0,113.95608
410002,101204.0,227.709
1910173,48200.0,151.82999999999996
1910063,16126.0,58.0536
3010062,175873.0,701.7332700000001
2710004,109817.0,171.31452000000004
3010092,383305.0,781.9422
1510021,19511.0,73.16624999999998
3010073,169212.0,441.64332
3710015,48261.0,296.80515
3610004,68884.0,440.16876
1010026,8495.0,33.1305
1910049,64219.0,115.5942
5410016,134033.0,832.34493
3610052,117402.0,345.16188
1010029,25664.0,85.46112
3710029,83368.0,180.07488
1910234,113236.0,383.87004
5610059,43351.0,172.97048999999998
4210011,101103.0,194.11776
3010022,111904.0,234.9984
3010053,196041.0,705.7475999999998
1310002,40516.0,99.66936
5610007,203645.0,415.4358
3610025,9514.0,26.54406
5610014,7188.0,42.265440000000005
910002,33124.0,52.66716
3710037,89171.0,304.96482000000003
1910033,142212.0,332.77608
410007,26032.0,66.3816
3510003,19005.0,48.46275
1910091,32219.0,64.76019000000001
1910102,109395.0,682.6247999999998
3410004,38354.0,90.89898000000001
1910047,44189.0,86.16855
3310031,333669.0,860.8660199999998
3610120,25160.0,50.5716
3110008,122946.0,195.48414
1910062,32228.0,139.22495999999998
5010010,217269.0,619.21665
2110003,61976.0,249.14352000000002
1910154,25899.0,86.24367
5610024,9603.0,33.70653
1610005,25281.0,175.19733
1210004,27052.0,47.07048
1910125,24100.0,62.178000000000004
3910005,74208.0,124.66944
710002,22258.0,43.4031
2610001,16739.0,22.09548
3310021,118731.0,377.56458
910013,9499.0,56.13909
1510017,31120.0,251.1384
3410013,201418.0,700.9346400000001
3610013,23261.0,120.02675999999998
4810003,105382.0,309.82307999999995
4010007,30450.0,62.118
2710011,16729.0,29.108459999999997
3710010,268802.0,669.31698
1910223,27656.0,60.56664
5610040,62144.0,221.85407999999998
1910040,16654.0,33.97416
1010019,11685.0,38.5605
3410011,23647.0,144.01022999999995
5610023,90687.0,331.91441999999995
1310004,44311.0,103.68774
4410017,37720.0,67.896
3010004,108000.0,252.72
3910015,19831.0,41.6451
3410018,10936.0,55.7736
4310007,76781.0,209.61213
4310014,147055.0,269.11065
1210013,422.0,0.8862
1910004,47978.0,103.63248
3610024,91627.0,291.3738600000001
1910126,151713.0,263.98062000000004
2410004,14898.0,37.9899
3610012,76618.0,275.8248
4810007,124000.0,334.8
3910007,14915.0,40.71795
4510014,16500.0,222.75
4710011,7840.0,19.5216
5210004,14076.0,135.97415999999998
1910179,105595.0,300.9457500000001
4110011,16652.0,43.46172
2710017,31218.0,51.5097
3010041,24168.0,28.276559999999996
3710019,33600.0,72.57600000000001
4010026,12148.0,39.35952
1910083,35135.0,119.10765
1210006,11926.0,28.26462
1910009,71003.0,127.8054
1910073,20463.0,43.58619
5010018,23298.0,36.34488
2910003,32776.0,58.99679999999999
3010068,3247.0,18.215670000000003
910001,128500.0,882.795
3010030,38491.0,137.41287
3610055,44876.0,341.95512
3310032,15200.0,88.92
3610003,62602.0,187.806
3010010,138000.0,554.76
3710027,124293.0,357.96383999999995
4010014,6032.0,6.69552
5610009,21555.0,46.5588
1910148,10971.0,53.31906
3610041,209035.0,714.8996999999998
3610001,31765.0,79.09485000000002
3610044,25755.0,60.2667
4310022,92995.0,318.0429
1910146,92185.0,207.41625
2810005,19532.0,73.245
410006,18300.0,79.056
4810001,28086.0,50.5548
3610005,22675.0,20.4075
2310003,16075.0,25.077
1910001,85068.0,316.45296
1510003,276770.0,672.5511
2110002,187500.0,635.625
3710020,1324305.0,3178.3320000000003
1010018,13551.0,79.27335
710004,54741.0,224.98551
110001,340000.0,765.0
3010017,19121.0,66.54108000000001
1910194,62106.0,175.13891999999996
4110017,16066.0,21.6891
2410005,37168.0,78.0528
1510001,19960.0,37.1256
4310005,70817.0,131.71962
3410020,475122.0,897.98058
4310012,118459.0,280.74783
4110024,26181.0,39.2715
2810003,85679.0,236.47404
3910001,169792.0,366.75072
1010007,515609.0,2041.81164
4110003,30282.0,54.5076
4010004,13156.0,26.443559999999998
4010002,30009.0,119.73591
1910048,119650.0,398.4345
4110018,21532.0,30.360120000000002
1910096,45036.0,221.57712
3310003,13839.0,59.78448
4510001,10050.0,64.521
3410021,38917.0,91.06578
3710014,171183.0,575.1748799999998
4410011,65739.0,100.58067
1910067,3935257.0,8736.270540000001
3010023,65551.0,273.34767
1510031,142035.0,409.0608
3610049,18795.0,56.385
3010018,63118.0,134.44133999999997
3610037,77852.0,394.70964
110006,151037.0,312.64659
3010038,332005.0,527.8879499999998
3010082,6641.0,72.91818
