Votes	Rating	Title	Year
55784	8.3	The Kid	1921
54651	8.0	Salinui chueok	2003
496833	8.5	Alien	1979
151256	8.4	Das Boot	1981
692753	9.0	The Godfather: Part II	1974
1166532	8.9	Pulp Fiction	1994
141768	8.1	Ben-Hur	1959
49135	8.0	The Man Who Shot Liberty Valance	1962
124671	8.0	Per un pugno di dollari	1964
511177	8.3	Requiem for a Dream	2000
862016	8.0	The Avengers	2012
151697	8.1	Gandhi	1982
55861	8.2	Smultronstället	1957
755013	8.3	Inglourious Basterds	2009
1177098	8.8	Fight Club	1999
733490	8.5	The Prestige	2006
532559	8.4	The Shining	1980
248514	8.3	Unforgiven	1992
997350	8.4	The Dark Knight Rises	2012
82440	8.0	Mou gaan dou	2002
66622	8.0	Notorious	1946
102735	8.1	Mary and Max	2009
182525	8.2	Hauru no ugoku shiro	2004
91689	8.1	Network	1976
618914	8.4	WALL·E	2008
767224	8.6	The Silence of the Lambs	1991
37972	8.0	Fanny och Alexander	1982
415809	8.0	Twelve Monkeys	1995
169982	8.1	Annie Hall	1977
32385	8.0	La battaglia di Algeri	1966
59272	8.1	Stalker	1979
26012	8.0	Kumonosu-jô	1957
88355	8.4	M	1931
372803	8.1	Into the Wild	2007
318041	8.0	Rocky	1976
59377	8.0	Lagaan: Once Upon a Time in India	2001
376590	8.3	L.A. Confidential	1997
268905	8.4	Citizen Kane	1941
74178	8.3	All About Eve	1950
895411	8.6	Se7en	1995
1074146	8.9	The Lord of the Rings: The Return of the King	2003
86715	8.3	Double Indemnity	1944
476501	8.6	Cidade de Deus	2002
656756	8.6	The Usual Suspects	1995
132121	8.4	Nuovo Cinema Paradiso	1988
372863	8.2	Lock, Stock and Two Smoking Barrels	1998
147372	8.2	The Great Escape	1963
57644	8.0	Trois couleurs: Rouge	1994
431856	8.5	The Pianist	2002
415615	8.2	Blade Runner	1982
425461	8.3	Full Metal Jacket	1987
520391	8.0	Jurassic Park	1993
1027398	9.2	The Godfather	1972
65408	8.1	Touch of Evil	1958
658564	8.5	Terminator 2: Judgment Day	1991
282774	8.0	The Help	2011
369141	8.1	The Grand Budapest Hotel	2014
36725	8.1	Les diaboliques	1955
700999	8.2	V for Vendetta	2005
466111	8.0	Harry Potter and the Deathly Hallows: Part 2	2011
850601	8.3	Batman Begins	2005
115740	8.4	Hotaru no haka	1988
90937	8.0	La haine	1995
359121	8.1	12 Years a Slave	2013
188160	8.3	To Kill a Mockingbird	1962
121668	8.5	Modern Times	1936
447875	8.9	Il buono, il brutto, il cattivo	1966
81887	8.3	Ladri di biciclette	1948
228230	8.1	The Thing	1982
441174	8.1	Gone Girl	2014
147277	8.0	Before Sunset	2004
218430	8.4	Vertigo	1958
522119	8.1	Donnie Darko	2001
71003	8.3	The Treasure of the Sierra Madre	1948
121599	8.1	Hachi: A Dog's Tale	2009
50208	8.0	Who's Afraid of Virginia Woolf?	1966
388239	8.2	Heat	1995
43090	8.0	Paris, Texas	1984
415845	8.1	How to Train Your Dragon	2010
259235	8.1	The Wizard of Oz	1939
138240	8.0	Yip Man	2008
61776	8.1	Les quatre cents coups	1959
672878	8.5	The Green Mile	1999
58506	8.2	The Gold Rush	1925
164419	8.0	Dog Day Afternoon	1975
55382	8.0	Bom yeoreum gaeul gyeoul geurigo bom	2003
137310	8.2	Jagten	2012
55793	8.1	The Grapes of Wrath	1940
108128	8.1	Cool Hand Luke	1967
862216	8.5	Gladiator	2000
78216	8.2	Rebecca	1940
158867	8.0	Before Sunrise	1995
630994	8.1	The Sixth Sense	1999
694602	8.5	American History X	1998
92375	8.5	City Lights	1931
56671	8.0	The Killing	1956
28012	8.0	Le samouraï	1967
566091	8.2	Up	2009
624943	8.2	The Wolf of Wall Street	2013
417122	8.5	Intouchables	2011
585474	8.5	Raiders of the Lost Ark	1981
264285	8.1	The Princess Bride	1987
96190	8.3	The Apartment	1960
262425	8.3	Mad Max: Fury Road	2015
384187	8.9	12 Angry Men	1957
167076	8.2	3 Idiots	2009
529800	8.2	Good Will Hunting	1997
198795	8.4	North by Northwest	1959
294394	8.2	Casino	1995
237292	8.1	Hotel Rwanda	2004
371791	8.5	Psycho	1960
56842	8.1	It Happened One Night	1934
419372	8.1	Trainspotting	1996
