Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
James Harden,25,HOU,81,459,565,154,60,321,2217
Chris Paul,29,LAC,82,376,838,156,15,190,1564
Stephen Curry,26,GSW,80,341,619,163,16,249,1900
Anthony Davis,21,NOP,68,696,149,100,200,95,1656
DeAndre Jordan,26,LAC,82,1226,61,81,183,109,946
Jimmy Butler,25,CHI,65,379,212,114,36,93,1301
Damian Lillard,24,POR,82,378,507,97,21,222,1720
Russell Westbrook,26,OKC,67,488,574,140,14,293,1886
Pau Gasol,34,CHI,78,919,210,25,147,158,1446
Kyrie Irving,22,CLE,75,237,389,114,20,186,1628
LeBron James,30,CLE,69,416,511,109,49,272,1743
Tyson Chandler,32,DAL,75,864,84,42,91,105,771
Marc Gasol,30,MEM,81,630,307,70,131,176,1413
Tim Duncan,38,SAS,77,704,230,63,151,131,1070
Rudy Gobert,22,UTA,82,775,109,64,189,111,686
Blake Griffin,25,LAC,67,508,354,63,35,152,1469
Klay Thompson,24,GSW,77,247,222,87,60,149,1668
Gordon Hayward,24,UTA,76,373,313,108,30,206,1463
Al Horford,28,ATL,76,544,244,68,98,100,1156
Kevin Love,26,CLE,75,731,168,51,39,122,1228
LaMarcus Aldridge,29,POR,71,726,124,48,68,122,1661
Marcin Gortat,30,WAS,82,717,97,49,110,100,1001
Kawhi Leonard,23,SAS,64,461,161,148,48,97,1057
Draymond Green,24,GSW,79,647,291,123,99,133,921
Derrick Favors,23,UTA,74,607,112,60,123,121,1187
Paul Millsap,29,ATL,73,570,223,130,69,166,1218
Jonas Valanciunas,22,TOR,80,693,39,33,95,109,963
Danny Green,27,SAS,81,343,158,101,87,93,946
John Wall,24,WAS,79,366,792,138,45,304,1387
Andre Drummond,21,DET,82,1104,55,73,153,120,1130
Jeff Teague,26,ATL,73,184,513,125,31,205,1162
Kyle Korver,33,ATL,75,304,196,52,42,107,911
Dirk Nowitzki,36,DAL,77,457,143,39,33,82,1333
Zach Randolph,33,MEM,71,747,153,69,14,156,1143
Kyle Lowry,28,TOR,70,328,473,109,13,173,1244
Eric Bledsoe,25,PHO,81,423,493,127,45,274,1377
DeMarre Carroll,28,ATL,70,372,118,94,17,75,883
Ty Lawson,27,DEN,75,234,720,92,9,185,1143
Brook Lopez,26,BRK,72,535,50,43,126,104,1236
Nikola Vucevic,24,ORL,74,810,147,54,54,148,1428
Mike Conley,27,MEM,70,209,375,89,14,156,1107
Goran Dragic,28,TOT,78,274,350,78,15,173,1275
Greg Monroe,24,DET,69,704,142,78,34,149,1098
Tristan Thompson,23,CLE,82,657,39,34,61,83,693
Harrison Barnes,22,GSW,82,453,116,61,19,71,827
Khris Middleton,23,MIL,79,347,182,122,11,113,1055
J.J. Redick,30,LAC,78,167,137,39,8,95,1277
Trevor Ariza,29,HOU,82,459,209,152,17,141,1048
Lou Williams,28,TOR,80,151,164,88,10,101,1242
Tyler Zeller,25,BOS,82,465,113,18,52,76,833
Enes Kanter,22,TOT,75,671,55,36,29,145,1163
Ed Davis,25,LAL,79,600,94,49,98,58,656
Giannis Antetokounmpo,20,MIL,81,542,207,73,85,173,1030
Wesley Matthews,28,POR,60,222,139,77,10,81,956
Rudy Gay,28,SAC,68,399,250,71,41,183,1432
Patrick Patterson,25,TOR,81,433,155,60,44,54,648
Isaiah Thomas,25,TOT,67,153,284,57,5,143,1101
Brandan Wright,27,TOT,75,321,41,50,94,34,544
DeMarcus Cousins,24,SAC,59,747,210,90,103,254,1421
Nikola Mirotic,23,CHI,82,404,97,54,54,89,833
Anthony Morrow,29,OKC,74,195,60,54,11,38,790
Timofey Mozgov,28,TOT,81,591,55,33,97,116,785
Kenneth Faried,25,DEN,75,668,89,62,57,118,946
Serge Ibaka,25,OKC,64,499,55,30,155,97,917
Joakim Noah,29,CHI,67,646,312,48,74,123,485
Chandler Parsons,26,DAL,66,323,161,69,19,96,1037
Paul Pierce,37,WAS,73,294,144,46,24,92,868
Luol Deng,29,MIA,72,376,139,65,22,108,1007
George Hill,28,IND,43,179,220,44,14,69,692
Brandon Bass,29,BOS,82,398,104,41,32,83,866
Hassan Whiteside,25,MIA,48,482,6,27,123,58,564
Nicolas Batum,26,POR,71,416,341,78,40,132,664
Andrew Bogut,30,GSW,67,543,180,39,113,106,422
Jeff Green,28,TOT,78,328,134,53,34,108,1168
Andre Iguodala,31,GSW,77,257,228,89,25,88,604
Amir Johnson,27,TOR,75,456,117,44,59,110,694
Robin Lopez,26,POR,59,394,55,16,84,73,566
Omer Asik,28,NOP,76,748,72,29,54,95,557
Gorgui Dieng,25,MIN,73,609,146,71,126,126,710
Reggie Jackson,24,TOT,77,327,462,62,9,186,1117
P.J. Tucker,29,PHO,78,502,122,107,23,96,713
Kevin Durant,26,OKC,27,178,110,24,25,74,686
Taj Gibson,29,CHI,62,396,71,36,75,77,640
Tobias Harris,22,ORL,68,430,124,69,36,115,1164
Courtney Lee,29,MEM,77,178,151,75,12,78,777
Mason Plumlee,24,BRK,82,512,74,65,63,106,717
Al Jefferson,30,CHO,65,548,113,47,84,68,1082
Donatas Motiejunas,24,HOU,71,421,130,56,34,123,855
Tyreke Evans,25,NOP,79,416,521,100,37,246,1313
Markieff Morris,25,PHO,82,506,192,101,39,170,1258
Cory Joseph,23,SAS,79,192,188,46,17,67,535
