PlayerName,Salary
Kobe Bryant,23500000
Amar'e Stoudemire,23410988
Joe Johnson,23180790
Carmelo Anthony,22458401
Dwight Howard,21436271
LeBron James,20644400
Chris Bosh,20644400
Chris Paul,20068563
Deron Williams,19754465
Rudy Gay,19317326
Kevin Durant,18995624
Derrick Rose,18862876
Blake Griffin,17674613
Zach Randolph,16500000
LaMarcus Aldridge,16256000
Paul George,15925680
Marc Gasol,15829688
Kevin Love,15719063
Brook Lopez,15719063
Russell Westbrook,15719062
David Lee,15012000
Dwyane Wade,15000000
Omer Asik,14898938
Roy Hibbert,14898938
Eric Gordon,14898938
Jeremy Lin,14898938
Tyson Chandler,14846887
Gordon Hayward,14746000
John Wall,14746000
DeMarcus Cousins,14746000
James Harden,14728844
Chandler Parsons,14700000
Josh Smith,14000000
Al Jefferson,13666667
Carlos Boozer,13550000
Eric Bledsoe,13000000
Nene Hilario,13000000
Andrew Bogut,12972973
Derrick Favors,12950000
Rajon Rondo,12909091
Joakim Noah,12700000
Tony Parker,12500000
Serge Ibaka,12350000
Andre Iguodala,12289544
Nikola Pekovic,12100000
Al Horford,12000000
Kyle Lowry,12000000
David West,12000000
Kevin Garnett,12000000
Nicolas Batum,11765500
Ty Lawson,11595506
Andrea Bargnani,11500000
DeAndre Jordan,11440124
Tyreke Evans,11265416
JaVale McGee,11250000
Larry Sanders,11000000
Danilo Gallinari,10854850
Stephen Curry,10629213
Marcin Gortat,10434782
Tim Duncan,10361446
Gerald Wallace,10105855
DeMar DeRozan,10100000
Jrue Holiday,9904495
Luol Deng,9714461
Anderson Varejao,9704595
Thaddeus Young,9660869
Paul Millsap,9500000
Jeff Green,9445000
Tyrus Thomas,9388000
Tiago Splitter,9250000
Kendrick Perkins,9154342
Jordan Hill,9000000
Lance Stephenson,9000000
Mike Conley,8694216
Trevor Ariza,8579089
Channing Frye,8579088
Marcus Thornton,8575000
Ryan Anderson,8491500
Monta Ellis,8360000
Jeff Teague,8000000
George Hill,8000000
Taj Gibson,8000000
Boris Diaw,8000000
Brandon Jennings,8000000
O.J. Mayo,8000000
Dirk Nowitzki,7974482
Ersan Ilyasova,7900000
Arron Afflalo,7750000
Tayshaun Prince,7707865
Goran Dragic,7500000
Wesley Matthews,7245640
Isaiah Thomas,7238606
Avery Bradley,7191011
Pau Gasol,7128000
Jose Calderon,7097191
Kyrie Irving,7070730
Amir Johnson,7000000
Marvin Williams,7000000
Manu Ginobili,7000000
Brandon Bass,6900000
J.J. Redick,6792500
Kevin Martin,6792500
Wilson Chandler,6757913
Drew Gooden,6680000
Jason Richardson,6601125
Glen Davis,6600000
Luis Scola,6541000
J.R. Smith,6516000
Carl Landry,6500000
Greivis Vasquez,6400000
Derrick Williams,6331404
Jarrett Jack,6300000
Kyle Korver,6253521
Landry Fields,6250000
Robin Lopez,6124729
Jason Thompson,6037500
Gerald Henderson,6000000
Jodie Meeks,6000000
Chuck Hayes,5958750
Spencer Hawes,5871309
Jason Terry,5850313
Patrick Patterson,5831326
P.J. Tucker,5700000
Enes Kanter,5694674
Anthony Davis,5607240
Anthony Bennett,5563920
Andrew Wiggins,5510640
Greg Monroe,5479934
Lou Williams,5450000
Courtney Lee,5450000
Jamal Crawford,5450000
J.J. Hickson,5381750
Martell Webster,5381750
Chris Andersen,5375000
Nikola Mirotic,5305000
Paul Pierce,5305000
Shaun Livingston,5305000
Josh McRoberts,5305000
Zaza Pachulia,5200000
Tristan Thompson,5138430
Ricky Rubio,5070686
Michael Kidd-Gilchrist,5016960
Brandan Wright,5000000
Trevor Booker,5000000
Chase Budinger,5000000
Nick Young,4994420
Victor Oladipo,4978200
Jabari Parker,4930560
Kostas Papanikolaou,4900963
Tony Allen,4831461
Chris Kaman,4800000
Darren Collison,4797664
Corey Brewer,4702500
Timofey Mozgov,4650000
Andre Miller,4625000
Bradley Beal,4505280
Jonas Jerebko,4500000
Caron Butler,4500000
Ben Gordon,4500000
Otto Porter,4470480
Luc Mbah a Moute,4382576
Kris Humphries,4300000
Jared Dudley,4250000
C.J. Miles,4205000
Thabo Sefolosha,4150000
Dion Waiters,4062000
Cody Zeller,4030560
Danny Green,4025000
Mario Chalmers,4000000
Ian Mahinmi,4000000
Aaron Gordon,3992040
Mo Williams,3965074
Vince Carter,3911981
Kevin Seraphin,3898692
Devin Harris,3878896
Bismack Biyombo,3873398
Samuel Dalembert,3867282
Patrick Mills,3842105
Joel Anthony,3800000
Raymond Felton,3793693
Jonas Valanciunas,3678360
Thomas Robinson,3678360
Marreese Speights,3657500
Alex Len,3649920
Dante Exum,3615000
Brandon Knight,3553917
Gerald Green,3500000
Darrell Arthur,3457149
Steve Novak,3445947
Matt Barnes,3396250
Mirza Teletovic,3368100
Damian Lillard,3340920
Mike Scott,3333333
Mike Dunleavy,3326235
Tyler Hansbrough,3326235
Andrei Kirilenko,3326235
Nerlens Noel,3315120
Marcus Smart,3283320
Alexey Shved,3282056
Evan Turner,3278000
Bojan Bogdanovic,3278000
Jason Smith,3278000
Kemba Walker,3272091
Gary Neal,3250000
Anthony Morrow,3200000
Dorell Wright,3150000
Quincy Pondexter,3146068
Randy Foye,3135000
Chris Copeland,3135000
Furkan Aldemir,3116159
Klay Thompson,3075880
Harrison Barnes,3049920
Alec Burks,3034356
Ben McLemore,3026280
Joel Freeland,3013512
D.J. Augustin,3000000
Kosta Koufos,3000000
Anthony Tolliver,3000000
Jerryd Bayless,3000000
Julius Randle,2997360
Markieff Morris,2989239
Marcus Morris,2943221
Will Bynum,2915908
Kawhi Leonard,2894059
Marco Belinelli,2873750
Terrence Ross,2793960
Kentavious Caldwell-Pope,2772480
Nikola Vucevic,2751260
Luke Ridnour,2750000
Nik Stauskas,2745840
Brian Roberts,2732000
Udonis Haslem,2732000
Jameer Nelson,2732000
Kirk Hinrich,2732000
Mike Miller,2732000
Iman Shumpert,2616975
Andre Drummond,2568360
Trey Burke,2548560
Noah Vonleh,2524200
James Johnson,2500000
DeMarre Carroll,2442455
Austin Rivers,2439840
Shelvin Mack,2433333
C.J. McCollum,2421000
Elfrid Payton,2397840
Tobias Harris,2380594
Meyers Leonard,2317920
Michael Carter-Williams,2300040
Doug McDermott,2277960
Kenneth Faried,2249768
Nick Collison,2242003
Brendan Haywood,2213688
Reggie Jackson,2204370
Jeremy Lamb,2202000
Steven Adams,2184960
C.J. Watson,2106720
Nate Robinson,2106720
Aron Baynes,2077000
Beno Udrih,2077000
Steve Blake,2077000
Ramon Sessions,2077000
Jordan Farmar,2077000
Danny Granger,2077000
Kelly Olynyk,2075760
Zach LaVine,2055840
Norris Cole,2038206
Cory Joseph,2023261
Jimmy Butler,2008748
Kent Bazemore,2000000
Elton Brand,2000000
DeJuan Blair,2000000
John Henson,1987320
Shabazz Muhammad,1971960
Zoran Dragic,1962103
T.J. Warren,1953120
Maurice Harkless,1887840
Giannis Antetokounmpo,1873200
Adreian Payne,1855320
Jeff Ayres,1828750
Jeremy Evans,1794871
Joffrey Lauvergne,1790281
Reggie Evans,1768653
Jusuf Nurkic,1762680
Lucas Nogueira,1762680
Luigi Datome,1750000
Tyler Zeller,1703760
Dennis Schroder,1690680
James Young,1674480
Pablo Prigioni,1662961
Ryan Kelly,1650000
Terrence Jones,1618680
Shane Larkin,1606080
Tyler Ennis,1590720
Andrew Nicholson,1545840
Sergey Karasev,1533840
Gary Harris,1519200
Ronny Turiaf,1500000
Donatas Motiejunas,1483920
Evan Fournier,1483920
Tony Snell,1472400
Bruno Caboclo,1458360
Leandro Barbosa,1448490
Rasual Butler,1448490
Richard Jefferson,1448490
Matt Bonner,1448490
Shawn Marion,1448490
James Jones,1448490
Hedo Turkoglu,1448490
Jannero Pargo,1448490
Nazr Mohammed,1448490
Willie Green,1448490
Jared Sullinger,1424520
Gorgui Dieng,1413480
Mitch McGary,1400040
Victor Claver,1370000
Mason Plumlee,1357080
Jordan Adams,1344120
Jason Maxiell,1316809
Charlie Villanueva,1316809
Ryan Hollins,1316809
Ronnie Price,1316809
Sebastian Telfair,1316809
Francisco Garcia,1316809
John Jenkins,1312920
Lou Amundson,1310286
Shannon Brown,1310286
Solomon Hill,1302840
J.J. Barea,1302578
Rodney Hood,1290360
Alan Anderson,1276061
Tim Hardaway,1250640
Pero Antic,1250000
Shabazz Napier,1238640
Rodney Stuckey,1227985
Shawne Williams,1227985
Shavlik Randolph,1227985
Tony Wroten,1210080
Reggie Bullock,1200720
Clint Capela,1189200
Miles Plumlee,1169880
Andre Roberson,1160880
P.J. Hairston,1149720
Cartier Martin,1145686
Aaron Brooks,1145685
Brandon Rush,1145685
Perry Jones,1129200
Rudy Gobert,1127400
Festus Ezeli,1112880
Archie Goodwin,1112280
C.J. Wilcox,1109760
Al-Farouq Aminu,1100602
Damjan Rudez,1100000
Kyle Anderson,1093680
Kyle Singler,1090000
Xavier Henry,1082000
Omri Casspi,1063384
Wayne Ellington,1063384
Alonzo Gee,1063384
Austin Daye,1063384
Robert Covington,1000000
John Salmons,1000000
Toure' Murry,1000000
Ed Davis,981084
