Date,Home Team,Away Team,Home Points,Away Points,Outcome,Spread
4/10/2015,Utah,Memphis ,88,89,1,2.5
3/10/2015,Utah,New York ,87,82,-5,-13.0
11/19/2014,Indiana,Charlotte ,88,86,-2,-2.0
11/15/2014,Chicago,Indiana ,90,99,9,-9.0
3/25/2015,Utah,Portland ,89,92,3,-2.0
3/3/2015,Memphis,Utah ,82,93,11,-7.0
3/18/2015,Utah,Washington ,84,88,4,-3.0
3/16/2015,Utah,Charlotte ,94,66,-28,-4.5
1/24/2015,Charlotte,New York ,76,71,-5,-9.0
11/7/2014,Oklahoma City,Memphis ,89,91,2,7.0
2/20/2015,New York,Miami ,87,111,24,7.0
2/9/2015,Miami,New York ,109,95,-14,-4.5
2/28/2015,Utah,Milwaukee ,82,75,-7,-3.5
3/23/2015,Utah,Minnesota ,104,106,2,-10.0
2/20/2015,Philadelphia,Indiana ,95,106,11,8.5
3/9/2015,Chicago,Memphis ,91,101,10,5.5
3/23/2015,New York,Memphis ,82,103,21,14.0
3/12/2015,Washington,Memphis ,107,87,-20,-8.5
3/19/2015,L.A. Lakers,Utah ,73,80,7,4.5
4/11/2015,Portland,Utah ,105,111,6,-10.0
2/7/2015,Philadelphia,Charlotte ,89,81,-8,8.0
3/14/2015,Utah,Detroit ,88,85,-3,-8.0
3/17/2015,Detroit,Memphis ,105,95,-10,4.5
3/14/2015,Memphis,Milwaukee ,96,83,-13,-6.5
11/8/2014,Indiana,Washington ,90,97,7,3.5
10/29/2014,New York,Chicago ,80,104,24,4.5
1/23/2015,Miami,Indiana ,89,87,-2,-3.5
1/21/2015,Charlotte,Miami ,78,76,-2,-6.0
1/25/2015,Chicago,Miami ,84,96,12,-7.5
2/3/2015,Detroit,Miami ,108,91,-17,-4.0
3/1/2015,Orlando,Charlotte ,83,98,15,1.5
2/8/2015,Charlotte,Indiana ,102,103,1,2.0
1/17/2015,Charlotte,Indiana ,80,71,-9,1.5
4/15/2015,Memphis,Indiana ,95,83,-12,2.5
4/8/2015,Memphis,New Orleans ,110,74,-36,-4.5
2/9/2015,New Orleans,Utah ,96,100,4,-2.5
1/22/2015,Milwaukee,Utah ,99,101,2,-8.5
11/26/2014,Oklahoma City,Utah ,97,82,-15,-4.5
11/23/2014,Miami,Charlotte ,94,93,-1,-1.0
11/2/2014,New York,Charlotte ,96,93,-3,-3.5
1/5/2015,Utah,Indiana ,101,105,4,-1.5
10/31/2014,Indiana,Memphis ,89,97,8,6.5
2/1/2015,Boston,Miami ,75,83,8,-3.5
3/8/2015,Brooklyn,Utah ,88,95,7,-2.0
11/15/2014,Memphis,Detroit ,95,88,-7,-9.5
11/1/2014,Charlotte,Memphis ,69,71,2,-3.0
3/7/2015,New Orleans,Memphis ,95,89,-6,-1.5
2/6/2015,San Antonio,Miami ,98,85,-13,-12.5
11/5/2014,Detroit,New York ,98,95,-3,-4.0
11/28/2014,Oklahoma City,New York ,105,78,-27,-8.0
11/18/2014,Utah,Oklahoma City ,98,81,-17,-3.0
4/5/2015,New York,Philadelphia ,101,91,-10,-1.0
2/23/2015,Utah,San Antonio ,90,81,-9,5.5
4/8/2015,Philadelphia,Washington ,90,119,29,4.5
3/6/2015,Indiana,Chicago ,98,84,-14,-6.0
3/26/2015,Milwaukee,Indiana ,111,107,-4,-1.5
3/9/2015,Milwaukee,New Orleans ,103,114,11,1.5
3/6/2015,Philadelphia,Utah ,83,89,6,7.5
3/7/2015,Milwaukee,Washington ,91,85,-6,-4.5
11/21/2014,Oklahoma City,Brooklyn ,92,94,2,-1.5
1/10/2015,New York,Charlotte ,82,110,28,7.5
2/2/2015,Washington,Charlotte ,88,92,4,-8.0
4/13/2015,Utah,Dallas ,109,92,-17,-7.0
11/26/2014,San Antonio,Indiana ,106,100,-6,-13.0
11/8/2014,Milwaukee,Memphis ,93,92,-1,4.5
2/4/2015,Utah,Memphis ,90,100,10,6.5
12/16/2014,Brooklyn,Miami ,91,95,4,-6.0
1/27/2015,Miami,Milwaukee ,102,109,7,-2.0
2/11/2015,Orlando,New York ,89,83,-6,-6.0
11/10/2014,Indiana,Utah ,97,86,-11,-2.5
3/30/2015,Minnesota,Utah ,84,104,20,7.5
4/4/2015,Phoenix,Utah ,87,85,-2,-1.0
3/3/2015,Chicago,Washington ,97,92,-5,1.5
4/4/2015,Memphis,Washington ,83,92,9,-7.5
1/24/2015,Utah,Brooklyn ,108,73,-35,-4.0
2/25/2015,Chicago,Charlotte ,86,98,12,-7.0
1/3/2015,Orlando,Charlotte ,90,98,8,-4.0
1/28/2015,San Antonio,Charlotte ,95,86,-9,-12.5
11/17/2014,Memphis,Houston ,119,93,-26,-4.5
11/12/2014,Miami,Indiana ,75,81,6,-8.5
11/5/2014,Washington,Indiana ,96,94,-2,-9.5
11/3/2014,Memphis,New Orleans ,93,81,-12,-4.0
1/29/2015,Indiana,New York ,103,82,-21,-8.0
1/7/2015,Washington,New York ,101,91,-10,-14.5
3/10/2015,Indiana,Orlando ,118,86,-32,-8.5
2/25/2015,Milwaukee,Philadelphia ,104,88,-16,-10.0
2/5/2015,Charlotte,Washington ,94,87,-7,2.0
3/28/2015,Charlotte,Atlanta ,115,100,-15,-5.5
3/27/2015,Washington,Charlotte ,110,107,-3,-4.5
11/14/2014,Oklahoma City,Detroit ,89,96,7,-3.0
3/7/2015,New York,Indiana ,86,92,6,9.0
1/10/2015,Philadelphia,Indiana ,93,92,-1,7.0
3/12/2015,Indiana,Milwaukee ,109,103,-6,-7.0
10/29/2014,Miami,Washington ,107,95,-12,-5.0
10/30/2014,Orlando,Washington ,98,105,7,4.5
3/13/2015,Charlotte,Chicago ,101,91,-10,1.0
3/25/2015,Washington,Indiana ,101,103,2,-3.0
3/11/2015,Boston,Memphis ,95,92,-3,6.5
2/4/2015,Minnesota,Miami ,102,101,-1,-2.0
11/30/2014,New York,Miami ,79,86,7,3.5
1/5/2015,Memphis,New York ,105,83,-22,-14.0
3/20/2015,Philadelphia,New York ,97,81,-16,-5.5
12/27/2014,Charlotte,Orlando ,94,102,8,-6.0
2/22/2015,Orlando,Philadelphia ,103,98,-5,-9.0
3/11/2015,Philadelphia,Chicago ,95,104,9,6.5
2/11/2015,New Orleans,Indiana ,93,106,13,1.0
4/10/2015,New York,Milwaukee ,91,99,8,11.0
12/18/2014,Chicago,New York ,103,97,-6,-12.5
11/4/2014,Chicago,Orlando ,98,90,-8,-10.0
3/11/2015,Milwaukee,Orlando ,97,91,-6,-8.0
4/4/2015,Charlotte,Philadelphia ,92,91,-1,-6.5
11/13/2014,Memphis,Sacramento ,111,110,-1,-5.5
3/27/2015,Denver,Utah ,107,91,-16,-2.0
12/19/2014,Miami,Washington ,103,105,2,6.0
12/13/2014,Charlotte,Brooklyn ,87,114,27,-4.0
11/7/2014,Philadelphia,Chicago ,115,118,3,10.0
12/21/2014,Brooklyn,Detroit ,110,105,-5,-2.0
3/18/2015,Chicago,Indiana ,103,86,-17,-1.0
1/14/2015,Brooklyn,Memphis ,92,103,11,7.0
12/3/2014,Houston,Memphis ,105,96,-9,5.0
12/27/2014,Miami,Memphis ,95,103,8,3.5
2/28/2015,Minnesota,Memphis ,97,101,4,5.5
12/31/2014,Indiana,Miami ,106,95,-11,-4.0
11/16/2014,Miami,Milwaukee ,84,91,7,-5.0
1/21/2015,Philadelphia,New York ,91,98,7,3.0
12/29/2014,Miami,Orlando ,101,102,1,-5.5
10/29/2014,Indiana,Philadelphia ,103,91,-12,-7.5
1/26/2015,New Orleans,Philadelphia ,99,74,-25,-15.0
2/28/2015,New York,Toronto ,103,98,-5,11.0
12/17/2014,Miami,Utah ,87,105,18,-3.5
12/12/2014,Memphis,Charlotte ,113,107,-6,-10.0
11/4/2014,New Orleans,Charlotte ,100,91,-9,-4.0
11/25/2014,Milwaukee,Detroit ,98,86,-12,-3.5
11/5/2014,Charlotte,Miami ,96,89,-7,-1.0
4/4/2015,Detroit,Miami ,99,98,-1,4.5
12/12/2014,Utah,Miami ,95,100,5,-1.5
12/5/2014,Charlotte,New York ,103,102,-1,-4.5
12/10/2014,San Antonio,New York ,109,95,-14,-10.0
4/3/2015,Washington,New York ,101,87,-14,-14.0
1/24/2015,Memphis,Philadelphia ,101,83,-18,-18.0
4/1/2015,Washington,Philadelphia ,106,93,-13,-10.0
11/9/2014,Oklahoma City,Sacramento ,101,93,-8,2.0
4/8/2015,Utah,Sacramento ,103,91,-12,-12.0
4/5/2015,Sacramento,Utah ,95,101,6,-1.5
2/3/2015,New York,Boston ,97,108,11,1.0
2/10/2015,Memphis,Brooklyn ,95,86,-9,-13.0
4/7/2015,Miami,Charlotte ,105,100,-5,-6.5
12/3/2014,Charlotte,Chicago ,95,102,7,3.5
11/1/2014,Minnesota,Chicago ,105,106,1,2.0
3/8/2015,San Antonio,Chicago ,116,105,-11,-10.0
3/12/2015,Utah,Houston ,109,91,-18,2.0
2/1/2015,New York,L.A. Lakers ,92,80,-12,-3.0
12/1/2014,Washington,Miami ,107,86,-21,-4.5
3/17/2015,New Orleans,Milwaukee ,85,84,-1,-7.0
3/28/2015,Chicago,New York ,111,80,-31,-17.5
3/4/2015,Indiana,New York ,105,82,-23,-13.0
1/12/2015,Chicago,Orlando ,114,121,7,-11.5
2/6/2015,Boston,Philadelphia ,107,96,-11,-8.5
1/9/2015,Brooklyn,Philadelphia ,88,90,2,-10.5
1/17/2015,Brooklyn,Washington ,90,99,9,5.5
4/8/2015,Orlando,Chicago ,105,103,-2,7.5
1/30/2015,Miami,Dallas ,72,93,21,7.5
11/10/2014,Chicago,Detroit ,102,91,-11,-9.5
11/7/2014,Boston,Indiana ,101,98,-3,-5.5
12/27/2014,Brooklyn,Indiana ,85,110,25,-2.5
12/5/2014,Sacramento,Indiana ,102,101,-1,-3.0
3/24/2015,Milwaukee,Miami ,89,88,-1,2.0
1/16/2015,Sacramento,Miami ,83,95,12,-3.0
11/28/2014,Detroit,Milwaukee ,88,104,16,-2.0
1/7/2015,Charlotte,New Orleans ,98,94,-4,4.5
1/16/2015,Philadelphia,New Orleans ,96,81,-15,6.5
11/24/2014,Houston,New York ,91,86,-5,-6.0
11/11/2014,Milwaukee,Oklahoma City ,85,78,-7,-2.5
11/21/2014,Charlotte,Orlando ,100,105,5,-4.0
11/28/2014,Indiana,Orlando ,98,83,-15,-4.5
10/28/2014,New Orleans,Orlando ,101,84,-17,-9.0
11/12/2014,New York,Orlando ,95,97,2,-6.5
2/20/2015,Utah,Portland ,92,76,-16,4.5
12/5/2014,Memphis,San Antonio ,101,107,6,-1.0
11/14/2014,New York,Utah ,100,102,2,-3.5
11/4/2014,New York,Washington ,83,98,15,1.5
4/10/2015,Atlanta,Charlotte ,104,80,-24,-10.0
3/23/2015,Chicago,Charlotte ,98,86,-12,-7.0
3/8/2015,Detroit,Charlotte ,101,108,7,1.0
12/19/2014,Memphis,Chicago ,97,103,6,-6.0
4/1/2015,Milwaukee,Chicago ,95,91,-4,5.0
11/29/2014,Milwaukee,Houston ,103,117,14,-3.5
4/8/2015,New York,Indiana ,86,102,16,11.5
12/13/2014,Philadelphia,Memphis ,115,120,5,10.0
12/17/2014,San Antonio,Memphis ,116,117,1,-3.0
4/5/2015,Indiana,Miami ,112,89,-23,-6.5
12/7/2014,Memphis,Miami ,103,87,-16,-7.5
11/22/2014,Orlando,Miami ,92,99,7,1.5
3/12/2015,L.A. Lakers,New York ,94,101,7,-7.0
12/5/2014,Utah,Orlando ,93,98,5,-5.0
2/9/2015,Indiana,San Antonio ,93,95,2,4.5
3/2/2015,Philadelphia,Toronto ,103,114,11,9.5
3/21/2015,Golden State,Utah ,106,91,-15,-9.0
3/9/2015,Charlotte,Washington ,69,95,26,-2.5
1/28/2015,Atlanta,Brooklyn ,113,102,-11,-14.0
2/7/2015,Washington,Brooklyn ,114,77,-37,-6.5
1/16/2015,Washington,Brooklyn ,80,102,22,-9.5
1/5/2015,Philadelphia,Cleveland ,95,92,-3,4.5
11/12/2014,Washington,Detroit ,107,103,-4,-6.0
11/16/2014,Oklahoma City,Houston ,65,69,4,5.0
2/4/2015,Milwaukee,L.A. Lakers ,113,105,-8,-9.5
3/30/2015,Philadelphia,L.A. Lakers ,111,113,2,-5.0
2/25/2015,Utah,L.A. Lakers ,97,100,3,-9.5
11/4/2014,Toronto,Oklahoma City ,100,88,-12,-11.5
12/23/2014,Miami,Philadelphia ,87,91,4,-7.5
11/26/2014,Charlotte,Portland ,97,105,8,5.5
1/14/2015,Charlotte,San Antonio ,93,98,5,4.5
3/18/2015,Milwaukee,San Antonio ,103,114,11,5.5
4/15/2015,Cleveland,Washington ,113,108,-5,-7.5
4/14/2015,Indiana,Washington ,99,95,-4,-8.0
2/7/2015,Milwaukee,Boston ,96,93,-3,-6.5
12/10/2014,Chicago,Brooklyn ,105,80,-25,-11.0
12/19/2014,Philadelphia,Charlotte ,91,109,18,4.5
11/11/2014,Portland,Charlotte ,102,100,-2,-6.5
3/21/2015,Detroit,Chicago ,107,91,-16,3.0
4/9/2015,Miami,Chicago ,78,89,11,-2.0
1/2/2015,Charlotte,Cleveland ,87,91,4,1.5
2/10/2015,Charlotte,Detroit ,78,106,28,-2.0
1/28/2015,Philadelphia,Detroit ,89,69,-20,8.0
1/21/2015,Atlanta,Indiana ,110,91,-19,-10.5
4/10/2015,Detroit,Indiana ,103,107,4,5.5
11/5/2014,Phoenix,Memphis ,91,102,11,-1.5
11/19/2014,Toronto,Memphis ,96,92,-4,-6.0
2/11/2015,Cleveland,Miami ,113,93,-20,-12.0
4/15/2015,Philadelphia,Miami ,101,105,4,-2.0
2/23/2015,Chicago,Milwaukee ,87,71,-16,-7.0
2/27/2015,L.A. Lakers,Milwaukee ,101,93,-8,6.5
1/4/2015,New York,Milwaukee ,82,95,13,7.0
1/25/2015,San Antonio,Milwaukee ,101,95,-6,-11.5
3/10/2015,Brooklyn,New Orleans ,91,111,20,-2.5
2/20/2015,Orlando,New Orleans ,95,84,-11,5.5
11/7/2014,Brooklyn,New York ,110,99,-11,-6.0
2/27/2015,Detroit,New York ,115,121,6,-13.0
