Votes,Rating,Title,Year,Decade
88355,8.4,M,1931,1930
132823,8.3,Singin' in the Rain,1952,1950
74178,8.3,All About Eve,1950,1950
635139,8.6,Léon,1994,1990
145514,8.2,The Elephant Man,1980,1980
425461,8.3,Full Metal Jacket,1987,1980
441174,8.1,Gone Girl,2014,2010
850601,8.3,Batman Begins,2005,2000
37664,8.2,Judgment at Nuremberg,1961,1960
46987,8.0,Relatos salvajes,2014,2010
56842,8.1,It Happened One Night,1934,1930
502773,8.2,Gran Torino,2008,2000
156432,8.3,Some Like It Hot,1959,1950
755013,8.3,Inglourious Basterds,2009,2000
264285,8.1,The Princess Bride,1987,1980
192165,8.4,Mononoke-hime,1997,1990
769893,8.5,Saving Private Ryan,1998,1990
69510,8.2,Mr. Smith Goes to Washington,1939,1930
134552,8.1,Butch Cassidy and the Sundance Kid,1969,1960
229533,8.4,Das Leben der Anderen,2006,2000
95212,8.1,In the Name of the Father,1993,1990
55793,8.1,The Grapes of Wrath,1940,1940
1027398,9.2,The Godfather,1972,1970
55382,8.0,Bom yeoreum gaeul gyeoul geurigo bom,2003,2000
700999,8.2,V for Vendetta,2005,2000
102735,8.1,Mary and Max,2009,2000
287727,8.2,Warrior,2011,2010
417122,8.5,Intouchables,2011,2010
32385,8.0,La battaglia di Algeri,1966,1960
155691,8.3,The Sting,1973,1970
670328,8.1,Shutter Island,2010,2010
364225,8.0,Jaws,1975,1970
158867,8.0,Before Sunrise,1995,1990
373482,8.3,2001: A Space Odyssey,1968,1960
359121,8.1,12 Years a Slave,2013,2010
56671,8.0,The Killing,1956,1950
87591,8.0,Papillon,1973,1970
170302,8.3,Lawrence of Arabia,1962,1960
532559,8.4,The Shining,1980,1980
108128,8.1,Cool Hand Luke,1967,1960
525515,8.1,A Beautiful Mind,2001,2000
79615,8.5,Inside Out (2015/I),2015,2010
309141,8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1960
43090,8.0,"Paris, Texas (1984)",1984,1980
536053,8.3,Snatch.,2000,2000
433487,8.1,The Bourne Ultimatum,2007,2000
427099,8.0,X-Men: Days of Future Past,2014,2010
767224,8.6,The Silence of the Lambs,1991,1990
752122,8.5,Memento,2000,2000
98794,8.3,Metropolis,1927,1920
86715,8.3,Double Indemnity,1944,1940
87437,8.0,Roman Holiday,1953,1950
