geo,time,children_per_woman_total_fertility
afg,1800,7
afg,1801,7
afg,1802,7
afg,1803,7
afg,1804,7
afg,1805,7
afg,1806,7
afg,1807,7
afg,1808,7
afg,1809,7
afg,1810,7
afg,1811,7
afg,1812,7
afg,1813,7
afg,1814,7
afg,1815,7
afg,1816,7
afg,1817,7
afg,1818,7
afg,1819,7
afg,1820,7
afg,1821,7
afg,1822,7
afg,1823,7
afg,1824,7
afg,1825,7
afg,1826,7
afg,1827,7
afg,1828,7
afg,1829,7
afg,1830,7
afg,1831,7
afg,1832,7
afg,1833,7
afg,1834,7
afg,1835,7
afg,1836,7
afg,1837,7
afg,1838,7
afg,1839,7
afg,1840,7
afg,1841,7
afg,1842,7
afg,1843,7
afg,1844,7
afg,1845,7
afg,1846,7
afg,1847,7
afg,1848,7
afg,1849,7
afg,1850,7
afg,1851,7
afg,1852,7
afg,1853,7
afg,1854,7
afg,1855,7
afg,1856,7
afg,1857,7
afg,1858,7
afg,1859,7
afg,1860,7
afg,1861,7
afg,1862,7
afg,1863,7
afg,1864,7
afg,1865,7
afg,1866,7
afg,1867,7
afg,1868,7
afg,1869,7
afg,1870,7
afg,1871,7
afg,1872,7
afg,1873,7
afg,1874,7
afg,1875,7
afg,1876,7
afg,1877,7
afg,1878,7
afg,1879,7
afg,1880,7
afg,1881,7
afg,1882,7
afg,1883,7
afg,1884,7
afg,1885,7
afg,1886,7
afg,1887,7
afg,1888,7
afg,1889,7
afg,1890,7
afg,1891,7
afg,1892,7
afg,1893,7
afg,1894,7
afg,1895,7
afg,1896,7
afg,1897,7
afg,1898,7
afg,1899,7
afg,1900,7
afg,1901,7
afg,1902,7
afg,1903,7
afg,1904,7
afg,1905,7
afg,1906,7
afg,1907,7
afg,1908,7
afg,1909,7
afg,1910,7
afg,1911,7
afg,1912,7
afg,1913,7
afg,1914,7
afg,1915,7
afg,1916,7
afg,1917,7
afg,1918,7
afg,1919,7
afg,1920,7
afg,1921,7
afg,1922,7
afg,1923,7
afg,1924,7
afg,1925,7
afg,1926,7.03
afg,1927,7.05
afg,1928,7.08
afg,1929,7.11
afg,1930,7.14
afg,1931,7.16
afg,1932,7.19
afg,1933,7.22
afg,1934,7.24
afg,1935,7.27
afg,1936,7.3
afg,1937,7.32
afg,1938,7.35
afg,1939,7.38
afg,1940,7.4
afg,1941,7.43
afg,1942,7.46
afg,1943,7.48
afg,1944,7.51
afg,1945,7.54
afg,1946,7.56
afg,1947,7.59
afg,1948,7.62
afg,1949,7.64
afg,1950,7.67
afg,1951,7.67
afg,1952,7.67
afg,1953,7.67
afg,1954,7.67
afg,1955,7.67
afg,1956,7.67
afg,1957,7.67
afg,1958,7.67
afg,1959,7.67
afg,1960,7.67
afg,1961,7.67
afg,1962,7.67
afg,1963,7.67
afg,1964,7.67
afg,1965,7.67
afg,1966,7.67
afg,1967,7.67
afg,1968,7.67
afg,1969,7.67
afg,1970,7.67
afg,1971,7.67
afg,1972,7.67
afg,1973,7.67
afg,1974,7.67
afg,1975,7.67
afg,1976,7.67
afg,1977,7.67
afg,1978,7.67
afg,1979,7.67
afg,1980,7.67
afg,1981,7.67
afg,1982,7.67
afg,1983,7.67
afg,1984,7.68
afg,1985,7.68
afg,1986,7.68
afg,1987,7.68
afg,1988,7.68
afg,1989,7.68
afg,1990,7.69
afg,1991,7.7
afg,1992,7.73
afg,1993,7.76
afg,1994,7.8
