Daily Max Temperature,Daily Min Temperature
25,13
87,69
89,67
96,72
79,75
91,81
75,45
84,68
70,39
7,-7
91,75
48,32
7,-6
76,67
62,27
45,20
83,49
76,33
43,26
73,37
65,45
56,21
69,50
83,58
64,51
105,80
68,32
17,6
35,11
39,5
78,68
93,67
60,39
47,36
21,-4
62,37
73,56
67,39
89,59
32,5
91,61
45,14
79,57
79,53
55,28
69,40
76,51
95,73
84,46
86,69
52,31
48,25
71,42
52,41
81,60
46,33
104,81
95,73
66,46
84,49
80,43
62,31
61,39
31,-8
54,32
90,49
29,12
55,29
23,5
70,28
45,15
59,34
23,-5
57,36
40,18
66,37
79,64
69,49
26,2
93,73
95,77
70,38
56,45
57,29
93,63
84,63
63,39
81,39
80,58
86,53
97,72
25,-4
77,65
86,59
75,44
67,48
60,46
86,69
57,48
82,59
85,64
72,54
36,29
91,71
48,42
84,63
51,38
18,0
84,51
79,58
50,37
72,56
52,30
28,21
44,29
74,35
77,57
44,32
92,70
56,50
74,47
69,40
59,55
77,66
94,73
34,19
65,52
80,71
79,48
56,35
58,47
53,28
48,31
103,82
72,33
91,72
73,36
61,37
54,32
48,20
87,64
72,56
72,63
38,30
34,25
29,15
39,34
99,80
58,46
85,67
89,69
23,2
48,44
77,46
82,56
62,48
27,18
83,59
96,75
90,72
66,48
65,46
92,68
66,54
52,39
77,45
48,37
22,-6
45,38
69,26
46,29
79,40
76,54
75,66
49,38
87,51
95,65
76,62
76,41
85,69
81,50
84,66
80,52
55,26
81,51
32,30
48,21
82,59
47,42
24,6
37,34
72,48
104,76
47,42
85,59
86,52
28,17
47,30
82,45
57,41
65,54
76,58
57,31
51,16
92,71
50,47
55,42
81,68
81,63
78,60
61,32
63,56
86,60
96,78
42,20
71,55
89,60
62,32
90,63
84,65
67,40
39,30
53,40
46,32
72,52
84,57
15,2
71,51
68,51
69,32
84,65
71,47
79,44
85,56
85,61
59,57
94,63
60,44
83,68
87,67
81,65
73,51
70,65
88,58
62,47
60,42
91,67
93,74
54,25
89,63
80,43
65,31
89,73
67,49
69,40
63,30
49,30
37,27
55,28
50,35
64,42
72,52
85,69
93,68
84,71
60,26
57,28
64,35
59,28
89,61
42,35
90,51
75,53
61,51
79,31
74,46
85,64
94,77
94,76
51,19
84,57
80,56
55,17
67,33
34,8
20,2
13,-5
86,67
78,53
60,42
84,66
76,54
78,62
85,61
58,39
63,51
65,54
97,64
90,74
80,63
63,43
64,37
48,32
91,67
33,18
72,46
93,73
76,30
59,25
68,52
75,46
93,75
76,56
58,29
90,62
90,68
72,38
16,-7
107,72
60,28
94,68
88,72
79,54
54,42
30,24
89,71
49,36
84,63
98,75
39,27
69,51
51,38
58,44
93,70
25,-3
78,45
95,75
27,6
25,19
100,82
43,20
89,65
90,68
97,74
63,30
94,77
74,53
53,26
86,62
74,50
12,-10
93,67
104,76
36,27
90,66
78,62
37,35
57,51
30,4
96,74
95,77
96,57
84,73
75,65
67,45
74,65
43,35
23,6
74,43
65,55
86,68
37,30
91,64
84,64
66,48
21,-15
91,74
74,54
80,52
72,54
61,44
45,33
21,-3
74,42
70,41
56,37
97,60
64,49
73,66
79,53
71,32
78,35
62,38
81,48
76,65
51,39
97,71
44,30
39,27
39,15
54,37
13,-1
81,61
53,42
53,46
38,29
80,51
89,67
91,70
67,29
89,57
57,27
60,50
33,22
83,58
65,38
8,3
78,58
94,71
63,52
79,55
82,74
62,34
78,54
61,50
40,21
50,34
77,57
87,73
67,50
2,-14
55,39
86,62
24,-8
101,73
89,78
46,30
35,19
80,54
49,18
61,42
64,41
92,69
22,5
96,76
66,46
82,66
28,13
27,23
64,41
75,65
97,76
85,69
58,45
78,64
68,48
44,28
94,72
91,66
74,44
76,72
26,17
62,39
92,56
85,52
45,18
80,45
80,34
76,47
61,36
84,60
84,64
79,62
74,60
45,41
74,26
95,62
76,39
65,44
81,68
82,65
58,47
35,13
93,73
68,59
96,68
40,30
70,36
66,59
92,77
43,24
77,37
77,63
73,50
69,53
83,49
95,73
70,40
24,15
86,60
81,49
96,71
85,70
63,30
102,51
23,1
34,30
88,62
45,42
52,42
83,56
63,48
60,33
61,53
109,87
14,-5
13,-9
74,55
71,49
17,13
75,56
48,29
53,38
76,58
96,63
95,74
64,27
54,34
52,32
70,32
79,57
88,61
32,28
-8,-18
27,-5
97,72
89,60
64,50
86,79
59,43
80,57
63,31
82,50
77,65
94,70
58,33
74,40
79,57
63,29
50,46
61,29
99,78
81,44
30,22
65,36
76,45
90,62
27,7
89,70
99,76
77,61
73,36
74,41
73,48
46,21
62,32
82,57
71,61
86,62
71,46
85,56
92,70
69,46
87,58
75,48
87,77
75,73
72,59
83,50
87,74
71,50
35,23
102,81
69,47
74,63
80,39
64,46
63,38
34,13
79,67
63,54
97,71
41,35
63,51
55,24
59,26
68,43
86,58
42,27
32,24
37,16
87,79
75,42
86,55
101,63
56,41
84,76
39,21
76,50
90,72
36,19
97,68
34,20
66,35
105,85
39,33
81,56
90,67
78,61
85,51
82,58
45,29
85,60
34,23
91,65
83,44
86,68
84,49
98,51
42,32
71,47
97,69
85,56
77,66
80,55
56,44
66,57
85,59
84,65
66,25
56,37
54,27
55,39
88,64
40,32
68,40
37,32
60,40
53,40
74,63
61,40
57,37
77,52
90,76
67,30
58,33
95,71
47,33
18,8
56,28
93,65
71,26
79,62
85,61
22,14
81,67
36,13
63,48
75,69
74,48
87,72
67,48
65,41
39,24
53,36
51,37
83,63
101,59
57,31
64,43
77,46
5,-7
29,22
75,49
16,-10
91,65
81,60
77,60
68,30
52,37
49,28
85,56
87,55
76,66
87,63
32,15
74,55
61,33
77,50
61,26
10,-21
50,11
92,68
25,14
100,75
24,3
50,46
59,30
89,69
66,41
83,52
72,35
101,80
69,47
54,34
33,9
33,30
44,12
89,67
48,26
66,41
81,60
84,56
62,43
76,60
44,20
30,2
84,57
103,79
14,-8
81,59
39,17
60,42
88,64
95,60
70,47
57,30
75,49
90,71
82,56
95,76
69,47
55,41
68,40
70,33
42,26
48,37
87,80
84,73
67,27
63,28
78,61
40,35
88,68
66,55
103,70
95,71
59,39
57,39
53,45
94,73
64,35
78,58
90,81
75,32
89,65
92,68
84,72
87,55
72,48
81,61
84,67
46,32
66,47
81,63
81,58
68,59
84,57
79,68
60,39
57,25
84,45
61,37
74,50
41,26
47,31
66,45
50,38
91,62
78,57
23,2
51,33
68,27
55,47
88,76
74,62
76,38
8,-9
80,52
75,47
88,51
40,29
43,22
69,34
75,34
37,21
88,59
79,47
78,64
1,-11
45,36
32,17
53,19
85,78
32,1
74,44
87,68
21,3
75,51
37,34
87,55
71,53
88,78
77,34
73,48
87,66
75,56
100,77
101,40
80,58
58,34
80,59
34,24
95,70
81,53
82,67
75,49
91,75
11,4
56,46
59,39
91,67
38,13
91,62
44,36
26,11
