SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016
010,0,0,00,United States,308745538,308758105,309348193,311663358,313998379,316204908,318563456,320896618,323127513,590088,2315165,2335021,2206529,2358548,2333162,2230895,987836,3973485,3936976,3940576,3963195,3983082,3977745,598691,2512442,2501531,2608019,2582448,2686546,2746013,389145,1461043,1435445,1332557,1380747,1296536,1231732,200943,854122,899576,873972,977801,1036626,999163,0,0,0,0,0,0,0,200943,854122,899576,873972,977801,1036626,999163,0,0,0,0,0,0,0,12.796815111,12.584998465,12.505729758,12.48705898,12.457640944,12.352782477,8.0914501379,7.9964327433,8.276754672,8.1366625889,8.4025449257,8.5276711472,4.7053649732,4.5885657221,4.2289750863,4.3503963912,4.0550960184,3.8251113296,2.7507443255,2.875598576,2.7736193004,3.080812011,3.2421914742,3.102874417,0,0,0,0,0,0,2.7507443255,2.875598576,2.7736193004,3.080812011,3.2421914742,3.102874417
020,1,0,00,Northeast Region,55317240,55318353,55388056,55632766,55829059,55988771,56116791,56184737,56209510,69703,244710,196293,159712,128020,67946,24773,163461,646276,637894,635756,632446,631372,629063,110759,470927,461002,479925,470058,485356,497539,52702,175349,176892,155831,162388,146016,131524,53577,240608,240943,237182,264132,274853,270317,-34556,-161832,-218286,-217757,-289510,-334070,-361502,19021,78776,22657,19425,-25378,-59217,-91185,-2020,-9415,-3256,-15544,-8990,-18853,-15566,11.642428661,11.445963674,11.371281306,11.283044101,11.244228128,11.193864754,8.4835797739,8.2719262851,8.5840513986,8.3859889128,8.6438004655,8.8534602665,3.1588488869,3.174037389,2.7872299078,2.897055188,2.6004276629,2.3404044871,4.3344661959,4.3233277402,4.2422930225,4.7122015231,4.894911136,4.8101572316,-2.915345015,-3.916784962,-3.894852905,-5.164953368,-5.949518336,-6.432749178,1.4191211807,0.4065427782,0.3474401176,-0.452751845,-1.0546072,-1.622591946
020,2,0,00,Midwest Region,66927001,66929825,66978602,67153331,67332320,67543948,67726368,67838387,67941429,48777,174729,178989,211628,182420,112019,103042,212620,834866,830674,830838,836507,832676,828188,140675,586914,584826,605226,597065,609113,612414,71945,247952,245848,225612,239442,223563,215774,25682,109806,118051,117163,130743,137900,133716,-48061,-181584,-184390,-128687,-176091,-240693,-231532,-22379,-71778,-66339,-11524,-45348,-102793,-97816,-789,-1445,-520,-2460,-11674,-8751,-14916,12.448430159,12.353347645,12.320002804,12.367931483,12.284549919,12.198985452,8.7512941456,8.6972252527,8.974536573,8.8277312814,8.9863032615,9.0206927368,3.6971360131,3.6561223918,3.3454662313,3.5402002018,3.2982466571,3.1782927147,1.6372834946,1.7555924981,1.7373404786,1.9330626832,2.0344520963,1.969600548,-2.707543177,-2.74215128,-1.908223024,-2.603542377,-3.550967211,-3.410403797,-1.070259682,-0.986558782,-0.170882545,-0.670479693,-1.516515115,-1.440803249
020,3,0,00,South Region,114555744,114563005,114863114,116061801,117299171,118424320,119696311,121039206,122319574,300109,1198687,1237370,1125149,1271991,1342895,1280368,368743,1509606,1504983,1504795,1525289,1540952,1540837,228829,962730,960646,1011268,1006193,1049437,1075479,139914,546876,544337,493527,519096,491515,465358,76202,312655,340120,323012,360717,385121,367865,82260,322741,347470,295803,373235,449545,423042,158462,635396,687590,618815,733952,834666,790907,1733,16415,5443,12807,18943,16714,24103,13.074431574,12.898326461,12.767458972,12.811061298,12.802032863,12.663089452,8.3380348976,8.233133345,8.5801206805,8.4511198864,8.7185888736,8.838629122,4.7363966768,4.6651931155,4.1873382912,4.3599414114,4.0834439897,3.8244603297,2.7078498654,2.9149690035,2.7406008509,3.0296996819,3.1995361947,3.0232317897,2.7952029343,2.9779615419,2.509745624,3.1348396687,3.7347625776,3.4766939578,5.5030527997,5.8929305454,5.2503464748,6.1645393506,6.9342987724,6.4999257475
020,4,0,00,West Region,71945553,71946922,72118421,72815460,73537829,74247869,75023986,75834288,76657000,171499,697039,722369,710040,776117,810302,822712,243012,982737,963425,969187,968953,978082,979657,118428,491871,495057,511600,509132,542640,560581,124584,490866,468368,457587,459821,435442,419076,45482,191053,200462,196615,222209,238752,227265,357,20675,55206,50641,92366,125218,169992,45839,211728,255668,247256,314575,363970,397257,1076,-5555,-1667,5197,1721,10890,6379,13.561176907,13.165744434,13.116113577,12.982393767,12.966898985,12.848694674,6.7875226497,6.765232314,6.923538704,6.8215404706,7.1940369674,7.3523019886,6.7736542569,6.4005121197,6.1925748728,6.1608532968,5.7728620175,5.4963926857,2.6364159806,2.7394259653,2.6608122797,2.9772390783,3.1652489939,2.9806948709,0.2853025098,0.7544210366,0.6853301867,1.2375541257,1.6600746738,2.229530647,2.9217184904,3.493847002,3.3461424664,4.214793204,4.8253236677,5.2102255179
040,3,6,01,Alabama,4779736,4780131,4785492,4799918,4815960,4829479,4843214,4853875,4863300,5361,14426,16042,13519,13735,10661,9425,14231,59689,59066,57939,58906,59034,58556,11086,48817,48372,50845,49693,51407,52405,3145,10872,10694,7094,9213,7627,6151,1360,4816,4695,4179,4732,5110,4738,866,-1416,414,1619,420,-3114,-864,2226,3400,5109,5798,5152,1996,3874,-10,154,239,627,-630,1038,-600,12.454136025,12.285097627,12.013761115,12.179855186,12.175612702,12.052062456,10.185688458,10.060859757,10.542806813,10.274904827,10.602563305,10.786056647,2.2684475677,2.2242378699,1.4709543029,1.9049503587,1.5730493966,1.2660058093,1.004860512,0.9765098933,0.8665235455,0.9784245194,1.0539245334,0.9751805437,-0.295449021,0.0861075816,0.3357027088,0.086842413,-0.642254598,-0.177829462,0.709411491,1.062617475,1.2022262543,1.0652669324,0.4116699352,0.797351082
040,4,9,02,Alaska,710231,710249,714031,722713,731089,736879,736705,737709,741894,3782,8682,8376,5790,-174,1004,4185,2891,11707,11126,11347,11448,11314,11255,919,3937,3937,4047,4047,4315,4511,1972,7770,7189,7300,7401,6999,6744,574,1480,2723,2249,2208,2527,2030,1199,-795,-1549,-3223,-10408,-7882,-4587,1773,685,1174,-974,-8200,-5355,-2557,37,227,13,-536,625,-640,-2,16.296570579,15.306073317,15.459465056,15.537627987,15.347114176,15.213540389,5.4804474562,5.4161433263,5.5137441688,5.4927306485,5.8531728538,6.097581581,10.816123123,9.8899299905,9.9457208876,10.044897339,9.4939413218,9.1159588079,2.0602139282,3.7460396945,3.0640994899,2.9967752093,3.4278025032,2.7439792971,-1.106668968,-2.130964189,-4.391103893,-14.12610343,-10.69170531,-6.20031184,0.95354496,1.6150755055,-1.327004403,-11.12932822,-7.263902812,-3.456332543
040,4,8,04,Arizona,6392017,6392301,6408312,6467163,6549634,6624617,6719993,6817565,6931071,16011,58851,82471,74983,95376,97572,113506,20941,86106,85573,86097,86128,87258,87204,11486,48164,48756,50609,50249,54576,56564,9455,37942,36817,35488,35879,32682,30640,2373,10947,11686,12282,14290,15414,14861,4420,8535,33964,25538,41038,48341,61544,6793,19482,45650,37820,55328,63755,76405,-237,1427,4,1675,4169,1135,6461,13.375195867,13.148088581,13.07049638,12.90828282,12.891246708,12.685476581,7.4815103909,7.4912438137,7.6830174254,7.5309806731,8.0629017434,8.2283071572,5.8936854757,5.6568447676,5.3874789542,5.3773021467,4.8283449644,4.4571694239,1.7004421196,1.7955261959,1.8645462273,2.1416886668,2.2772201604,2.161814452,1.3257763306,5.2184880812,3.8769566482,6.1504982161,7.1417607223,8.9527426575,3.0262184502,7.0140142771,5.7415028756,8.2921868829,9.4189808827,11.11455711
040,3,7,05,Arkansas,2915918,2916025,2921995,2939493,2950685,2958663,2966912,2977853,2988248,5970,17498,11192,7978,8249,10941,10395,9431,38451,38603,37976,38233,38212,37936,7016,29427,29745,30948,29954,29955,30581,2415,9024,8858,7028,8279,8257,7355,747,2635,2995,2806,3251,3469,3335,2711,5591,-868,-1265,-2864,-963,195,3458,8226,2127,1541,387,2506,3530,97,248,207,-591,-417,178,-490,13.119876728,13.107583506,12.852856187,12.904401683,12.855680586,12.717183299,10.040795102,10.099864554,10.474251982,10.110073706,10.077774311,10.251586421,3.0790816257,3.0077189518,2.3786042047,2.7943279766,2.7779062755,2.4655968781,0.899089105,1.0169471958,0.9496817585,1.0972774794,1.167077252,1.1179830848,1.907706712,-0.294727935,-0.428135219,-0.966657244,-0.323982529,0.0653693258,2.806795817,0.7222192606,0.5215465395,0.1306202352,0.8430947228,1.1833524106
040,4,9,06,California,37253956,37254522,37332685,37676861,38011074,38335203,38680810,38993940,39250017,78163,344176,334213,324129,345607,313130,256077,123306,509772,497438,499642,498910,503303,502848,57299,238419,239600,247773,244043,262984,273850,66007,271353,257838,251869,254867,240319,228998,28560,124150,122429,121944,138820,148098,142553,-17304,-42576,-43897,-51795,-41146,-77603,-109023,11256,81574,78532,70149,97674,70495,33530,900,-8751,-2157,2111,-6934,2316,-6451,13.592189986,13.144446337,13.088837325,12.956006954,12.959243512,12.853337671,6.3570308771,6.3312600615,6.4907683711,6.3374612757,6.7714154214,6.9999016026,7.2351591089,6.813186276,6.5980689536,6.6185456783,6.1878280909,5.8534360679,3.3102453386,3.2350994911,3.1944976177,3.6049645935,3.8132855272,3.6438085564,-1.13521551,-1.159947091,-1.356844159,-1.068505065,-1.998152553,-2.786745563,2.1750298289,2.0751524004,1.8376534589,2.5364595282,1.8151329744,0.8570629934
