geo,time,child_mortality_0_5_year_olds_dying_per_1000_born
afg,1800,468.6
afg,1801,468.6
afg,1802,468.6
afg,1803,468.6
afg,1804,468.6
afg,1805,468.6
afg,1806,470
afg,1807,470
afg,1808,470
afg,1809,470
afg,1810,470
afg,1811,470
afg,1812,470
afg,1813,470
afg,1814,470
afg,1815,470
afg,1816,471.4
afg,1817,471.4
afg,1818,471.4
afg,1819,471.4
afg,1820,471.4
afg,1821,471.4
afg,1822,471.4
afg,1823,471.4
afg,1824,471.4
afg,1825,471.4
afg,1826,472.8
afg,1827,472.8
afg,1828,472.8
afg,1829,472.8
afg,1830,472.8
afg,1831,472.8
afg,1832,472.8
afg,1833,472.8
afg,1834,472.8
afg,1835,472.8
afg,1836,474.2
afg,1837,474.2
afg,1838,474.2
afg,1839,474.2
afg,1840,474.2
afg,1841,474.2
afg,1842,474.2
afg,1843,474.2
afg,1844,474.2
afg,1845,475.7
afg,1846,475.7
afg,1847,475.7
afg,1848,475.7
afg,1849,475.7
afg,1850,475.7
afg,1851,475.7
afg,1852,475.7
afg,1853,475.7
afg,1854,475.7
afg,1855,477.1
afg,1856,477.1
afg,1857,477.1
afg,1858,477.1
afg,1859,477.1
afg,1860,477.1
afg,1861,477.1
afg,1862,477.1
afg,1863,477.1
afg,1864,477.1
afg,1865,478.5
afg,1866,478.5
afg,1867,478.5
afg,1868,478.5
afg,1869,478.5
afg,1870,478.5
afg,1871,478.5
afg,1872,478.5
afg,1873,478.5
afg,1874,478.5
afg,1875,480
afg,1876,480
afg,1877,480
afg,1878,480
afg,1879,480
afg,1880,480
afg,1881,480
afg,1882,480
afg,1883,480
afg,1884,480
afg,1885,481.4
afg,1886,481.4
afg,1887,481.4
afg,1888,481.4
afg,1889,481.4
afg,1890,481.4
afg,1891,481.4
afg,1892,481.4
afg,1893,481.4
afg,1894,482.8
afg,1895,482.8
afg,1896,482.7
afg,1897,482.6
afg,1898,482.4
afg,1899,482.1
afg,1900,481.8
afg,1901,481.4
afg,1902,480.9
afg,1903,480.3
afg,1904,481.1
afg,1905,480.4
afg,1906,479.6
afg,1907,478.7
afg,1908,477.8
afg,1909,476.7
afg,1910,475.7
afg,1911,474.6
afg,1912,473.4
afg,1913,472.3
afg,1914,472.6
afg,1915,471.4
afg,1916,470.3
afg,1917,469.1
afg,1918,468.1
afg,1919,467.1
afg,1920,466.1
afg,1921,465.1
afg,1922,464.1
afg,1923,463.1
afg,1924,463.5
afg,1925,462.5
afg,1926,461.5
afg,1927,460.4
afg,1928,459.4
afg,1929,458.4
afg,1930,457.4
afg,1931,456.4
afg,1932,455.4
afg,1933,455.7
afg,1934,454.7
afg,1935,453.7
afg,1936,452.6
afg,1937,451.6
afg,1938,450.6
afg,1939,449.6
afg,1940,448.6
afg,1941,447.5
afg,1942,446.5
afg,1943,446.8
afg,1944,445.8
afg,1945,444.7
afg,1946,443.7
afg,1947,442.7
afg,1948,441.6
afg,1949,440.6
afg,1950,439.6
afg,1951,435.9
afg,1952,426.1
afg,1953,416.6
afg,1954,407.2
afg,1955,398.1
afg,1956,389.1
afg,1957,380.4
afg,1958,374.1
afg,1959,368.1
afg,1960,362.4
afg,1961,356.5
afg,1962,350.6
afg,1963,345
afg,1964,339.7
afg,1965,334.1
afg,1966,328.7
afg,1967,323.3
afg,1968,318.1
afg,1969,313
afg,1970,307.8
afg,1971,302.1
