geo,time,extreme_poverty_percent_people_below_125_a_day
alb,1996,0.2
alb,2002,0.73
alb,2004,0.53
alb,2005,0.44
alb,2008,0.2
alb,2012,0.46
dza,1988,7.1
dza,1995,6.38
ago,2000,54.31
ago,2009,43.37
arg,1986,0
arg,1987,0
arg,1991,0.97
arg,1992,1.77
arg,1993,2.05
arg,1994,1.93
arg,1995,3.87
arg,1996,4.27
arg,1997,3.77
arg,1998,3.99
arg,1999,4.2
arg,2000,5.06
arg,2001,8.25
arg,2002,12.58
arg,2003,9
arg,2004,6.29
arg,2005,4.62
arg,2006,3.76
arg,2007,3.01
arg,2008,2.74
arg,2009,2.68
arg,2010,1.73
arg,2011,1.41
arm,1996,17.5
arm,1999,16.76
arm,2001,18.83
arm,2002,14.5
arm,2003,10.68
arm,2004,7.6
arm,2005,4.22
arm,2006,3.17
arm,2007,3.37
arm,2008,1.41
arm,2009,1.56
arm,2010,2.5
arm,2011,2.45
arm,2012,1.75
aus,1981,0.67
aus,1985,0.67
aus,1989,0.68
aus,1995,1.34
aus,2001,1.35
aus,2003,1.36
aut,1987,0
aut,1994,0.4
aut,1995,1
aut,1997,0.34
aut,2000,0.4
aut,2004,0.34
aze,1995,25.23
aze,2001,6.27
aze,2002,0.02
aze,2003,0.04
aze,2004,0
aze,2005,0
aze,2008,0.31
bgd,1984,69.55
bgd,1986,64.35
bgd,1989,71.61
bgd,1992,70.22
bgd,1996,60.91
bgd,2000,58.59
bgd,2005,50.47
bgd,2010,43.25
blr,1988,0.08
blr,1993,0.02
blr,1995,0.36
blr,1998,0.84
blr,1999,0.38
blr,2000,0.26
blr,2001,0.12
blr,2002,0.47
blr,2003,0.5
blr,2004,0.06
blr,2005,0.06
blr,2006,0.05
blr,2007,0
blr,2008,0
blr,2009,0.01
blr,2010,0
blr,2011,0
bel,1985,0.36
bel,1988,0.67
bel,1992,0.83
bel,1995,0.35
bel,1997,0.35
bel,2000,0.5
blz,1993,9.09
blz,1994,8.93
blz,1995,14.03
blz,1996,9.66
blz,1997,12.45
blz,1998,11.31
blz,1999,12.21
ben,2003,47.33
ben,2012,51.61
btn,2003,23.96
btn,2007,10.22
btn,2012,2.38
bol,1991,5.24
bol,1993,8.51
bol,1997,16.98
bol,1999,23.32
bol,2000,26.87
bol,2001,21.33
bol,2002,21.98
bol,2004,11.69
bol,2005,18.31
bol,2006,15.86
bol,2007,12.19
bol,2008,10.48
bol,2009,10.67
bol,2011,6.97
bol,2012,7.98
bih,2001,0.28
bih,2004,0.1
bih,2007,0.04
bwa,1986,35.61
bwa,1994,31.23
bwa,2003,24.36
bwa,2009,13.41
bra,1981,13.64
bra,1982,13.66
bra,1983,16.65
bra,1984,15.5
bra,1985,13.52
bra,1986,9.7
bra,1987,13.64
bra,1988,14.68
bra,1989,13.71
bra,1990,16.23
bra,1992,16.7
bra,1993,15.87
bra,1995,9.93
bra,1996,11.21
bra,1997,10.9
bra,1998,9.58
bra,1999,9.87
bra,2001,10.2
bra,2002,8.87
bra,2003,9.62
bra,2004,8.14
bra,2005,7.18
bra,2006,5.93
bra,2007,5.84
bra,2008,4.87
bra,2009,4.72
bra,2011,4.53
bra,2012,3.75
bgr,1989,0.04
bgr,1992,0
bgr,1994,0.22
bgr,1995,0.82
bgr,1997,0.32
bgr,2001,2.12
bgr,2003,0.62
