congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age,,
104,house,Y000013,Sidney,Richard,Yates,,8/27/1909,IL,D,Yes,1/4/1995,85.4,,
104,house,Q000013,James,Henry,Quillen,,1/11/1916,TN,R,Yes,1/4/1995,79,,
104,house,G000272,Henry,Barbosa,González,,5/3/1916,TX,D,Yes,1/4/1995,78.7,,
104,house,G000153,Sam,Melville,Gibbons,,1/20/1920,FL,D,Yes,1/4/1995,75,,
104,house,B000918,George,E.,Brown,Jr.,3/6/1920,CA,D,Yes,1/4/1995,74.8,,
104,house,M000865,Gillespie,V.,Montgomery,,8/5/1920,MS,D,Yes,1/4/1995,74.4,,
104,house,B000431,Tom,,Bevill,,3/27/1921,AL,D,Yes,1/4/1995,73.8,,
104,house,V000124,Barbara,Farrell,Vucanovich,,6/22/1921,NV,R,Yes,1/4/1995,73.5,,
104,house,M000926,Carlos,John,Moorhead,,5/6/1922,CA,R,Yes,1/4/1995,72.7,,
104,house,G000212,Benjamin,,Gilman,,12/6/1922,NY,R,Yes,1/4/1995,72.1,,
104,house,H000067,Ralph,M.,Hall,,5/3/1923,TX,D,Yes,1/4/1995,71.7,,
104,house,H001022,Henry,John,Hyde,,4/18/1924,IL,R,Yes,1/4/1995,70.7,,
104,house,R000141,Ralph,,Regula,,12/3/1924,OH,R,Yes,1/4/1995,70.1,,
104,house,S000948,Louis,,Stokes,,2/23/1925,OH,D,Yes,1/4/1995,69.9,,
104,house,M000628,Carrie,,Meek,,4/29/1926,FL,D,Yes,1/4/1995,68.7,,
104,house,B000208,Roscoe,G.,Bartlett,,6/3/1926,MD,R,Yes,1/4/1995,68.6,,
104,house,D000355,John,D.,Dingell,,7/8/1926,MI,D,Yes,1/4/1995,68.5,,
104,house,H000814,Amory,,Houghton,Jr.,8/7/1926,NY,R,Yes,1/4/1995,68.4,,
104,house,B000104,Cass,,Ballenger,,12/6/1926,NC,R,Yes,1/4/1995,68.1,,
104,house,M001130,John,Thomas,Myers,,2/8/1927,IN,R,Yes,1/4/1995,67.9,,
104,house,S001044,Robert,,Stump,,4/4/1927,AZ,R,Yes,1/4/1995,67.8,,
104,house,M000834,John,Joseph,Moakley,,4/27/1927,MA,D,Yes,1/4/1995,67.7,,
104,house,S000453,Norman,,Sisisky,,6/9/1927,VA,D,Yes,1/4/1995,67.6,,
104,house,S000463,Joseph,,Skeen,,6/30/1927,NM,R,Yes,1/4/1995,67.5,,
104,house,D000203,Eligio,II,de la Garza,,9/22/1927,TX,D,Yes,1/4/1995,67.3,,
104,house,M000669,Jack,,Metcalf,,11/30/1927,WA,R,No,1/4/1995,67.1,,
104,house,G000291,William,F.,Goodling,,12/5/1927,PA,R,Yes,1/4/1995,67.1,,
104,house,M000797,Patsy,Takemoto,Mink,,12/6/1927,HI,D,Yes,1/4/1995,67.1,,
104,house,L000090,Tom,,Lantos,,2/1/1928,CA,D,Yes,1/4/1995,66.9,,
104,house,A000215,Bill,,Archer,,3/22/1928,TX,R,Yes,1/4/1995,66.8,,
104,house,S000718,Floyd,,Spence,,4/9/1928,SC,R,Yes,1/4/1995,66.7,,
104,house,T000243,Raymond,Hoyt,Thornton,Jr.,7/16/1928,AR,D,Yes,1/4/1995,66.5,,
104,house,M000684,Jan,,Meyers,,7/20/1928,KS,R,Yes,1/4/1995,66.5,,
104,house,B000229,Herbert,H.,Bateman,,8/7/1928,VA,R,Yes,1/4/1995,66.4,,
104,house,F000235,Thomas,Michael,Foglietta,,12/3/1928,PA,D,Yes,1/4/1995,66.1,,
104,house,B000179,Bill,,Barrett,,2/9/1929,NE,R,Yes,1/4/1995,65.9,,
104,house,M000206,Matthew,G.,Martínez,,2/14/1929,CA,D,Yes,1/4/1995,65.9,,
104,house,F000049,Harris,W.,Fawell,,3/25/1929,IL,R,Yes,1/4/1995,65.8,,
104,house,C000523,William,Floyd,Clinger,Jr.,4/4/1929,PA,R,Yes,1/4/1995,65.8,,
104,house,C000714,John,,Conyers,Jr.,5/16/1929,MI,D,Yes,1/4/1995,65.6,,
104,house,S000480,Louise,McIntosh,Slaughter,,8/14/1929,NY,D,Yes,1/4/1995,65.4,,
104,house,H000151,Melton,D.,Hancock,,9/14/1929,MO,R,Yes,1/4/1995,65.3,,
104,house,K000172,Dale,E.,Kildee,,9/16/1929,MI,D,Yes,1/4/1995,65.3,,
104,house,R000465,Marge,,Roukema,,9/19/1929,NJ,R,Yes,1/4/1995,65.3,,
104,house,H000452,Fred,,Heineman,,12/28/1929,NC,R,No,1/4/1995,65,,
