yearID,lgID,teamID,franchID,divID,W,L,DivWin,WCWin,LgWin,WSWin,name,park,attendance
1991,AL,BAL,BAL,E,67,95,N,,N,N,Baltimore Orioles,Memorial Stadium,2552753
1991,AL,BOS,BOS,E,84,78,N,,N,N,Boston Red Sox,Fenway Park II,2562435
1991,AL,CAL,ANA,W,81,81,N,,N,N,California Angels,Anaheim Stadium,2416236
1991,AL,CHA,CHW,W,87,75,N,,N,N,Chicago White Sox,Comiskey Park II,2934154
1991,AL,CLE,CLE,E,57,105,N,,N,N,Cleveland Indians,Cleveland Stadium,1051863
1991,AL,DET,DET,E,84,78,N,,N,N,Detroit Tigers,Tiger Stadium,1641661
1991,AL,KCA,KCR,W,82,80,N,,N,N,Kansas City Royals,Royals Stadium,2161537
1991,AL,MIN,MIN,W,95,67,Y,,Y,Y,Minnesota Twins,Hubert H Humphrey Metrodome,2293842
1991,AL,ML4,MIL,E,83,79,N,,N,N,Milwaukee Brewers,County Stadium,1478729
1991,AL,NYA,NYY,E,71,91,N,,N,N,New York Yankees,Yankee Stadium II,1863733
1991,AL,OAK,OAK,W,84,78,N,,N,N,Oakland Athletics,Oakland Coliseum,2713493
1991,AL,SEA,SEA,W,83,79,N,,N,N,Seattle Mariners,Kingdome,2147905
1991,AL,TEX,TEX,W,85,77,N,,N,N,Texas Rangers,Arlington Stadium,2297720
1991,AL,TOR,TOR,E,91,71,Y,,N,N,Toronto Blue Jays,Skydome,4001527
1991,NL,ATL,ATL,W,94,68,Y,,Y,N,Atlanta Braves,Atlanta-Fulton County Stadium,2140217
1991,NL,CHN,CHC,E,77,83,N,,N,N,Chicago Cubs,Wrigley Field,2314250
1991,NL,CIN,CIN,W,74,88,N,,N,N,Cincinnati Reds,Riverfront Stadium,2372377
1991,NL,HOU,HOU,W,65,97,N,,N,N,Houston Astros,Astrodome,1196152
1991,NL,LAN,LAD,W,93,69,N,,N,N,Los Angeles Dodgers,Dodger Stadium,3348170
1991,NL,MON,WSN,E,71,90,N,,N,N,Montreal Expos,Stade Olympique,934742
1991,NL,NYN,NYM,E,77,84,N,,N,N,New York Mets,Shea Stadium,2284484
1991,NL,PHI,PHI,E,78,84,N,,N,N,Philadelphia Phillies,Veterans Stadium,2050012
1991,NL,PIT,PIT,E,98,64,Y,,N,N,Pittsburgh Pirates,Three Rivers Stadium,2065302
1991,NL,SDN,SDP,W,84,78,N,,N,N,San Diego Padres,Jack Murphy Stadium,1804289
1991,NL,SFN,SFG,W,75,87,N,,N,N,San Francisco Giants,Candlestick Park,1737478
1991,NL,SLN,STL,E,84,78,N,,N,N,St. Louis Cardinals,Busch Stadium II,2448699
1992,AL,BAL,BAL,E,89,73,N,,N,N,Baltimore Orioles,Oriole Park at Camden Yards,3567819
1992,AL,BOS,BOS,E,73,89,N,,N,N,Boston Red Sox,Fenway Park II,2468574
1992,AL,CAL,ANA,W,72,90,N,,N,N,California Angels,Anaheim Stadium,2065444
1992,AL,CHA,CHW,W,86,76,N,,N,N,Chicago White Sox,Comiskey Park II,2681156
