Location,"Total Fertility Rate"
Afghanistan,5.43
Albania,1.5
Algeria,2.78
"American Samoa",2.98
Andorra,1.38
Angola,5.43
Anquilla,1.75
"Antigua and Barbuda",2.03
Argentina,2.25
Armenia,1.64
Aruba,1.84
Australia,1.77
Austria,1.43
Azerbaijan,1.91
Bahamas,1.97
Bahrain,1.81
Bangladesh,2.45
Barbados,1.68
Belarus,1.47
Belgium,1.65
Belize,3.02
Benin,5.04
Bermuda,1.95
Bhutan,2.02
Bolivia,2.8
"Bosnia and Herzegovina",1.26
Botswana,2.37
Brazil,1.79
"British Virgin Islands",1.25
"Brunei Darussalam",1.82
Bulgaria,1.44
"Burkina Faso",5.93
Burundi,6.14
Cambodia,2.66
Cameroon,4.82
Canada,1.59
"Cape Verde",2.34
"Cayman Islands",1.86
"Central African Republic",4.46
Chad,4.68
Chile,1.84
China,1.55
Colombia,2.07
Comoros,3.76
Congo,4.73
"Congo (Dem. Republic of)",4.8
"Cook Islands",2.27
"Costa Rica",1.91
Croatia,1.45
Cuba,1.46
Cyprus,1.46
"Czech Republic",1.43
Denmark,1.73
Djibouti,2.47
Dominica,2.05
"Dominican Republic",2.36
Ecuador,2.29
Egypt,2.87
"El Salvador",1.95
"Equatorial Guinea",4.66
Eritrea,4.14
Estonia,1.46
Ethiopia,5.23
"Faeroe Islands",2.38
Fiji,2.51
Finland,1.73
France,2.08
"French Polynesia",1.95
Gabon,4.49
Gambia,3.85
Georgia,1.77
Germany,1.43
Ghana,4.09
Gibraltar,1.92
Greece,1.41
Greenland,2.06
Grenada,2.09
Guam,2.38
Guatemala,2.99
Guinea,4.93
Guinea-Bissau,4.3
Guyana,2.14
Haiti,2.79
Honduras,2.86
Hungary,1.42
Iceland,1.88
India,2.51
Indonesia,2.18
"Iran (Islamic Republic of)",1.85
Iraq,3.41
Ireland,2
Israel,2.62
Italy,1.42
Jamaica,2.05
Japan,1.4
Jordan,3.16
Kazakhstan,2.34
Kenya,3.54
Kiribati,2.56
"Korea (Dem. Peo. Rep. of)",1.98
"Korea (Republic of)",1.25
Kuwait,2.53
Kyrgyzstan,2.68
Latvia,1.35
Lebanon,1.74
Lesotho,2.78
Liberia,4.81
"Libyan Arab Jamahiriya",2.07
Liechtenstein,1.69
Lithuania,1.29
Luxembourg,1.77
"Macedonia (The former Yugoslav Republic of)",1.59
Madagascar,4.28
Malawi,5.66
Malaysia,2.58
Maldives,1.76
Mali,6.16
Malta,1.54
"Marshall Islands",3.22
Mauritania,4.07
Mauritius,1.77
Mexico,2.29
"Micronesia (Federated States of)",2.55
"Moldova (Republic of)",1.56
Monaco,1.52
Mongolia,2.22
Montserrat,1.29
Morocco,2.15
Mozambique,5.27
Myanmar,2.18
Namibia,2.25
Nauru,2.93
Nepal,2.3
Netherlands,1.78
"New Caledonia",1.99
"New Zealand",2.05
Nicaragua,1.99
Niger,6.89
Nigeria,5.25
"Northern Mariana Islands",2.01
Norway,1.86
Oman,2.86
Pakistan,2.86
Palau,1.71
Panama,2.38
"Papua New Guinea",3.24
Paraguay,1.96
Peru,2.22
Philippines,3.06
Poland,1.33
Portugal,1.52
"Puerto Rico",1.64
Qatar,1.92
Romania,1.32
"Russian Federation",1.61
Rwanda,4.62
"Saint Helena",1.58
"Saint Kitts and Nevis",1.78
"Saint Lucia",1.77
"Saint Vincent and the Grenadines",1.84
Samoa,2.94
"San Marino",1.49
"Sao Tome and Principe",4.67
"Saudi Arabia",2.17
Senegal,4.52
Serbia,1.42
Seychelles,1.88
"Sierra Leone",4.83
Singapore,0.8
Slovakia,1.39
Slovenia,1.33
"Solomon Islands",3.36
Somalia,6.08
"South Africa",2.23
"South Sudan",5.43
Spain,1.48
"Sri Lanka",2.13
Sudan,3.92
Suriname,2.01
Swaziland,2.88
Sweden,1.88
Switzerland,1.54
"Syrian Arab Republic",2.68
Tajikistan,2.76
"Tanzania (United Rep. of)",4.95
Thailand,1.5
"Timor Leste",5.11
Togo,4.53
Tonga,3.36
"Trinidad and Tobago",1.71
Tunisia,2
Turkey,2.08
Turkmenistan,2.1
"Turks and Caicos Island",1.7
Tuvalu,3.03
Uganda,5.97
Ukraine,1.3
"United Arab Emirates",2.36
"United Kingdom",1.9
"United States of America",2.01
Uruguay,1.84
Uzbekistan,1.8
Vanuatu,3.36
Venezuela,2.35
"Viet Nam",1.85
"Virgin Islands (U.S.)",1.75
"Wallis and Futuna Islands",1.76
"Western Sahara",4.07
Yemen,4.09
Zambia,5.76
Zimbabwe,3.56
